SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
APCL,EQ,250,263.9,248,259.2,259.95,245.45,6362,1635977,10-APR-2017,183,INE071F01012,
APCL,EQ,260.95,264,253.55,261.15,261,259.2,2200,573128.6,11-APR-2017,64,INE071F01012,
APCL,EQ,265,275.35,243.5,257.1,257.95,261.15,6386,1655761.2,12-APR-2017,130,INE071F01012,
APCL,EQ,262,262,248.25,249.8,256,257.1,2653,669571.25,13-APR-2017,42,INE071F01012,
APCL,EQ,250.95,259.95,249,250.1,249,249.8,3039,767703.65,17-APR-2017,52,INE071F01012,
APCL,EQ,250.1,255,245,245.55,245,250.1,2758,684598.95,18-APR-2017,46,INE071F01012,
APCL,EQ,259,259,240.8,244.4,246.5,245.55,3496,874373.15,19-APR-2017,83,INE071F01012,
APCL,EQ,257.7,257.7,246,249.55,246.5,244.4,2495,623700.85,20-APR-2017,88,INE071F01012,
APCL,EQ,250,255,246.55,251.1,250.9,249.55,2226,558735.65,21-APR-2017,67,INE071F01012,
APCL,EQ,253.95,265,250,260.5,261.75,251.1,4502,1154642.55,24-APR-2017,78,INE071F01012,
APCL,EQ,274,274,259,259.4,259,260.5,10034,2646151.35,25-APR-2017,283,INE071F01012,
APCL,EQ,270,270,252.4,253.35,255,259.4,4879,1265427.25,26-APR-2017,179,INE071F01012,
APCL,EQ,252,257.4,251,253,253,253.35,1390,353789.1,27-APR-2017,58,INE071F01012,
APCL,EQ,250,255.95,246,249.6,251.75,253,3271,818792.25,28-APR-2017,83,INE071F01012,
APCL,EQ,255.8,255.8,242.25,249.45,246.75,249.6,3519,878464.25,02-MAY-2017,162,INE071F01012,
APCL,EQ,243,250,237.25,244,244,249.45,6045,1475111.35,03-MAY-2017,170,INE071F01012,
APCL,EQ,240.1,252.4,240.1,248.15,248,244,3536,874480.4,04-MAY-2017,104,INE071F01012,
APCL,EQ,251,251,235,242.55,245.7,248.15,2243,545642.25,05-MAY-2017,98,INE071F01012,
APCL,EQ,235.1,250,235.1,242.85,242.45,242.55,1388,339831.4,08-MAY-2017,48,INE071F01012,
APCL,EQ,240,247.95,239.05,244,244.05,242.85,947,231543.35,09-MAY-2017,37,INE071F01012,
APCL,EQ,246.95,247,240.1,243.05,243,244,3458,840807.85,10-MAY-2017,113,INE071F01012,
APCL,EQ,248.95,248.95,237.05,239.75,239.6,243.05,1530,368788.6,11-MAY-2017,32,INE071F01012,
APCL,EQ,235.3,242.65,235,239.45,239.5,239.75,2297,547105.05,12-MAY-2017,45,INE071F01012,
APCL,EQ,239.5,243.95,236,239,242,239.45,3012,720010.65,15-MAY-2017,73,INE071F01012,
APCL,EQ,245,245,237.25,239.7,238.6,239,3636,876553.2,16-MAY-2017,115,INE071F01012,
APCL,EQ,242.95,243.4,240,241.45,242.75,239.7,1897,456852.9,17-MAY-2017,56,INE071F01012,
APCL,EQ,244.95,244.95,235.5,238,241,241.45,1395,333993.9,18-MAY-2017,43,INE071F01012,
APCL,EQ,236.05,245,230,239.6,239.8,238,5815,1397010.2,19-MAY-2017,122,INE071F01012,
APCL,EQ,237,241,230.2,236,236,239.6,3427,806287.55,22-MAY-2017,68,INE071F01012,
APCL,EQ,236.05,242,229,231.5,231.5,236,5684,1316354.95,23-MAY-2017,120,INE071F01012,
APCL,EQ,226,229.5,220.25,224.35,225,231.5,5251,1183912.6,24-MAY-2017,149,INE071F01012,
APCL,EQ,220.5,244.95,213,234.65,232.1,224.35,8665,2019113.6,25-MAY-2017,202,INE071F01012,
APCL,EQ,237,243.95,233.1,238.3,237.45,234.65,4421,1056578.5,26-MAY-2017,156,INE071F01012,
APCL,EQ,243.9,244,228.8,229.9,228.8,238.3,8415,1959000.15,29-MAY-2017,192,INE071F01012,
APCL,EQ,229.5,229.5,226,227.95,226,229.9,1976,450902.3,30-MAY-2017,37,INE071F01012,
APCL,EQ,227.95,234.95,220.5,223.45,220.55,227.95,4914,1110425.15,31-MAY-2017,89,INE071F01012,
APCL,EQ,223.05,230.95,219,222.2,221.05,223.45,4123,923620.1,01-JUN-2017,97,INE071F01012,
APCL,EQ,226.45,226.45,214.65,221.85,221.25,222.2,11617,2558379.95,02-JUN-2017,201,INE071F01012,
APCL,EQ,220.05,227.75,220,225.05,225,221.85,3001,676834.75,05-JUN-2017,73,INE071F01012,
APCL,EQ,225,229.95,219,220.1,221,225.05,2208,490022.7,06-JUN-2017,48,INE071F01012,
APCL,EQ,221,224.95,217,221.6,221.5,220.1,3892,861927.2,07-JUN-2017,96,INE071F01012,
APCL,EQ,227.95,227.95,221.1,224.6,225.3,221.6,2395,535223.9,08-JUN-2017,49,INE071F01012,
APCL,EQ,232.95,232.95,221,222.55,222.3,224.6,3081,685991.15,09-JUN-2017,77,INE071F01012,
APCL,EQ,236,236,220.35,220.55,223,222.55,786,175866.95,12-JUN-2017,33,INE071F01012,
APCL,EQ,224,240.4,224,228.55,228.4,220.55,4704,1074951.7,13-JUN-2017,86,INE071F01012,
APCL,EQ,228.4,232.5,226.15,228.95,228,228.55,922,210185.45,14-JUN-2017,34,INE071F01012,
APCL,EQ,230.95,237.7,228,235.1,237.7,228.95,4037,934847.95,15-JUN-2017,71,INE071F01012,
APCL,EQ,238.3,238.3,232,234.45,234.45,235.1,1436,336289.45,16-JUN-2017,28,INE071F01012,
APCL,EQ,239.85,240.8,230.05,234.45,234.75,234.45,3289,774364.5,19-JUN-2017,85,INE071F01012,
APCL,EQ,238.95,238.95,230,234.75,234.9,234.45,1738,405840.9,20-JUN-2017,42,INE071F01012,
APCL,EQ,237.35,237.35,229,230.3,230,234.75,3555,822761.55,21-JUN-2017,110,INE071F01012,
APCL,EQ,238,238,228.5,231.05,231.75,230.3,1306,304188.25,22-JUN-2017,47,INE071F01012,
APCL,EQ,238,238,220.6,222.9,221.8,231.05,3570,808322.5,23-JUN-2017,129,INE071F01012,
APCL,EQ,223,224.95,218,219.85,219,222.9,1452,321377.75,27-JUN-2017,72,INE071F01012,
APCL,EQ,212.2,222.95,212.15,217.2,216.6,219.85,1051,229289.55,28-JUN-2017,48,INE071F01012,
APCL,EQ,224.95,224.95,218.15,220.4,220.9,217.2,1499,332372.25,29-JUN-2017,51,INE071F01012,
APCL,EQ,219.95,220,218,218.75,218,220.4,2172,474674,30-JUN-2017,55,INE071F01012,
APCL,EQ,219.05,230,219.05,226.45,230,218.75,4802,1073305.95,03-JUL-2017,141,INE071F01012,
APCL,EQ,225.95,233,221.05,222.2,222.35,226.45,2442,550829,04-JUL-2017,80,INE071F01012,
APCL,EQ,228.35,228.35,216,224.15,225,222.2,3912,868189.45,05-JUL-2017,91,INE071F01012,
APCL,EQ,226.8,234,223.8,233.2,233,224.15,2037,464718.8,06-JUL-2017,54,INE071F01012,
APCL,EQ,235.95,256,233.4,235.8,235.9,233.2,17450,4256142.75,07-JUL-2017,560,INE071F01012,
APCL,EQ,235.9,240,232,233.7,232,235.8,394,92224.4,10-JUL-2017,12,INE071F01012
APCL,EQ,235.05,235.05,225.15,228.6,226.15,233.7,7395,1704837.15,11-JUL-2017,144,INE071F01012,
APCL,EQ,233.25,234.95,227.2,228.65,227.2,228.6,2275,520613.2,12-JUL-2017,65,INE071F01012,
APCL,EQ,229.05,235.7,222.1,227.5,227.15,228.65,3220,729129.6,13-JUL-2017,151,INE071F01012,
APCL,EQ,224.6,232.5,224.6,226.6,226.05,227.5,2657,602788.4,14-JUL-2017,178,INE071F01012,
APCL,EQ,230.8,234.8,226.25,230.9,230,226.6,3092,712360.2,17-JUL-2017,111,INE071F01012,
APCL,EQ,224.2,231,224.2,229.7,230.75,230.9,1644,376655.8,18-JUL-2017,95,INE071F01012,
APCL,EQ,234.5,234.75,230.1,232.05,233.5,229.7,884,204970.55,19-JUL-2017,27,INE071F01012,
APCL,EQ,230.1,232.15,229,230.35,230.6,232.05,844,194984.45,20-JUL-2017,27,INE071F01012,
APCL,EQ,228.5,230.95,226.1,228.3,229.75,230.35,1728,395624.3,21-JUL-2017,46,INE071F01012,
APCL,EQ,229,229.75,226.1,228.5,228.5,228.3,816,185337.4,24-JUL-2017,38,INE071F01012,
APCL,EQ,228.95,229,223,225.9,224.5,228.5,2563,577241.95,25-JUL-2017,115,INE071F01012,
APCL,EQ,229.8,230,224,227,227.85,228.05,3110,702791.7,27-JUL-2017,73,INE071F01012,
APCL,EQ,228,228,219.65,222.5,222.5,227,2799,618780.25,28-JUL-2017,80,INE071F01012,
APCL,EQ,225.95,227.95,220.75,224.6,224,222.5,2112,473238.8,31-JUL-2017,64,INE071F01012,
APCL,EQ,221.5,226.85,221.5,224,224,224.6,4851,1087018.15,01-AUG-2017,34,INE071F01012,
APCL,EQ,237,237,219,227.5,227.5,224,3323,750258,02-AUG-2017,141,INE071F01012,
APCL,EQ,226,227.95,222.75,226.85,226.5,227.5,2139,483329.05,03-AUG-2017,74,INE071F01012,
APCL,EQ,225.1,227.95,223.5,225.65,226.5,226.85,952,214382.35,04-AUG-2017,16,INE071F01012,
APCL,EQ,228.9,232.4,228,229,229,225.65,1892,434599.4,07-AUG-2017,42,INE071F01012,
APCL,EQ,224,228.2,221,224.45,224.5,229,1707,382566.85,08-AUG-2017,39,INE071F01012,
APCL,EQ,222.8,222.8,216.5,217.3,217.9,224.45,4347,957099.85,09-AUG-2017,144,INE071F01012,
APCL,EQ,207.5,216,195.55,201.9,204,217.3,7578,1563959.6,10-AUG-2017,183,INE071F01012,
APCL,EQ,197.5,203,191,200.05,199,201.9,4174,824589.05,11-AUG-2017,140,INE071F01012,
