SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
BORORENEW,EQ,219,219.4,206.55,208.25,209.35,220.15,120848,25774444.45,20-FEB-2020,2762,INE666D01022,
BORORENEW,EQ,204.05,209,198.1,199.85,200.5,208.25,115868,23498716.2,24-FEB-2020,2548,INE666D01022,
BORORENEW,EQ,200.6,203.9,198.3,200.1,200,199.85,62759,12589260.4,25-FEB-2020,2164,INE666D01022,
BORORENEW,EQ,197,204.9,197,201,202.4,200.1,54506,10934477.05,26-FEB-2020,2021,INE666D01022,
BORORENEW,EQ,200.05,201.9,194.95,197.55,198,201,68832,13543988.7,27-FEB-2020,1396,INE666D01022,
BORORENEW,EQ,191.15,194.65,180,181.95,184,197.55,175667,32734822.05,28-FEB-2020,2719,INE666D01022,
BORORENEW,EQ,186,191.8,179.9,181.2,180.1,181.95,90154,16693909.85,02-MAR-2020,1735,INE666D01022,
BORORENEW,EQ,184.15,190.9,184.15,188.9,187.8,181.2,75154,14141771.35,03-MAR-2020,1476,INE666D01022,
BORORENEW,EQ,192,192,184.35,187.3,187.95,188.9,45251,8420050.6,04-MAR-2020,766,INE666D01022,
BORORENEW,EQ,188.85,195.95,185,188.8,189,187.3,76090,14425281.3,05-MAR-2020,2120,INE666D01022,
BORORENEW,BE,47.5,49.85,45.15,49.85,49.85,188.8,19309,934695.35,06-MAR-2020,275,INE666D01022,
BORORENEW,BE,52.3,52.3,52.3,52.3,52.3,49.85,9850,515155,09-MAR-2020,127,INE666D01022,
BORORENEW,BE,54.9,54.9,53,54.7,54.9,52.3,160412,8801425.15,11-MAR-2020,949,INE666D01022,
BORORENEW,BE,52,52,52,52,52,54.7,28779,1496508,12-MAR-2020,267,INE666D01022,
BORORENEW,BE,49.4,49.4,49.4,49.4,49.4,52,24200,1195480,13-MAR-2020,302,INE666D01022,
BORORENEW,BE,46.95,46.95,46.95,46.95,46.95,49.4,34741,1631089.95,16-MAR-2020,283,INE666D01022,
BORORENEW,BE,44.65,44.65,44.65,44.65,44.65,46.95,18239,814371.35,17-MAR-2020,284,INE666D01022,
BORORENEW,BE,42.45,42.45,42.45,42.45,42.45,44.65,11894,504900.3,18-MAR-2020,158,INE666D01022,
BORORENEW,BE,40.35,40.35,40.35,40.35,40.35,42.45,43505,1755426.75,19-MAR-2020,197,INE666D01022,
BORORENEW,BE,38.5,40.35,38.35,38.35,38.35,40.35,38481,1477864,20-MAR-2020,349,INE666D01022,
BORORENEW,EQ,37.25,45.95,31.1,32.65,32.5,38.35,130554,4706844.6,23-MAR-2020,1239,INE666D01022,
BORORENEW,EQ,38,38,28.3,29.55,30,32.65,226471,6687135.6,24-MAR-2020,1464,INE666D01022,
BORORENEW,EQ,29.25,31.1,27.5,28.05,28.2,29.55,153597,4394463.15,25-MAR-2020,1332,INE666D01022,
BORORENEW,EQ,30,33.65,28,33.6,33.65,28.05,231874,7338075.95,26-MAR-2020,1869,INE666D01022,
BORORENEW,EQ,39,40.3,35,39.2,40,33.6,358920,14176852.75,27-MAR-2020,2797,INE666D01022,
BORORENEW,EQ,45,45.45,37.6,38.8,39.5,39.2,522862,21811918.25,30-MAR-2020,3966,INE666D01022,
BORORENEW,EQ,40,42,36,37.25,38,38.8,263697,10154588.6,31-MAR-2020,4173,INE666D01022,
BORORENEW,EQ,38,40,32.8,33.8,33.9,37.25,261922,9074863.1,01-APR-2020,3562,INE666D01022,
BORORENEW,EQ,33.8,35,33.3,33.6,33.9,33.8,160099,5424637.35,03-APR-2020,3363,INE666D01022,
BORORENEW,EQ,35,36,33.5,34.65,34.5,33.6,238208,8261003.65,07-APR-2020,3016,INE666D01022,
BORORENEW,EQ,35.3,36,34,34.75,35.4,34.65,151777,5344324.25,08-APR-2020,2079,INE666D01022,
BORORENEW,EQ,36,37.95,34.9,35.7,35.8,34.75,239997,8631527.95,09-APR-2020,4441,INE666D01022,
BORORENEW,EQ,38.4,38.4,35.3,36.35,36.5,35.7,195582,7139080.6,13-APR-2020,3518,INE666D01022,
BORORENEW,EQ,37.9,38.1,36.55,37.15,37,36.35,218413,8186943.5,15-APR-2020,4439,INE666D01022,
BORORENEW,EQ,37.7,38.45,36.6,37.1,37,37.15,206647,7734303.05,16-APR-2020,3692,INE666D01022,
BORORENEW,EQ,37.95,38.5,37.2,37.45,37.5,37.1,202860,7631152.8,17-APR-2020,3065,INE666D01022,
BORORENEW,EQ,39.5,40,38.05,38.9,38.75,37.45,400696,15674447.2,20-APR-2020,4567,INE666D01022,
BORORENEW,EQ,39.5,39.5,36.05,36.85,36.75,38.9,134143,4973125.55,21-APR-2020,2069,INE666D01022,
BORORENEW,EQ,36.85,37.5,35.5,37.1,36.75,36.85,70561,2590482.05,22-APR-2020,869,INE666D01022,
BORORENEW,EQ,37,40.8,36.1,39.55,40.5,37.1,852347,33406470.85,23-APR-2020,4174,INE666D01022,
BORORENEW,EQ,40,42.6,37.55,37.9,37.9,39.55,1538156,61510677,24-APR-2020,15155,INE666D01022,
BORORENEW,EQ,38.3,38.4,36.05,36.4,36.2,37.9,465317,17145408.45,27-APR-2020,5489,INE666D01022,
BORORENEW,EQ,36.8,39.6,35.9,37.75,37.95,36.4,403002,15052649.15,28-APR-2020,2236,INE666D01022,
BORORENEW,EQ,38,38.45,37.1,37.45,37.7,37.75,205169,7737431.55,29-APR-2020,1548,INE666D01022,
BORORENEW,EQ,37.8,38.4,37.25,37.4,37.35,37.45,236693,8937373.35,30-APR-2020,1764,INE666D01022,
BORORENEW,EQ,37.35,37.4,35.7,35.9,35.85,37.4,231751,8354205.35,04-MAY-2020,1509,INE666D01022,
BORORENEW,EQ,36,36.7,35.15,35.25,35.3,35.9,176843,6325693.95,05-MAY-2020,1548,INE666D01022,
BORORENEW,EQ,35.7,35.7,34.05,34.35,34.2,35.25,187629,6441227.75,06-MAY-2020,1172,INE666D01022,
BORORENEW,EQ,33.65,37.45,33.6,37.05,37.1,34.35,730263,26520245.4,07-MAY-2020,4366,INE666D01022,
BORORENEW,EQ,37.45,37.45,35.55,35.8,35.8,37.05,168048,6096279,08-MAY-2020,1234,INE666D01022,
BORORENEW,EQ,36.5,36.5,35.2,35.5,35.75,35.8,82180,2936430.75,11-MAY-2020,890,INE666D01022,
BORORENEW,EQ,35.2,37.3,34.35,36.2,35.85,35.5,126211,4483169,12-MAY-2020,1219,INE666D01022,
BORORENEW,EQ,36.9,37,35.4,35.75,35.7,36.2,227144,8144461.6,13-MAY-2020,1452,INE666D01022,
BORORENEW,EQ,36,36.5,35.25,35.4,35.25,35.75,100633,3602491.25,14-MAY-2020,882,INE666D01022,
BORORENEW,EQ,35,35.8,35,35.25,35.2,35.4,58070,2046751.1,15-MAY-2020,571,INE666D01022,
BORORENEW,EQ,35.5,36.8,34.3,34.4,34.5,35.25,127848,4433850.25,18-MAY-2020,1076,INE666D01022,
BORORENEW,EQ,34.85,35.5,34.5,34.9,35.1,34.4,93240,3265323.55,19-MAY-2020,607,INE666D01022,
BORORENEW,EQ,35.15,35.15,34.4,34.9,35,34.9,69641,2417254.6,20-MAY-2020,507,INE666D01022,
BORORENEW,EQ,36,36,34.5,34.85,34.95,34.9,68161,2397764.85,21-MAY-2020,678,INE666D01022,
BORORENEW,EQ,34.85,34.85,34.2,34.6,34.8,34.85,66880,2309467.55,22-MAY-2020,685,INE666D01022,
BORORENEW,EQ,34.8,34.8,33.6,33.9,34,34.6,72718,2476447.25,26-MAY-2020,796,INE666D01022,
BORORENEW,EQ,34,34.8,33.75,34.1,34,33.9,47102,1608079.8,27-MAY-2020,608,INE666D01022,
BORORENEW,EQ,34.1,35.8,34.1,35.2,35.3,34.1,134110,4680769.5,28-MAY-2020,1108,INE666D01022,
BORORENEW,EQ,35.4,36,34.25,34.95,35,35.2,131369,4631574.3,29-MAY-2020,1288,INE666D01022,
BORORENEW,EQ,35.35,36.4,35.2,35.45,35.3,34.95,191998,6847987.15,01-JUN-2020,1350,INE666D01022,
BORORENEW,EQ,36.3,41.45,35.3,40.65,40.55,35.45,897744,35525952.25,02-JUN-2020,5663,INE666D01022,
BORORENEW,EQ,43.7,48.75,42.05,48.75,48.75,40.65,966171,45518575.45,03-JUN-2020,4801,INE666D01022,
BORORENEW,EQ,58.5,58.5,55.5,58.5,58.5,48.75,586053,33974067,04-JUN-2020,2033,INE666D01022,
BORORENEW,EQ,64.35,64.35,64.35,64.35,64.35,58.5,82472,5307073.2,05-JUN-2020,292,INE666D01022,
BORORENEW,EQ,70.75,70.75,70.75,70.75,70.75,64.35,250726,17738864.5,08-JUN-2020,487,INE666D01022,
BORORENEW,EQ,77.8,77.8,63.7,75.55,76.7,70.75,4029300,291901491.95,09-JUN-2020,27759,INE666D01022,
BORORENEW,EQ,78.15,79.3,72.55,79.3,79.3,75.55,623216,48850151.1,10-JUN-2020,3288,INE666D01022,
BORORENEW,EQ,83.25,83.25,82.1,83.25,83.25,79.3,267095,22226530.7,11-JUN-2020,1679,INE666D01022,
BORORENEW,EQ,79.1,87.4,79.1,87.3,87.4,83.25,1325621,109906288.9,12-JUN-2020,10895,INE666D01022,
BORORENEW,EQ,91.5,91.65,87.4,91.65,91.65,87.3,1098011,99733037.4,15-JUN-2020,7891,INE666D01022,
BORORENEW,EQ,95,96.2,94,96.2,96.2,91.65,493285,47326568.95,16-JUN-2020,2431,INE666D01022,
BORORENEW,EQ,99.9,101,99,101,101,96.2,220654,22204106.75,17-JUN-2020,1210,INE666D01022,
BORORENEW,EQ,106.05,106.05,106.05,106.05,106.05,101,73006,7742286.3,18-JUN-2020,293,INE666D01022,
BORORENEW,EQ,111.35,111.35,111.35,111.35,111.35,106.05,73634,8199145.9,19-JUN-2020,265,INE666D01022,
BORORENEW,EQ,116.9,116.9,116.9,116.9,116.9,111.35,26971,3152909.9,22-JUN-2020,174,INE666D01022,
BORORENEW,EQ,122.7,122.7,122.7,122.7,122.7,116.9,25315,3106150.5,23-JUN-2020,125,INE666D01022,
BORORENEW,EQ,128.8,128.8,128.8,128.8,128.8,122.7,36463,4696434.4,24-JUN-2020,232,INE666D01022,
BORORENEW,EQ,130.9,135.2,122.4,135.2,135.2,128.8,1899263,245731867.35,25-JUN-2020,13924,INE666D01022,
BORORENEW,EQ,141.95,141.95,141.95,141.95,141.95,135.2,55275,7846286.25,26-JUN-2020,348,INE666D01022,
BORORENEW,EQ,145.9,149,134.9,139.75,137.85,141.95,2455110,349984734.65,29-JUN-2020,28925,INE666D01022,
BORORENEW,EQ,138.8,138.8,132.8,132.8,132.8,139.75,239512,31999042.65,30-JUN-2020,3048,INE666D01022,
