SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
BSLGOLDETF,EQ,2418,2418,2350.05,2359,2359,2390,12,28616.2,01-JAN-2016,6,INF209K01HT2,
BSLGOLDETF,EQ,2406.2,2429,2406.2,2417.6,2429,2359,2,4835.2,04-JAN-2016,2,INF209K01HT2,
BSLGOLDETF,EQ,2477,2477,2362,2420,2420,2417.6,101,241838,05-JAN-2016,10,INF209K01HT2,
BSLGOLDETF,EQ,2389.2,2389.2,2366.25,2377,2368,2420,17,40409.05,06-JAN-2016,12,INF209K01HT2,
BSLGOLDETF,EQ,2401,2479,2385.4,2479,2479,2377,144,352306.8,07-JAN-2016,27,INF209K01HT2,
BSLGOLDETF,EQ,2429.4,2450,2410.05,2430,2430,2479,43,104473.6,08-JAN-2016,11,INF209K01HT2,
BSLGOLDETF,EQ,2478,2495,2401.05,2415.85,2406.8,2430,219,536314.65,11-JAN-2016,22,INF209K01HT2,
BSLGOLDETF,EQ,2396.45,2486,2396.45,2401.35,2405,2415.85,128,310266.6,12-JAN-2016,21,INF209K01HT2,
BSLGOLDETF,EQ,2385,2385,2385,2385,2385,2401.35,3,7155,13-JAN-2016,1,INF209K01HT2,
BSLGOLDETF,EQ,2460,2475.05,2460,2475,2475,2385,112,277115.05,14-JAN-2016,9,INF209K01HT2,
BSLGOLDETF,EQ,2500,2500,2427.7,2427.7,2427.7,2475,2,4927.7,15-JAN-2016,2,INF209K01HT2,
BSLGOLDETF,EQ,2450,2450,2386.05,2450,2450,2427.7,494,1199104.1,18-JAN-2016,23,INF209K01HT2,
BSLGOLDETF,EQ,2401,2500,2390.05,2485,2485,2450,405,994736.75,19-JAN-2016,47,INF209K01HT2,
BSLGOLDETF,EQ,2485,2500,2485,2500,2500,2485,92,229769.1,20-JAN-2016,11,INF209K01HT2,
BSLGOLDETF,EQ,2451.2,2538.55,2451.2,2525,2525,2500,149,373337.8,21-JAN-2016,12,INF209K01HT2,
BSLGOLDETF,EQ,2474.5,2480,2450.05,2450.8,2450.05,2525,188,462045.05,22-JAN-2016,13,INF209K01HT2,
BSLGOLDETF,EQ,2499.45,2520,2470,2519.95,2519.95,2450.8,105,262755.2,25-JAN-2016,8,INF209K01HT2,
BSLGOLDETF,EQ,2520,2599.55,2484.1,2506.1,2505,2519.95,289,733382.9,27-JAN-2016,24,INF209K01HT2,
BSLGOLDETF,EQ,2555,2555,2515,2515,2515,2506.1,7,17680,28-JAN-2016,3,INF209K01HT2,
