SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
DCBBANK,EQ,81.9,82.4,81.1,82.1,82.2,81.65,703122,57541561.65,01-JAN-2016,3535,INE503A01015,
DCBBANK,EQ,81.85,82,79.65,79.95,79.65,82.1,834823,67355255.7,04-JAN-2016,9736,INE503A01015,
DCBBANK,EQ,80.4,81.25,79.3,79.95,80,79.95,644570,51677791.2,05-JAN-2016,4838,INE503A01015,
DCBBANK,EQ,80.05,80.5,79.6,79.9,79.85,79.95,750533,60007416.6,06-JAN-2016,4306,INE503A01015,
DCBBANK,EQ,79.3,79.4,75.7,76.1,76.1,79.9,1081153,82813043.35,07-JAN-2016,8629,INE503A01015,
DCBBANK,EQ,77.8,77.8,75.85,77.45,77.65,76.1,638869,49121745.7,08-JAN-2016,4462,INE503A01015,
DCBBANK,EQ,76.7,77.8,75.35,76,75.85,77.45,685396,52187312.55,11-JAN-2016,6535,INE503A01015,
DCBBANK,EQ,76.15,78.4,73.9,75.15,75.75,76,1764095,135228046.2,12-JAN-2016,13394,INE503A01015,
DCBBANK,EQ,78.7,80.65,76.5,79.05,79.3,75.15,5419814,427554477.65,13-JAN-2016,51568,INE503A01015,
DCBBANK,EQ,77.8,78.5,74.35,75,75.25,79.05,1626432,124762654.4,14-JAN-2016,13182,INE503A01015,
DCBBANK,EQ,76.65,76.65,74.7,75.65,76.2,75,1345384,101656437.6,15-JAN-2016,25679,INE503A01015,
DCBBANK,EQ,75.25,76.05,72.5,73.05,72.7,75.65,1020824,75271666.05,18-JAN-2016,10590,INE503A01015,
DCBBANK,EQ,73.5,74.25,72.2,73,73.2,73.05,643615,47192705.9,19-JAN-2016,3941,INE503A01015,
DCBBANK,EQ,73,73,69,70.8,70.5,73,870387,61603597.2,20-JAN-2016,6195,INE503A01015,
DCBBANK,EQ,71.6,72.8,68.4,70.05,70,70.8,951818,66526395.95,21-JAN-2016,11577,INE503A01015,
DCBBANK,EQ,71.8,72.3,70.75,72,72.05,70.05,573345,41131217.6,22-JAN-2016,3764,INE503A01015,
DCBBANK,EQ,73,73.5,71.8,72.8,72.8,72,462108,33524176.8,25-JAN-2016,5554,INE503A01015,
DCBBANK,EQ,73.55,74.55,73,74.05,74.5,72.8,434589,32043422.1,27-JAN-2016,5360,INE503A01015,
DCBBANK,EQ,74.5,75.75,73.85,75.4,75.7,74.05,364532,27260772.45,28-JAN-2016,2700,INE503A01015,
DCBBANK,EQ,75,79.9,74.25,78.3,77.95,75.4,1055379,81405286.25,29-JAN-2016,8432,INE503A01015,
DCBBANK,EQ,79,80.5,78.45,79.3,80,78.3,898201,71464320.95,01-FEB-2016,5473,INE503A01015,
DCBBANK,EQ,80,81,77.3,77.95,78,79.3,666410,52865298.35,02-FEB-2016,5568,INE503A01015,
DCBBANK,EQ,77.5,77.5,74.9,75.45,75.8,77.95,508080,38558566.5,03-FEB-2016,3359,INE503A01015,
DCBBANK,EQ,76.1,77.7,75.35,77.1,77.6,75.45,570068,43525868.8,04-FEB-2016,4761,INE503A01015,
DCBBANK,EQ,77.25,80.75,76.15,80.15,80.2,77.1,1586311,126111216.3,05-FEB-2016,8259,INE503A01015,
DCBBANK,EQ,80.2,82.6,79.25,79.9,80,80.15,1081455,87866348.75,08-FEB-2016,8847,INE503A01015,
DCBBANK,EQ,78.5,79.85,77.5,78.1,78,79.9,355390,27931776.2,09-FEB-2016,2699,INE503A01015,
DCBBANK,EQ,76.2,78,73.15,74.4,74.1,78.1,687660,51401597.55,10-FEB-2016,5490,INE503A01015,
DCBBANK,EQ,74.3,74.4,70.1,71.35,71.25,74.4,811223,58123609.25,11-FEB-2016,5654,INE503A01015,
DCBBANK,EQ,72,73.4,68.7,72,71.6,71.35,978833,69312517.35,12-FEB-2016,9036,INE503A01015,
DCBBANK,EQ,73.3,78.2,73,76.95,77.5,72,940076,71556664.1,15-FEB-2016,7380,INE503A01015,
DCBBANK,EQ,78.4,78.4,73.25,74.05,74,76.95,501400,37630660.65,16-FEB-2016,4261,INE503A01015,
DCBBANK,EQ,74.3,74.3,70.6,73,72.65,74.05,539277,39064419.8,17-FEB-2016,3548,INE503A01015,
DCBBANK,EQ,74.35,74.9,71.4,72.8,72.55,73,391140,28643668.85,18-FEB-2016,3454,INE503A01015,
DCBBANK,EQ,72.5,75,71.95,73.35,73.45,72.8,456650,33715613.1,19-FEB-2016,6040,INE503A01015,
DCBBANK,EQ,74.8,74.8,73,73.8,73.75,73.35,235711,17398191.55,22-FEB-2016,2022,INE503A01015,
DCBBANK,EQ,74,74,71.7,72.1,72.25,73.8,289671,20996943.95,23-FEB-2016,2229,INE503A01015,
DCBBANK,EQ,72.2,72.5,70.45,71.7,71.7,72.1,392778,28031434.95,24-FEB-2016,2768,INE503A01015,
DCBBANK,EQ,72,72.3,69.2,69.6,69.7,71.7,431365,30307160.35,25-FEB-2016,3281,INE503A01015,
DCBBANK,EQ,71,72.3,69.05,70,69.85,69.6,542631,38246254.3,26-FEB-2016,4573,INE503A01015,
DCBBANK,EQ,70.05,71.95,68.45,71.3,71.55,70,705939,50086198,29-FEB-2016,7040,INE503A01015,
DCBBANK,EQ,71.8,73.2,70.45,72.95,72.85,71.3,593142,42947544.7,01-MAR-2016,3864,INE503A01015,
DCBBANK,EQ,74.25,80.2,74.25,79.4,77.75,72.95,1684088,130731531.15,02-MAR-2016,12622,INE503A01015,
DCBBANK,EQ,79.85,79.85,77,77.55,77.2,79.4,784668,60981292.2,03-MAR-2016,5873,INE503A01015,
DCBBANK,EQ,77.8,79.8,76.3,77.65,77.55,77.55,949607,74081251.7,04-MAR-2016,6344,INE503A01015,
DCBBANK,EQ,77.85,78.95,76.05,76.55,76.2,77.65,725175,56447610.6,08-MAR-2016,6536,INE503A01015,
DCBBANK,EQ,76.3,77.6,74.8,76.85,76.9,76.55,443726,33991854.8,09-MAR-2016,3707,INE503A01015,
