SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
DEEPENR,EQ,69.15,69.15,55.1,67.45,66.7,68.85,19772,1316222.65,30-SEP-2020,337,INE677H01012,
DEEPENR,EQ,67.45,69.75,64.65,67.9,68,67.45,10065,674760.05,01-OCT-2020,217,INE677H01012,
DEEPENR,EQ,66.5,69,66.5,67.55,67.9,67.9,6210,419765.1,05-OCT-2020,226,INE677H01012,
DEEPENR,EQ,68.35,69.8,68.25,68.4,68.25,67.55,9748,667948.85,06-OCT-2020,185,INE677H01012,
DEEPENR,EQ,68.4,68.9,65.65,67.55,67.5,68.4,17057,1160361.3,07-OCT-2020,327,INE677H01012,
DEEPENR,EQ,69.4,69.4,67,68.3,67.5,67.55,16180,1109078.5,08-OCT-2020,222,INE677H01012,
DEEPENR,EQ,68,69.4,67.55,68.1,68,68.3,6922,472875.9,09-OCT-2020,262,INE677H01012,
DEEPENR,EQ,67,69.5,65.5,66.3,65.5,68.1,10250,687080.95,12-OCT-2020,271,INE677H01012,
DEEPENR,EQ,66.95,66.95,64.55,64.95,65,66.3,11882,778277.3,13-OCT-2020,225,INE677H01012,
DEEPENR,EQ,64.55,66.9,62.65,63.1,63,64.95,9689,615599.35,14-OCT-2020,286,INE677H01012,
DEEPENR,EQ,65.5,65.5,57.95,59.95,60.6,63.1,23181,1426501.35,15-OCT-2020,534,INE677H01012,
DEEPENR,EQ,60.65,62.5,60.2,60.95,62,59.95,12204,743209.35,16-OCT-2020,222,INE677H01012,
DEEPENR,EQ,60,63.8,58.35,60.8,62.25,60.95,14392,878698.9,19-OCT-2020,462,INE677H01012,
DEEPENR,EQ,60.1,62.5,60.05,61.55,61.9,60.8,13727,843509.9,20-OCT-2020,275,INE677H01012,
DEEPENR,EQ,61.5,63,61,62.25,63,61.55,7157,444946.25,21-OCT-2020,297,INE677H01012,
DEEPENR,EQ,61.55,64.2,61.25,62.25,62.25,62.25,6888,432624.2,22-OCT-2020,148,INE677H01012,
DEEPENR,EQ,63,63.6,62.15,62.7,62.15,62.25,5930,371743.1,23-OCT-2020,255,INE677H01012,
DEEPENR,EQ,63.9,65.8,62,62.75,63,62.7,14912,943726.85,26-OCT-2020,405,INE677H01012,
DEEPENR,EQ,63.25,64.6,61.1,63,63.5,62.75,8669,543850.2,27-OCT-2020,169,INE677H01012,
DEEPENR,EQ,64.35,64.4,62.15,63.1,63.05,63,8007,508109.95,28-OCT-2020,151,INE677H01012,
DEEPENR,EQ,62.5,63.7,61.05,63.2,63.7,63.1,5341,334429.45,29-OCT-2020,201,INE677H01012,
DEEPENR,EQ,62.05,64.85,60.4,61.75,63,63.2,7818,489786.4,30-OCT-2020,222,INE677H01012,
DEEPENR,EQ,63.5,71.25,63.4,68.5,68,61.75,146744,10112918.05,02-NOV-2020,2554,INE677H01012,
DEEPENR,EQ,69.5,69.5,66.25,68,68,68.5,19506,1336436.1,03-NOV-2020,433,INE677H01012,
DEEPENR,EQ,64.2,68.05,64.2,66.65,65.75,68,13938,922451.7,04-NOV-2020,242,INE677H01012,
DEEPENR,EQ,65.55,71,65.55,70,71,66.65,29941,2076656.35,05-NOV-2020,614,INE677H01012,
DEEPENR,EQ,71.7,71.9,69.25,70.75,70.75,70,22801,1620978.7,06-NOV-2020,502,INE677H01012,
DEEPENR,EQ,71.8,73,68.5,69.55,70.7,70.75,56910,4001541.55,09-NOV-2020,694,INE677H01012,
