SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
EIHAHOTELS,EQ,262,285.8,256,279.5,275.4,257.45,21835,5974359.85,01-JAN-2016,689,INE276C01014,
EIHAHOTELS,EQ,275,287.5,273.75,275.1,275,279.5,9217,2559545.6,04-JAN-2016,219,INE276C01014,
EIHAHOTELS,EQ,270,294,270,278.3,276,275.1,11834,3341183.95,05-JAN-2016,499,INE276C01014,
EIHAHOTELS,EQ,277,288.8,271.05,277.6,277,278.3,7685,2144420.9,06-JAN-2016,129,INE276C01014,
EIHAHOTELS,EQ,288.35,288.35,262.25,266,267,277.6,1754,473271.15,07-JAN-2016,88,INE276C01014,
EIHAHOTELS,EQ,277,277,265,270.75,274.95,266,473,128237.95,08-JAN-2016,44,INE276C01014,
EIHAHOTELS,EQ,262,268,262,265,265,270.75,1127,298818.85,11-JAN-2016,18,INE276C01014,
EIHAHOTELS,EQ,268,273.8,262,264.4,266.5,265,1738,460418.75,12-JAN-2016,79,INE276C01014,
EIHAHOTELS,EQ,270,274.95,243,251.05,247,264.4,1389,348508.4,13-JAN-2016,84,INE276C01014,
EIHAHOTELS,EQ,245,262,238,256.1,252.2,251.05,2423,605088.5,14-JAN-2016,120,INE276C01014,
EIHAHOTELS,EQ,260,261,244.5,248.85,245.1,256.1,2026,506058.85,15-JAN-2016,49,INE276C01014,
EIHAHOTELS,EQ,240.1,247,230.1,235.45,243.9,248.85,2087,500003.7,18-JAN-2016,85,INE276C01014,
EIHAHOTELS,EQ,240,256,237.1,252.45,246,235.45,2024,500163.75,19-JAN-2016,96,INE276C01014,
EIHAHOTELS,EQ,242,283.8,242,265.4,264,252.45,26374,7011424.1,20-JAN-2016,722,INE276C01014,
EIHAHOTELS,EQ,266,295,262,276.6,278,265.4,16637,4661861.9,21-JAN-2016,511,INE276C01014,
EIHAHOTELS,EQ,273.3,316.8,273.3,315.05,316,276.6,36747,11372517.65,22-JAN-2016,1114,INE276C01014,
EIHAHOTELS,EQ,317.4,325,312,312.55,312,315.05,9642,3053321.2,25-JAN-2016,397,INE276C01014,
EIHAHOTELS,EQ,312.05,325,312,315.6,313,312.55,5055,1620334.3,27-JAN-2016,214,INE276C01014,
EIHAHOTELS,EQ,319.95,328,312,317.25,315,315.6,15610,5023500.3,28-JAN-2016,372,INE276C01014,
EIHAHOTELS,EQ,318.1,322.9,314,317.25,315,317.25,4348,1384574.85,29-JAN-2016,214,INE276C01014,
EIHAHOTELS,EQ,324,324,311.5,312.25,311.5,317.25,5014,1585948.95,01-FEB-2016,197,INE276C01014,
EIHAHOTELS,EQ,311.55,316.7,310,310.75,310,312.25,2890,899854,02-FEB-2016,112,INE276C01014,
EIHAHOTELS,EQ,310.05,314.05,308.5,310.55,308.5,310.75,4185,1297218.95,03-FEB-2016,103,INE276C01014,
EIHAHOTELS,EQ,312.65,320.9,291.2,300,299.5,310.55,19771,5990412.95,04-FEB-2016,210,INE276C01014,
EIHAHOTELS,EQ,307.05,307.7,299,299.55,299,300,1263,380104.65,05-FEB-2016,89,INE276C01014,
EIHAHOTELS,EQ,311,311,297.5,297.55,297.5,299.55,4607,1375353.25,08-FEB-2016,44,INE276C01014,
EIHAHOTELS,EQ,297.5,298,296.5,296.9,296.5,297.55,809,240333.5,09-FEB-2016,20,INE276C01014,
EIHAHOTELS,EQ,296.5,296.55,289,289.5,289,296.9,16198,4738496.35,10-FEB-2016,99,INE276C01014,
EIHAHOTELS,EQ,289.5,290.95,267,267.85,267.05,289.5,48502,13450498.3,11-FEB-2016,269,INE276C01014,
EIHAHOTELS,EQ,267,274.8,261.5,269.75,273.05,267.85,20671,5471915.65,12-FEB-2016,155,INE276C01014,
EIHAHOTELS,EQ,270,286.95,270,277.2,278,269.75,1620,451487.8,15-FEB-2016,84,INE276C01014,
EIHAHOTELS,EQ,280,283.65,265.1,266.1,271.5,277.2,1489,405382.6,16-FEB-2016,34,INE276C01014,
EIHAHOTELS,EQ,282.1,287,259.5,267.6,267.5,266.1,8010,2102021.3,17-FEB-2016,144,INE276C01014,
EIHAHOTELS,EQ,281,281,264,265.6,264,267.6,5211,1384279.15,18-FEB-2016,99,INE276C01014,
EIHAHOTELS,EQ,269.9,269.9,261.5,264.25,264.05,265.6,2789,740109.8,19-FEB-2016,39,INE276C01014,
EIHAHOTELS,EQ,261.3,281.95,261.25,278.95,281.95,264.25,2782,772835.15,22-FEB-2016,110,INE276C01014,
EIHAHOTELS,EQ,272.05,281,270,270.55,271,278.95,1896,514122.45,23-FEB-2016,62,INE276C01014,
EIHAHOTELS,EQ,279,279.9,270,270.2,270,270.55,464,127315.6,24-FEB-2016,18,INE276C01014,
EIHAHOTELS,EQ,270,276,270,271.3,270,270.2,325,88478.95,25-FEB-2016,13,INE276C01014,
EIHAHOTELS,EQ,313,313,267,267,267,271.3,48,13096.3,26-FEB-2016,7,INE276C01014,
EIHAHOTELS,EQ,260,276.4,260,272.25,272.25,267,1370,372453.1,29-FEB-2016,32,INE276C01014,
EIHAHOTELS,EQ,296.5,300.15,280.3,288.25,284,272.25,3934,1156482.95,01-MAR-2016,146,INE276C01014,
EIHAHOTELS,EQ,299.95,299.95,277.1,278.3,278.3,288.25,16801,4789855.5,02-MAR-2016,83,INE276C01014,
EIHAHOTELS,EQ,280,289.85,271.3,277.55,277.2,278.3,2528,700717.4,03-MAR-2016,61,INE276C01014,
EIHAHOTELS,EQ,277,291,277,281.85,280.35,277.55,16417,4689265.95,04-MAR-2016,41,INE276C01014,
EIHAHOTELS,EQ,289.95,300,281.4,284.35,281.8,281.85,7561,2183393.15,08-MAR-2016,1534,INE276C01014,
