SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
GICRE,EQ,850,899,780,874.3,898,912,27556221,23280686505.65,25-OCT-2017,406110,INE481Y01014,
GICRE,EQ,879.5,879.5,845,852.15,848,874.3,2045983,1757420361.5,26-OCT-2017,59551,INE481Y01014,
GICRE,EQ,850,858,830,834.85,838.9,852.15,561271,472949768.45,27-OCT-2017,17200,INE481Y01014,
GICRE,EQ,834.85,860.05,826.25,855.45,858,834.85,894609,755654749.95,30-OCT-2017,26678,INE481Y01014,
GICRE,EQ,850,875,844.05,861.95,866,855.45,1380572,1193773331,31-OCT-2017,45868,INE481Y01014,
GICRE,EQ,865,868,844.55,848,845,861.95,268587,229993429.4,01-NOV-2017,11184,INE481Y01014,
GICRE,EQ,845,852.5,835,837.8,836,848,165896,139925851.4,02-NOV-2017,8133,INE481Y01014,
GICRE,EQ,832,842,827.5,830.05,829,837.8,172227,143805212.15,03-NOV-2017,7225,INE481Y01014,
GICRE,EQ,828,831.95,815,817.8,816.95,830.05,199889,164673002.65,06-NOV-2017,9889,INE481Y01014,
GICRE,EQ,817.8,830,802.55,806.75,810,817.8,239129,194742887.1,07-NOV-2017,9590,INE481Y01014,
GICRE,EQ,806,811.05,799.05,800.05,801,806.75,157748,126980585.5,08-NOV-2017,6727,INE481Y01014,
GICRE,EQ,801,810,790,791.4,792,800.05,268063,213332411.95,09-NOV-2017,9076,INE481Y01014,
GICRE,EQ,790.1,830,790.1,822.05,829.2,791.4,460788,374889169.3,10-NOV-2017,14299,INE481Y01014,
GICRE,EQ,825.05,849,807.5,811.85,810.6,822.05,626837,519893188.9,13-NOV-2017,22460,INE481Y01014,
GICRE,EQ,823.5,833.85,816.05,824.85,822.1,811.85,238195,196512107.5,14-NOV-2017,9287,INE481Y01014,
GICRE,EQ,825,825,796.1,799.95,798.4,824.85,101299,81859256.95,15-NOV-2017,5642,INE481Y01014,
GICRE,EQ,800.6,813,800,802.65,801.05,799.95,89209,71832342.8,16-NOV-2017,4418,INE481Y01014,
GICRE,EQ,803.75,810.1,792,793.75,792,802.65,204024,163294083.25,17-NOV-2017,8586,INE481Y01014,
GICRE,EQ,795,802.3,792.05,799.85,798.55,793.75,281824,225310740.85,20-NOV-2017,9265,INE481Y01014,
GICRE,EQ,796.15,820.8,793,796.5,796,799.85,351467,283036202.55,21-NOV-2017,12632,INE481Y01014,
GICRE,EQ,800,808.8,797,798.5,800,796.5,113027,90638439.35,22-NOV-2017,5908,INE481Y01014,
GICRE,EQ,797.15,804.7,791.65,794.2,792.5,798.5,116569,93066239.95,23-NOV-2017,5788,INE481Y01014,
GICRE,EQ,799.8,799.8,792.65,795.8,795,794.2,81887,65168982.85,24-NOV-2017,3858,INE481Y01014,
GICRE,EQ,796,797.4,785,787.2,785.6,795.8,197791,156439592.2,27-NOV-2017,8391,INE481Y01014,
GICRE,EQ,786,800,786,798.1,796,787.2,156129,123844220.1,28-NOV-2017,7638,INE481Y01014,
GICRE,EQ,797.5,805.9,794.5,801.45,800.75,798.1,127947,102437746.65,29-NOV-2017,6778,INE481Y01014,
GICRE,EQ,803,812,795.1,803.25,800.15,801.45,145010,116814840.9,30-NOV-2017,4568,INE481Y01014,
GICRE,EQ,806.4,806.4,795,796.95,797,803.25,96736,77422585.85,01-DEC-2017,6059,INE481Y01014,
GICRE,EQ,797,799.95,786.1,795.85,795.35,796.95,74054,58856587.85,04-DEC-2017,8544,INE481Y01014,
GICRE,EQ,795.8,798,790.05,793.3,797.8,795.85,61386,48625442.65,05-DEC-2017,3461,INE481Y01014,
GICRE,EQ,795,801.75,786,800.8,801,793.3,109219,87317398.5,06-DEC-2017,8213,INE481Y01014,
GICRE,EQ,795.55,806,795.55,802.65,800,800.8,92495,74084965.15,07-DEC-2017,8655,INE481Y01014,
GICRE,EQ,799,804.6,795.5,801.4,800,802.65,64572,51722364.7,08-DEC-2017,3234,INE481Y01014,
GICRE,EQ,801.9,803.05,790,791.75,790.35,801.4,127370,101630913.5,11-DEC-2017,3748,INE481Y01014,
GICRE,EQ,790,798,790,790.35,790,791.75,57287,45323879.25,12-DEC-2017,3191,INE481Y01014,
GICRE,EQ,788.25,794.6,785,786.95,787,790.35,44143,34806849.3,13-DEC-2017,2721,INE481Y01014,
GICRE,EQ,785.35,788.35,777,778.9,778,786.95,61968,48400746.2,14-DEC-2017,3465,INE481Y01014,
GICRE,EQ,782.3,786,775,780.4,778.5,778.9,75233,58643204.95,15-DEC-2017,4513,INE481Y01014,
GICRE,EQ,780,784.85,767,782,784,780.4,75037,58458185.2,18-DEC-2017,4269,INE481Y01014,
GICRE,EQ,782.55,789.5,777.55,782.4,785,782,126378,99072873.4,19-DEC-2017,4988,INE481Y01014,
GICRE,EQ,779.05,790,779.05,785.1,785,782.4,62459,49057733.6,20-DEC-2017,4808,INE481Y01014,
GICRE,EQ,787,790,780,780.6,780.1,785.1,77568,60667675.05,21-DEC-2017,3157,INE481Y01014,
GICRE,EQ,778,782.2,773.1,773.8,773.55,780.6,100409,77908270,22-DEC-2017,4511,INE481Y01014,
GICRE,EQ,775,781.8,771,779.55,779,773.8,132431,102898108.7,26-DEC-2017,5076,INE481Y01014,
GICRE,EQ,780,780,763.5,765.35,764,779.55,243888,188388423.2,27-DEC-2017,7006,INE481Y01014,
GICRE,EQ,765.35,773.2,760.6,761.4,761,765.35,81062,61990898.15,28-DEC-2017,4650,INE481Y01014,
GICRE,EQ,762,762.6,752.5,753.7,753,761.4,110137,83270620.4,29-DEC-2017,6790,INE481Y01014,
GICRE,EQ,753,767.05,752.3,764.75,765.05,753.7,99009,75591192.8,01-JAN-2018,4065,INE481Y01014,
GICRE,EQ,764.75,770,760,762.75,763,764.75,63302,48388636.15,02-JAN-2018,2559,INE481Y01014,
GICRE,EQ,762.9,769.75,762.8,765.85,766,762.75,58158,44586110,03-JAN-2018,2344,INE481Y01014,
GICRE,EQ,765,777.85,762,767.8,768,765.85,91645,70605010.6,04-JAN-2018,3935,INE481Y01014,
GICRE,EQ,768,774,764,764.35,764.8,767.8,63778,48929026.8,05-JAN-2018,2795,INE481Y01014,
GICRE,EQ,764.45,774.95,764.45,772.1,771.55,764.35,262194,202282513.5,08-JAN-2018,3201,INE481Y01014,
