SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
GLFL,EQ,1.4,1.4,1.4,1.4,1.4,1.35,2500,3500,04-JAN-2016,1,INE540A01017,
GLFL,EQ,1.4,1.45,1.4,1.45,1.45,1.4,6350,8907.5,06-JAN-2016,3,INE540A01017,
GLFL,EQ,1.5,1.5,1.5,1.5,1.5,1.45,4498,6747,07-JAN-2016,2,INE540A01017,
GLFL,EQ,1.55,1.55,1.55,1.55,1.55,1.5,100,155,12-JAN-2016,1,INE540A01017,
GLFL,EQ,1.55,1.55,1.55,1.55,1.55,1.55,300,465,13-JAN-2016,1,INE540A01017,
GLFL,EQ,1.55,1.55,1.55,1.55,1.55,1.55,35,54.25,15-JAN-2016,1,INE540A01017,
GLFL,EQ,1.6,1.6,1.6,1.6,1.6,1.55,1000,1600,18-JAN-2016,1,INE540A01017,
GLFL,EQ,1.65,1.65,1.65,1.65,1.65,1.6,612,1009.8,27-JAN-2016,1,INE540A01017,
GLFL,EQ,1.7,1.7,1.7,1.7,1.7,1.65,187,317.9,04-FEB-2016,1,INE540A01017,
GLFL,EQ,1.7,1.7,1.7,1.7,1.7,1.7,1,1.7,05-FEB-2016,1,INE540A01017,
GLFL,BE,1.75,1.75,1.75,1.75,1.75,1.7,250,437.5,17-FEB-2016,1,INE540A01017,
GLFL,BE,1.8,1.8,1.8,1.8,1.8,1.75,125,225,18-FEB-2016,1,INE540A01017,
GLFL,BE,1.85,1.85,1.85,1.85,1.85,1.8,300,555,23-FEB-2016,1,INE540A01017,
GLFL,BE,1.9,1.9,1.9,1.9,1.9,1.85,2,3.8,24-FEB-2016,1,INE540A01017,
GLFL,BE,1.95,1.95,1.95,1.95,1.95,1.9,25,48.75,26-FEB-2016,1,INE540A01017,
GLFL,BE,2,2,2,2,2,1.95,187,374,29-FEB-2016,1,INE540A01017,
GLFL,BE,2,2,2,2,2,2,200,400,01-MAR-2016,1,INE540A01017,
GLFL,BE,2.1,2.1,2.1,2.1,2.1,2,25,52.5,03-MAR-2016,1,INE540A01017,
GLFL,BE,2.2,2.2,2.2,2.2,2.2,2.1,100,220,04-MAR-2016,1,INE540A01017,
GLFL,BE,2.3,2.3,2.3,2.3,2.3,2.2,1900,4370,08-MAR-2016,2,INE540A01017,
GLFL,EQ,2.2,2.35,2.2,2.35,2.35,2.3,5225,12245,10-MAR-2016,3,INE540A01017,
GLFL,EQ,2.45,2.45,2.45,2.45,2.45,2.35,3000,7350,11-MAR-2016,4,INE540A01017,
GLFL,EQ,2.35,2.35,2.35,2.35,2.35,2.45,125,293.75,17-MAR-2016,1,INE540A01017,
GLFL,EQ,2.25,2.25,2.25,2.25,2.25,2.35,75,168.75,18-MAR-2016,1,INE540A01017,
GLFL,EQ,2.25,2.25,2.25,2.25,2.25,2.25,50,112.5,12-APR-2016,1,INE540A01017,
GLFL,EQ,2.15,2.15,2.15,2.15,2.15,2.25,2000,4300,13-MAY-2016,2,INE540A01017,
GLFL,EQ,2.15,2.15,2.15,2.15,2.15,2.15,100,215,27-MAY-2016,1,INE540A01017,
GLFL,EQ,2.05,2.05,2.05,2.05,2.05,2.15,3000,6150,01-JUL-2016,2,INE540A01017,
GLFL,EQ,1.95,1.95,1.95,1.95,1.95,2.05,300,585,07-JUL-2016,1,INE540A01017,
GLFL,EQ,1.9,1.9,1.9,1.9,1.9,1.95,5000,9500,08-JUL-2016,1,INE540A01017,
GLFL,EQ,1.85,1.85,1.85,1.85,1.85,1.9,200,370,12-JUL-2016,1,INE540A01017,
GLFL,EQ,1.85,1.85,1.85,1.85,1.85,1.85,100,185,21-JUL-2016,1,INE540A01017,
GLFL,EQ,1.8,1.8,1.8,1.8,1.8,1.85,1000,1800,26-JUL-2016,1,INE540A01017,
GLFL,EQ,1.75,1.75,1.75,1.75,1.75,1.8,100,175,08-SEP-2016,1,INE540A01017,
GLFL,EQ,1.7,1.7,1.7,1.7,1.7,1.75,100,170,09-SEP-2016,1,INE540A01017,
GLFL,EQ,1.65,1.65,1.65,1.65,1.65,1.7,100,165,14-SEP-2016,1,INE540A01017,
GLFL,EQ,1.6,1.6,1.6,1.6,1.6,1.65,1000,1600,21-SEP-2016,1,INE540A01017,
GLFL,EQ,1.65,1.65,1.65,1.65,1.65,1.6,300,495,22-SEP-2016,1,INE540A01017,
GLFL,EQ,1.7,1.7,1.7,1.7,1.7,1.65,5000,8500,26-SEP-2016,1,INE540A01017,
GLFL,EQ,1.7,1.75,1.7,1.75,1.75,1.7,295,503.75,27-SEP-2016,4,INE540A01017,
GLFL,EQ,1.7,1.7,1.7,1.7,1.7,1.75,3004,5106.8,28-SEP-2016,3,INE540A01017,
GLFL,EQ,1.65,1.65,1.65,1.65,1.65,1.7,150,247.5,29-SEP-2016,1,INE540A01017,
GLFL,EQ,1.6,1.6,1.6,1.6,1.6,1.65,1,1.6,30-SEP-2016,1,INE540A01017,
GLFL,EQ,1.65,1.65,1.65,1.65,1.65,1.6,299,493.35,04-OCT-2016,1,INE540A01017,
GLFL,EQ,1.7,1.7,1.7,1.7,1.7,1.65,2020,3434,05-OCT-2016,3,INE540A01017,
GLFL,EQ,1.7,1.75,1.7,1.75,1.75,1.7,4375,7637.5,06-OCT-2016,2,INE540A01017,
GLFL,EQ,1.8,1.8,1.8,1.8,1.8,1.75,3781,6805.8,07-OCT-2016,3,INE540A01017,
GLFL,EQ,1.85,1.85,1.8,1.85,1.85,1.8,5250,9493.75,13-OCT-2016,4,INE540A01017,
GLFL,EQ,1.9,1.9,1.9,1.9,1.9,1.85,1512,2872.8,17-OCT-2016,3,INE540A01017,
