SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
GMRINFRA,EQ,16.35,16.6,16.05,16.45,16.45,16.4,19879956,325387812.05,01-JAN-2016,12659,INE776C01039,
GMRINFRA,EQ,16.35,16.75,15.75,15.95,15.95,16.45,31009506,500983871.55,04-JAN-2016,14165,INE776C01039,
GMRINFRA,EQ,16.05,16.15,15.85,15.95,16.05,15.95,14091894,225160529.35,05-JAN-2016,11160,INE776C01039,
GMRINFRA,EQ,16,16.3,15.85,15.9,15.9,15.95,12906434,207100074.05,06-JAN-2016,9972,INE776C01039,
GMRINFRA,EQ,15.7,15.7,14.65,14.85,14.85,15.9,17377220,262550540.15,07-JAN-2016,14919,INE776C01039,
GMRINFRA,EQ,15,15.35,14.85,15.25,15.25,14.85,11264805,170447647.1,08-JAN-2016,12313,INE776C01039,
GMRINFRA,EQ,15,15.3,14.7,15.1,15.15,15.25,11023001,165828832.2,11-JAN-2016,11807,INE776C01039,
GMRINFRA,EQ,15.2,15.3,14.7,14.85,14.85,15.1,10902228,163396697.1,12-JAN-2016,10892,INE776C01039,
GMRINFRA,EQ,15.15,15.15,13.7,14.25,14.25,14.85,24233945,345539453.35,13-JAN-2016,17316,INE776C01039,
GMRINFRA,EQ,13.85,14.15,13.6,13.9,13.9,14.25,11476513,159720676.1,14-JAN-2016,11255,INE776C01039,
GMRINFRA,EQ,13.9,14.15,13.2,13.3,13.4,13.9,13910939,190824689.6,15-JAN-2016,8598,INE776C01039,
GMRINFRA,EQ,13.35,13.45,12.55,12.65,12.6,13.3,19846310,256533519.65,18-JAN-2016,12351,INE776C01039,
GMRINFRA,EQ,12.75,13.3,12.5,13,13.15,12.65,18987189,245304485.6,19-JAN-2016,11335,INE776C01039,
GMRINFRA,EQ,12.9,12.9,12.2,12.4,12.4,13,16064724,200024745.35,20-JAN-2016,11622,INE776C01039,
GMRINFRA,EQ,12.65,12.9,12.45,12.6,12.7,12.4,14118808,178250656.8,21-JAN-2016,11176,INE776C01039,
GMRINFRA,EQ,12.9,13.2,12.8,13,13,12.6,17642026,229472485.95,22-JAN-2016,8164,INE776C01039,
GMRINFRA,EQ,13.15,13.4,12.6,12.7,12.7,13,14069240,182804182.9,25-JAN-2016,11539,INE776C01039,
GMRINFRA,EQ,12.95,13.05,12.7,12.9,12.9,12.7,12243065,157842333.65,27-JAN-2016,8140,INE776C01039,
GMRINFRA,EQ,13.05,13.05,12.4,12.6,12.75,12.9,19558817,248356758.9,28-JAN-2016,9988,INE776C01039,
GMRINFRA,EQ,12.7,13.05,12.45,13,13,12.6,22600513,291108564.4,29-JAN-2016,7782,INE776C01039,
GMRINFRA,EQ,13.1,13.15,12.85,12.95,12.95,13,8282989,107581340.55,01-FEB-2016,7761,INE776C01039,
GMRINFRA,EQ,12.85,13.5,12.55,12.7,12.55,12.95,24406776,319301339.85,02-FEB-2016,14983,INE776C01039,
GMRINFRA,EQ,12.45,12.45,11.95,12.05,12.05,12.7,13772669,167885887.45,03-FEB-2016,14204,INE776C01039,
GMRINFRA,EQ,12.3,12.35,11.75,11.95,12.1,12.05,9344914,113188579.2,04-FEB-2016,6507,INE776C01039,
GMRINFRA,EQ,12.1,12.45,11.9,12.3,12.45,11.95,8941747,108832496.15,05-FEB-2016,4820,INE776C01039,
GMRINFRA,EQ,12.55,12.85,12.4,12.5,12.5,12.3,10849091,137042701.8,08-FEB-2016,10436,INE776C01039,
GMRINFRA,EQ,12.3,12.45,12.15,12.3,12.3,12.5,9262947,113932080.2,09-FEB-2016,5131,INE776C01039,
GMRINFRA,EQ,12.3,12.35,11.95,12,12,12.3,9406504,114076943.4,10-FEB-2016,6044,INE776C01039,
GMRINFRA,EQ,12.3,12.5,9.75,10.5,10.55,12,37325322,419001962,11-FEB-2016,20945,INE776C01039,
GMRINFRA,EQ,10.5,11.15,9.95,11,11,10.5,35734142,378794297.85,12-FEB-2016,15214,INE776C01039,
GMRINFRA,EQ,11.3,11.7,11.25,11.45,11.55,11,11265685,129447120.25,15-FEB-2016,9709,INE776C01039,
GMRINFRA,EQ,11.6,11.65,10.85,10.95,11.1,11.45,9653351,108288881.7,16-FEB-2016,8977,INE776C01039,
GMRINFRA,EQ,11.05,11.2,10.3,11.1,11.1,10.95,20450722,221621499.1,17-FEB-2016,8261,INE776C01039,
GMRINFRA,EQ,11.3,11.45,10.85,11.1,11.2,11.1,7124790,79527193.5,18-FEB-2016,6893,INE776C01039,
GMRINFRA,EQ,10.9,11.45,10.9,11.2,11.2,11.1,12890216,143710979.7,19-FEB-2016,6259,INE776C01039,
GMRINFRA,EQ,11.3,11.35,11.05,11.1,11.1,11.2,7009652,78306221.45,22-FEB-2016,8834,INE776C01039,
GMRINFRA,EQ,11.2,11.4,11.05,11.25,11.25,11.1,13471971,151551945.25,23-FEB-2016,16419,INE776C01039,
GMRINFRA,EQ,11.2,12.9,11.05,11.7,11.75,11.25,45680133,550440773.2,24-FEB-2016,45376,INE776C01039,
