SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
GRINDWELL,EQ,759.95,759.95,746.15,750.35,747.05,769.5,774,582686.8,01-JAN-2016,108,INE536A01023,
GRINDWELL,EQ,749.9,750,730,735.65,735,750.35,1183,876260.15,04-JAN-2016,154,INE536A01023,
GRINDWELL,EQ,736,760,735,745.05,750,735.65,713543,531651741.6,05-JAN-2016,391,INE536A01023,
GRINDWELL,EQ,763.6,763.6,718.1,732.25,730,745.05,3631,2689063.75,06-JAN-2016,171,INE536A01023,
GRINDWELL,EQ,737.95,737.95,715,722.5,715,732.25,2209,1603616.6,07-JAN-2016,197,INE536A01023,
GRINDWELL,EQ,729,741.95,721.1,726.9,734,722.5,808,590486.9,08-JAN-2016,97,INE536A01023,
GRINDWELL,EQ,723,738.75,714,717.05,719,726.9,1689,1229941.05,11-JAN-2016,198,INE536A01023,
GRINDWELL,EQ,719,730,705.25,724.8,720,717.05,3740,2710593.8,12-JAN-2016,151,INE536A01023,
GRINDWELL,EQ,742,742,683.05,705.4,700.15,724.8,6603,4638515.8,13-JAN-2016,587,INE536A01023,
GRINDWELL,EQ,693.05,729,684,719.95,720,705.4,1810,1289629.25,14-JAN-2016,211,INE536A01023,
GRINDWELL,EQ,715,724,705.1,713.25,716,719.95,1001,718005.45,15-JAN-2016,131,INE536A01023,
GRINDWELL,EQ,706,716.9,650.55,672.85,675,713.25,6787,4512543.25,18-JAN-2016,978,INE536A01023,
GRINDWELL,EQ,641.2,699,641.2,691.55,689.85,672.85,4457,3038909.1,19-JAN-2016,159,INE536A01023,
GRINDWELL,EQ,661.05,684,660,683.4,684,691.55,51422,34706333.6,20-JAN-2016,126,INE536A01023,
GRINDWELL,EQ,677,700,663.75,696,700,683.4,2513,1707169.45,21-JAN-2016,258,INE536A01023,
GRINDWELL,EQ,677,699.9,673.1,695.55,695,696,1517,1049665.55,22-JAN-2016,124,INE536A01023,
GRINDWELL,EQ,687.15,698,687,695.9,697.8,695.55,1221,848656.35,25-JAN-2016,94,INE536A01023,
GRINDWELL,EQ,698,719.9,695,707.6,701,695.9,2133,1494556.45,27-JAN-2016,319,INE536A01023,
GRINDWELL,EQ,710.9,734.95,710.9,725.5,730,707.6,100981,73210241.8,28-JAN-2016,697,INE536A01023,
GRINDWELL,EQ,715.05,737,710.2,727.95,720.05,725.5,2534,1836409.35,29-JAN-2016,164,INE536A01023,
GRINDWELL,EQ,734.95,734.95,710,713.25,710.3,727.95,847,612435.85,01-FEB-2016,117,INE536A01023,
GRINDWELL,EQ,711.05,732.75,698,710.85,700,713.25,2252,1602723.15,02-FEB-2016,218,INE536A01023,
GRINDWELL,EQ,686.5,702.8,651.45,672.4,668,710.85,137349,92031549.25,03-FEB-2016,289,INE536A01023,
GRINDWELL,EQ,692.95,692.95,672.35,675.65,683.85,672.4,25896,17485394.15,04-FEB-2016,67,INE536A01023,
GRINDWELL,EQ,675,689.95,658,677.65,680,675.65,2335,1569501.1,05-FEB-2016,244,INE536A01023,
GRINDWELL,EQ,666,684.9,660.4,668.8,665,677.65,1278,863272.2,08-FEB-2016,156,INE536A01023,
GRINDWELL,EQ,661.05,683,661,668.05,674.95,668.8,1016,681309.75,09-FEB-2016,207,INE536A01023,
GRINDWELL,EQ,651,667,642,661.1,665,668.05,2120,1382314.7,10-FEB-2016,224,INE536A01023,
GRINDWELL,EQ,645,663.25,636,639,636,661.1,1643,1063957.25,11-FEB-2016,187,INE536A01023,
GRINDWELL,EQ,606.1,649,590.3,604.25,611.9,639,2190,1332713.25,12-FEB-2016,173,INE536A01023,
GRINDWELL,EQ,609,624.8,582.5,607.95,607.8,604.25,1305,803616.15,15-FEB-2016,167,INE536A01023,
GRINDWELL,EQ,614,620,596.45,609.3,619.95,607.95,901,547905.9,16-FEB-2016,97,INE536A01023,
GRINDWELL,EQ,600.15,623,583,621.55,623,609.3,1391,846728.15,17-FEB-2016,192,INE536A01023,
GRINDWELL,EQ,626.95,626.95,606,611.25,620,621.55,1183,727151.55,18-FEB-2016,198,INE536A01023,
GRINDWELL,EQ,628,628,607,619.15,617.15,611.25,9385,5712341.8,19-FEB-2016,88,INE536A01023,
GRINDWELL,EQ,605.55,630,599.45,621.05,620.05,619.15,3324,2039419.05,22-FEB-2016,392,INE536A01023,
GRINDWELL,EQ,615,632.6,601,606.65,601,621.05,694,424458.8,23-FEB-2016,81,INE536A01023,
GRINDWELL,EQ,602,614.3,591.1,596.15,592,606.65,2118,1271424.75,24-FEB-2016,158,INE536A01023,
GRINDWELL,EQ,585,617.8,572.6,604.95,608,596.15,6286,3779911.6,25-FEB-2016,357,INE536A01023,
GRINDWELL,EQ,597,613.9,586.3,600,600,604.95,421760,253055962.75,26-FEB-2016,144,INE536A01023,
GRINDWELL,EQ,601,620.9,578,600.05,610,600,11538,6803964.05,29-FEB-2016,1511,INE536A01023,
GRINDWELL,EQ,615,630.3,593.5,623.85,629,600.05,2765,1717865.8,01-MAR-2016,346,INE536A01023,
GRINDWELL,EQ,628,631.95,624,625.8,624,623.85,476,298053,02-MAR-2016,78,INE536A01023,
GRINDWELL,EQ,626,639,586,601.75,595.55,625.8,14449,8801302.2,03-MAR-2016,644,INE536A01023,
GRINDWELL,EQ,601.25,613.85,584.2,595.35,594,601.75,2739,1644565.15,04-MAR-2016,194,INE536A01023,
GRINDWELL,EQ,590,620,590,603.15,607,595.35,2602,1575152.05,08-MAR-2016,269,INE536A01023,
GRINDWELL,EQ,605.95,610,597,600.6,610,603.15,14260,8559265,09-MAR-2016,1944,INE536A01023,
GRINDWELL,EQ,614.55,615,599.5,612,614.95,600.6,2078,1257902.1,10-MAR-2016,177,INE536A01023,
GRINDWELL,EQ,607.05,617.95,600.15,610.8,615,612,2790,1693383.75,11-MAR-2016,215,INE536A01023,
GRINDWELL,EQ,618,654.4,611.05,645.5,641,610.8,9265,5852108.95,14-MAR-2016,467,INE536A01023,
GRINDWELL,EQ,649,653.85,620.55,623.8,626,645.5,2276,1429741.65,15-MAR-2016,163,INE536A01023,
GRINDWELL,EQ,625,674.8,625,654.6,671,623.8,3357,2177171,16-MAR-2016,597,INE536A01023,
GRINDWELL,EQ,675,698.8,650.55,689.55,672.2,654.6,8460,5796046.85,17-MAR-2016,853,INE536A01023,
GRINDWELL,EQ,677,699,671.5,685.15,684.95,689.55,7740,5300314.7,18-MAR-2016,499,INE536A01023,
GRINDWELL,EQ,685,689,673.35,684.95,685,685.15,6750,4620590.45,21-MAR-2016,318,INE536A01023,
GRINDWELL,EQ,680,693.9,668.3,680.05,673,684.95,7065,4800091.55,22-MAR-2016,361,INE536A01023,
GRINDWELL,EQ,668.1,698,658,678,669.95,680.05,3598,2421241.5,23-MAR-2016,263,INE536A01023,
GRINDWELL,EQ,671,688,662.05,672.9,675,678,3388,2285381.1,28-MAR-2016,288,INE536A01023,
GRINDWELL,EQ,679,724.95,655,716.8,724.95,672.9,7983,5537923.75,29-MAR-2016,610,INE536A01023,
GRINDWELL,EQ,720,720,690.15,691.95,690.5,716.8,2031,1416749,30-MAR-2016,203,INE536A01023,
GRINDWELL,EQ,695,695,667.05,673.35,670,691.95,3602,2457121.05,31-MAR-2016,189,INE536A01023,
GRINDWELL,EQ,666,675,665,673.7,675,673.35,868,582020.6,01-APR-2016,127,INE536A01023,
GRINDWELL,EQ,678.5,678.5,654,657.25,654.6,673.7,1155,762690.75,04-APR-2016,190,INE536A01023,
GRINDWELL,EQ,650,665,642.05,649.85,650,657.25,5504,3577079.3,05-APR-2016,172,INE536A01023,
GRINDWELL,EQ,649,650,641.25,649.9,650,649.85,5979,3885416.95,06-APR-2016,119,INE536A01023,
GRINDWELL,EQ,645.05,649.95,631.1,645.2,645,649.9,1222,784659.15,07-APR-2016,188,INE536A01023,
GRINDWELL,EQ,645.2,652,637.55,650.05,650,645.2,8598,5587539.9,08-APR-2016,328,INE536A01023,
GRINDWELL,EQ,655,655,641.25,645.8,645,650.05,3325,2159023.75,11-APR-2016,113,INE536A01023,
GRINDWELL,EQ,646.05,659.95,628.1,654.4,651.5,645.8,4684,3008256.5,12-APR-2016,673,INE536A01023,
GRINDWELL,EQ,676,676.05,644,652.6,650.25,654.4,5919,3872303.55,13-APR-2016,288,INE536A01023,
GRINDWELL,EQ,653,690.8,648,652.5,648,652.6,2096,1373053.2,18-APR-2016,124,INE536A01023,
GRINDWELL,EQ,655.5,669.85,641.1,644.6,645,652.5,2969,1935394.25,20-APR-2016,324,INE536A01023,
GRINDWELL,EQ,647,704,647,684.15,682.05,644.6,14490,9893152.1,21-APR-2016,2666,INE536A01023,
GRINDWELL,EQ,682.05,718,652.35,661.1,657,684.15,2594,1741716.25,22-APR-2016,252,INE536A01023,
GRINDWELL,EQ,661.1,661.1,643.45,649.9,650,661.1,3381,2200698.05,25-APR-2016,114,INE536A01023,
GRINDWELL,EQ,670,670,645,654.1,649.95,649.9,4015,2616482.9,26-APR-2016,115,INE536A01023,
GRINDWELL,EQ,650,651,646,649,650,654.1,5001,3248048.5,27-APR-2016,204,INE536A01023,
GRINDWELL,EQ,664.95,664.95,646,648.8,647,649,2084,1354150.9,28-APR-2016,156,INE536A01023,
GRINDWELL,EQ,650,650.25,641,649.75,646.1,648.8,2990,1936359.85,29-APR-2016,151,INE536A01023,
GRINDWELL,EQ,647.15,650.05,638,647,645,649.75,1647,1062060.65,02-MAY-2016,164,INE536A01023,
GRINDWELL,EQ,643,653,636.1,647.25,647.75,647,3166,2043198.5,03-MAY-2016,329,INE536A01023,
GRINDWELL,EQ,647.3,650,642,643.35,642,647.25,20958,13497931.3,04-MAY-2016,127,INE536A01023,
GRINDWELL,EQ,645,650,642,645.45,646.05,643.35,3057,1979402.8,05-MAY-2016,249,INE536A01023,
GRINDWELL,EQ,649.9,650,642.05,647.3,644.1,645.45,1364,882181.3,06-MAY-2016,92,INE536A01023,
GRINDWELL,EQ,649.95,650.05,642,649.9,650.05,647.3,6089,3950750.05,09-MAY-2016,721,INE536A01023,
GRINDWELL,EQ,645.05,651,641.55,645.4,645.15,649.9,1343,871607.05,10-MAY-2016,96,INE536A01023,
GRINDWELL,EQ,648.9,648.95,636.4,641.7,646,645.4,1824,1170467.45,11-MAY-2016,136,INE536A01023,
GRINDWELL,EQ,649.3,651.25,638.3,647.25,640.1,641.7,73777,47896626.1,12-MAY-2016,448,INE536A01023,
GRINDWELL,EQ,647.95,649.85,635,638.4,635.5,647.25,1898,1219873.45,13-MAY-2016,188,INE536A01023,
GRINDWELL,EQ,633,633.95,585,622,623,638.4,6586,4091828.3,16-MAY-2016,458,INE536A01023,
GRINDWELL,EQ,647,647,622.55,625.45,622.55,622,2452,1539546.8,17-MAY-2016,315,INE536A01023,
GRINDWELL,EQ,636.6,645,625,636.45,636.9,625.45,2184,1378020.95,18-MAY-2016,174,INE536A01023,
GRINDWELL,EQ,625.05,649,625,646.25,637.75,636.45,1757,1126298.8,19-MAY-2016,255,INE536A01023,
GRINDWELL,EQ,629,644,625.55,637.5,630.3,646.25,4523,2873992.45,20-MAY-2016,433,INE536A01023,
GRINDWELL,EQ,659.95,659.95,626,637.7,635.05,637.5,1014,647951.25,23-MAY-2016,132,INE536A01023,
GRINDWELL,EQ,644.95,645,623.05,631.4,632,637.7,1612,1018649.65,24-MAY-2016,154,INE536A01023,
GRINDWELL,EQ,643.7,643.7,630,639.05,635,631.4,1082,687799.2,25-MAY-2016,151,INE536A01023,
GRINDWELL,EQ,637.95,637.95,628.05,630.25,628.05,639.05,1459,920006.9,26-MAY-2016,190,INE536A01023,
GRINDWELL,EQ,630.25,644.8,630,639.5,639.45,630.25,1121,710350.95,27-MAY-2016,123,INE536A01023,
GRINDWELL,EQ,639.45,640,628.2,631.2,632,639.5,2141,1355389.75,30-MAY-2016,185,INE536A01023,
GRINDWELL,EQ,685.55,722.1,672.05,678.85,674.5,631.2,61740,43028061,31-MAY-2016,3763,INE536A01023,
GRINDWELL,EQ,687.9,691.5,670.1,679.95,680,678.85,27057,18467224.25,01-JUN-2016,947,INE536A01023,
GRINDWELL,EQ,683,687,675.05,677.3,676.3,679.95,60061,41090628.5,02-JUN-2016,1052,INE536A01023,
GRINDWELL,EQ,678,692,670.05,684.7,685,677.3,16355,11199199.15,03-JUN-2016,375,INE536A01023,
GRINDWELL,EQ,685,689.9,676.2,677.5,676.5,684.7,10272,7004451.75,06-JUN-2016,319,INE536A01023,
