SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
INSECTICID,EQ,406.3,406.8,400,403.45,404,398.75,13740,5530933.35,01-JAN-2016,454,INE070I01018,
INSECTICID,EQ,409.9,409.9,396.2,399.15,400,403.45,20424,8175630.9,04-JAN-2016,909,INE070I01018,
INSECTICID,EQ,404.55,406,396,402.2,400,399.15,21404,8611454.85,05-JAN-2016,550,INE070I01018,
INSECTICID,EQ,404.6,410.45,400.8,406.4,404,402.2,21257,8617705.55,06-JAN-2016,852,INE070I01018,
INSECTICID,EQ,399.05,404,392.6,395.15,403,406.4,17913,7101210.4,07-JAN-2016,782,INE070I01018,
INSECTICID,EQ,404.55,405,395,397.45,397,395.15,11599,4632734.2,08-JAN-2016,455,INE070I01018,
INSECTICID,EQ,390.15,395,380.05,388.05,385.1,397.45,9547,3703867.6,11-JAN-2016,350,INE070I01018,
INSECTICID,EQ,386.65,394.4,385,391.55,390,388.05,14489,5642486.75,12-JAN-2016,614,INE070I01018,
INSECTICID,EQ,392.05,394.25,371,380.85,376.05,391.55,28553,10944481.9,13-JAN-2016,831,INE070I01018,
INSECTICID,EQ,365.15,387,361,367.9,367,380.85,17147,6369889.8,14-JAN-2016,945,INE070I01018,
INSECTICID,EQ,373.75,381.05,355.15,360.3,355.15,367.9,13809,5125433.95,15-JAN-2016,893,INE070I01018,
INSECTICID,EQ,358.2,368,330,334.4,330,360.3,45998,15637772.5,18-JAN-2016,1610,INE070I01018,
INSECTICID,EQ,335.9,346,311.1,312.8,313.4,334.4,35604,11450153.9,19-JAN-2016,2471,INE070I01018,
INSECTICID,EQ,319,319,310.95,313.3,313,312.8,13484,4251797.85,20-JAN-2016,551,INE070I01018,
INSECTICID,EQ,313.5,320.05,308,314.4,312,313.3,10694,3361970.65,21-JAN-2016,467,INE070I01018,
INSECTICID,EQ,313,332,311.05,326.1,325.05,314.4,24430,7907595.15,22-JAN-2016,841,INE070I01018,
INSECTICID,EQ,325,335,323,328.75,328,326.1,9421,3113524.5,25-JAN-2016,361,INE070I01018,
INSECTICID,EQ,327.5,334.8,321,325.95,325,328.75,8997,2947572.3,27-JAN-2016,299,INE070I01018,
INSECTICID,EQ,325.95,333.5,324,330.95,330,325.95,9904,3261383.05,28-JAN-2016,427,INE070I01018,
INSECTICID,EQ,335,340,325.6,337.25,336,330.95,10841,3627318.25,29-JAN-2016,542,INE070I01018,
INSECTICID,EQ,338.1,350,337,347.45,349,337.25,12252,4203902.05,01-FEB-2016,577,INE070I01018,
INSECTICID,EQ,352,355,330.65,342.25,340.9,347.45,10053,3524183.3,02-FEB-2016,458,INE070I01018,
INSECTICID,EQ,340,344,330.6,334.3,335,342.25,9862,3339604.55,03-FEB-2016,646,INE070I01018,
INSECTICID,EQ,335,344,334.5,335.5,334.5,334.3,13028,4397177.9,04-FEB-2016,538,INE070I01018,
INSECTICID,EQ,331,344,330.6,340.95,344,335.5,14251,4837672,05-FEB-2016,375,INE070I01018,
INSECTICID,EQ,331.6,349.95,331.6,347.75,349,340.95,68379,23588223.45,08-FEB-2016,905,INE070I01018,
INSECTICID,EQ,352.5,352.5,334.5,344.15,344.3,347.75,8036,2752292.1,09-FEB-2016,679,INE070I01018,
INSECTICID,EQ,345,350,331.5,336.25,335,344.15,9932,3398911.95,10-FEB-2016,657,INE070I01018,
INSECTICID,EQ,334.95,338.45,302.3,308.4,311,336.25,30017,9480916.3,11-FEB-2016,1501,INE070I01018,
INSECTICID,EQ,313,313,295,298.2,301.05,308.4,14830,4467450.6,12-FEB-2016,987,INE070I01018,
INSECTICID,EQ,299.9,310,299.9,303.65,304.5,298.2,18217,5530550,15-FEB-2016,684,INE070I01018,
INSECTICID,EQ,305.25,314.95,303.6,304.65,307.8,303.65,14412,4412983.9,16-FEB-2016,535,INE070I01018,
INSECTICID,EQ,304.55,310.05,300.6,306.85,304.5,304.65,8346,2541718.85,17-FEB-2016,284,INE070I01018,
INSECTICID,EQ,305.05,317.05,305.05,316.4,315.6,306.85,7663,2409807.9,18-FEB-2016,287,INE070I01018,
INSECTICID,EQ,313,321,311.05,319.3,316,316.4,12548,3968375.6,19-FEB-2016,283,INE070I01018,
INSECTICID,EQ,324,336,316,334,336,319.3,12861,4233600.45,22-FEB-2016,480,INE070I01018,
INSECTICID,EQ,338.95,343.95,334.05,337.95,335,334,15018,5077768.2,23-FEB-2016,455,INE070I01018,
INSECTICID,EQ,338.5,340,321.1,328.65,325.3,337.95,26400,8795261.35,24-FEB-2016,1113,INE070I01018,
INSECTICID,EQ,329,333.05,323.8,330.2,333,328.65,7046,2318120.6,25-FEB-2016,406,INE070I01018,
INSECTICID,EQ,332,335.95,313.7,319.8,322.9,330.2,14789,4807797.95,26-FEB-2016,663,INE070I01018,
