SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
IVZINNIFTY,EQ,765,765,765,765,765,767.1,1,765,23-JUN-2016,1,INF205K01DA9,
IVZINNIFTY,EQ,765.01,765.01,765.01,765.01,765.01,765,1,765.01,24-JUN-2016,1,INF205K01DA9,
IVZINNIFTY,EQ,751,751,751,751,751,765.01,1,751,27-JUN-2016,1,INF205K01DA9,
IVZINNIFTY,EQ,840,840,840,840,840,751,1,840,28-JUN-2016,1,INF205K01DA9,
IVZINNIFTY,EQ,800,849,800,807,807,840,22,17787,01-JUL-2016,7,INF205K01DA9,
IVZINNIFTY,EQ,849,849,840,840,840,807,4,3387,05-JUL-2016,2,INF205K01DA9,
IVZINNIFTY,EQ,819.99,819.99,819.99,819.99,819.99,840,2,1639.98,07-JUL-2016,2,INF205K01DA9,
IVZINNIFTY,EQ,793,793,793,793,793,819.99,3,2379,08-JUL-2016,1,INF205K01DA9,
IVZINNIFTY,EQ,790.25,819.99,790.25,819.99,819.99,793,34,27582.26,11-JUL-2016,5,INF205K01DA9,
IVZINNIFTY,EQ,819.99,824,800.01,806.61,800.01,819.99,21,16983.03,13-JUL-2016,9,INF205K01DA9,
IVZINNIFTY,EQ,795.01,795.01,795,795,795,806.61,21,16695.05,22-JUL-2016,3,INF205K01DA9,
IVZINNIFTY,EQ,800,800,800,800,800,795,29,23200,29-JUL-2016,3,INF205K01DA9,
IVZINNIFTY,EQ,839,839,811,811,811,800,47,38196,01-AUG-2016,11,INF205K01DA9,
IVZINNIFTY,EQ,814,820,814,816.66,815,811,16,13032,03-AUG-2016,3,INF205K01DA9,
IVZINNIFTY,EQ,930,930,848,848,848,816.66,10,8768.99,08-AUG-2016,4,INF205K01DA9,
IVZINNIFTY,EQ,825,829.99,824,829.99,829.99,848,37,30678.69,09-AUG-2016,6,INF205K01DA9,
IVZINNIFTY,EQ,824,824,818.55,820,820,829.99,53,43462.4,10-AUG-2016,8,INF205K01DA9,
IVZINNIFTY,EQ,820,820,820,820,820,820,27,22140,11-AUG-2016,4,INF205K01DA9,
IVZINNIFTY,EQ,829.99,829.99,828.5,828.5,828.5,820,21,17407.39,12-AUG-2016,5,INF205K01DA9,
IVZINNIFTY,EQ,860,860,782,809.71,809,828.5,89,71697.41,16-AUG-2016,18,INF205K01DA9,
IVZINNIFTY,EQ,805,805,805,805,805,809.71,3,2415,19-AUG-2016,1,INF205K01DA9,
IVZINNIFTY,EQ,815.01,815.05,815,815.05,815.05,805,37,30155.15,25-AUG-2016,4,INF205K01DA9,
IVZINNIFTY,EQ,808.35,808.35,808.35,808.35,808.35,815.05,8,6466.8,26-AUG-2016,1,INF205K01DA9,
IVZINNIFTY,EQ,812.35,812.35,808,808,808,808.35,45,36455.7,29-AUG-2016,5,INF205K01DA9,
IVZINNIFTY,EQ,898,898,821,840,840,808,4,3399,01-SEP-2016,4,INF205K01DA9,
IVZINNIFTY,EQ,869,895,869,895,895,840,2,1764,06-SEP-2016,2,INF205K01DA9,
IVZINNIFTY,EQ,811,811,811,811,811,895,9,7299,07-SEP-2016,9,INF205K01DA9,
IVZINNIFTY,EQ,860,860,860,860,860,811,1,860,08-SEP-2016,1,INF205K01DA9,
IVZINNIFTY,EQ,824.01,838,800,807.06,800,860,95,77355.72,09-SEP-2016,22,INF205K01DA9,
IVZINNIFTY,EQ,840,840,840,840,840,807.06,2,1680,12-SEP-2016,1,INF205K01DA9,
IVZINNIFTY,EQ,831.92,831.92,825,825,825,840,5,4138.84,14-SEP-2016,3,INF205K01DA9,
IVZINNIFTY,EQ,835,835,835,835,835,825,1,835,16-SEP-2016,1,INF205K01DA9,
IVZINNIFTY,EQ,821,821,821,821,821,835,24,19704,19-SEP-2016,7,INF205K01DA9,
IVZINNIFTY,EQ,821,821,811,811,811,821,21,17095,21-SEP-2016,9,INF205K01DA9,
IVZINNIFTY,EQ,821,830,821,830,830,811,27,22256,22-SEP-2016,8,INF205K01DA9,
IVZINNIFTY,EQ,830,830,830,830,830,830,1,830,28-SEP-2016,1,INF205K01DA9,
IVZINNIFTY,EQ,830,830,830,830,830,830,8,6640,29-SEP-2016,1,INF205K01DA9,
IVZINNIFTY,EQ,830,831,830,831,831,830,22,18280,03-OCT-2016,4,INF205K01DA9,
IVZINNIFTY,EQ,821,828.9,821,828.9,828.9,831,26,21488.2,04-OCT-2016,6,INF205K01DA9,
IVZINNIFTY,EQ,839,844.99,821,821,821,828.9,23,19215.91,05-OCT-2016,4,INF205K01DA9,
IVZINNIFTY,EQ,869,1044,821,821,821,821,88,81387.03,06-OCT-2016,35,INF205K01DA9,
IVZINNIFTY,EQ,821,825,821,822.01,822.01,821,9,7397.04,07-OCT-2016,4,INF205K01DA9,
IVZINNIFTY,EQ,894,894,849,849,849,822.01,36,30654.99,13-OCT-2016,8,INF205K01DA9,
IVZINNIFTY,EQ,818,818,818,818,818,849,10,8180,17-OCT-2016,3,INF205K01DA9,
IVZINNIFTY,EQ,818,821,818,821,821,818,46,37695,18-OCT-2016,4,INF205K01DA9,
IVZINNIFTY,EQ,825,825,815,818.12,815,821,14,11467.5,19-OCT-2016,4,INF205K01DA9,
IVZINNIFTY,EQ,890,893,890,893,893,818.12,5,4462,26-OCT-2016,2,INF205K01DA9,
IVZINNIFTY,EQ,895,895,895,895,895,893,5,4475,28-OCT-2016,1,INF205K01DA9,
IVZINNIFTY,EQ,894,894,849.99,849.99,849.99,895,2,1743.99,01-NOV-2016,2,INF205K01DA9,
IVZINNIFTY,EQ,892,892,849.99,849.99,849.99,849.99,2,1741.99,02-NOV-2016,2,INF205K01DA9,
IVZINNIFTY,EQ,892,892,849.99,849.99,849.99,849.99,2,1741.99,03-NOV-2016,2,INF205K01DA9,
IVZINNIFTY,EQ,892.65,892.65,892.65,892.65,892.65,849.99,1,892.65,09-NOV-2016,1,INF205K01DA9,
IVZINNIFTY,EQ,875,875,865,865,865,892.65,9,7855,15-NOV-2016,4,INF205K01DA9,
IVZINNIFTY,EQ,860,860,860,860,860,865,10,8600,17-NOV-2016,1,INF205K01DA9,
IVZINNIFTY,EQ,800,800,800,800,800,860,1,800,21-NOV-2016,1,INF205K01DA9,
IVZINNIFTY,EQ,800,800,790,790,790,800,34,26910,22-NOV-2016,2,INF205K01DA9,
IVZINNIFTY,EQ,790,790,790,790,790,790,10,7900,24-NOV-2016,1,INF205K01DA9,
IVZINNIFTY,EQ,824,991.9,824,855,855,790,94,85956.1,25-NOV-2016,19,INF205K01DA9,
IVZINNIFTY,EQ,885,885,885,885,885,855,5,4425,28-NOV-2016,1,INF205K01DA9,
IVZINNIFTY,EQ,812,812,812,812,812,885,2,1624,29-NOV-2016,1,INF205K01DA9,
