SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
JUBLPHARMA,BE,900,912,885,892.9,899.95,903.6,36229,32428660.9,12-FEB-2021,1935,INE700A01033,
JUBLPHARMA,BE,892.9,905,850,854.75,858.95,892.9,53356,46140888.55,15-FEB-2021,3051,INE700A01033,
JUBLPHARMA,BE,868.85,868.85,830.05,843.45,842.1,854.75,31668,26689144.15,16-FEB-2021,1633,INE700A01033,
JUBLPHARMA,BE,837.75,860.35,830,833.5,836,843.45,26090,21786476.55,17-FEB-2021,1912,INE700A01033,
JUBLPHARMA,EQ,851.95,854.95,781,787.5,791.95,833.5,233122,186789415.65,18-FEB-2021,8986,INE700A01033,
JUBLPHARMA,EQ,781.3,794,742,772.7,774,787.5,180602,137540865.65,19-FEB-2021,11771,INE700A01033,
JUBLPHARMA,EQ,775,785.35,748,765.9,768.55,772.7,82762,63218849.65,22-FEB-2021,6070,INE700A01033,
JUBLPHARMA,EQ,765.9,785,746,750.95,753.4,765.9,91142,69679937.35,23-FEB-2021,7588,INE700A01033,
JUBLPHARMA,EQ,765,775,638.3,759,762,750.95,38071,28756198.3,24-FEB-2021,2913,INE700A01033,
JUBLPHARMA,EQ,778,778,750.15,761.4,761,759,128821,98763797,25-FEB-2021,5989,INE700A01033,
JUBLPHARMA,EQ,753,778,744.45,769.6,760,761.4,108680,82708489.5,26-FEB-2021,8805,INE700A01033,
JUBLPHARMA,EQ,777.7,785,764,781.25,780.5,769.6,86329,66846090.35,01-MAR-2021,3901,INE700A01033,
JUBLPHARMA,EQ,786.4,786.4,764.95,774.1,777.55,781.25,110241,84981656,02-MAR-2021,5179,INE700A01033,
JUBLPHARMA,EQ,778.2,801.8,771,788.45,788,774.1,196841,154823843.9,03-MAR-2021,7700,INE700A01033,
JUBLPHARMA,EQ,788.45,796.85,779.35,784.7,784.7,788.45,82688,65014776.95,04-MAR-2021,5903,INE700A01033,
JUBLPHARMA,EQ,784.7,806.7,746.2,759.6,756,784.7,201057,156829047.2,05-MAR-2021,10032,INE700A01033,
JUBLPHARMA,EQ,764.05,780.05,745,751.9,755.55,759.6,75596,57726743.15,08-MAR-2021,5458,INE700A01033,
JUBLPHARMA,EQ,764.2,775,748.05,767.05,769.85,751.9,66304,50306861.6,09-MAR-2021,3839,INE700A01033,
JUBLPHARMA,EQ,775.9,776,757.1,766.75,765,767.05,49467,37845488.55,10-MAR-2021,3788,INE700A01033,
JUBLPHARMA,EQ,766.85,799.8,766.75,784,783.05,766.75,160154,126103245.05,12-MAR-2021,10571,INE700A01033,
JUBLPHARMA,EQ,776.9,780,751,757.75,758.9,784,88137,66796817.85,15-MAR-2021,4435,INE700A01033,
JUBLPHARMA,EQ,759,767.85,752.5,759.4,755.6,757.75,94971,72221788.4,16-MAR-2021,5098,INE700A01033,
JUBLPHARMA,EQ,759.55,765.95,730.05,740.4,742.2,759.4,86376,64383623.45,17-MAR-2021,6050,INE700A01033,
JUBLPHARMA,EQ,744.3,753.65,716.2,719.75,718,740.4,73904,53953475,18-MAR-2021,5968,INE700A01033,
JUBLPHARMA,EQ,719.75,740,697.2,712.8,715,719.75,255365,182043659.7,19-MAR-2021,8486,INE700A01033,
JUBLPHARMA,EQ,723.9,724.05,682.35,698.95,698.05,712.8,213650,150231797.1,22-MAR-2021,6289,INE700A01033,
JUBLPHARMA,EQ,710,720.85,695,699.3,697.1,698.95,515579,367095600.6,23-MAR-2021,5949,INE700A01033,
JUBLPHARMA,EQ,704,714,675,679.7,678.95,699.3,140597,97212575.75,24-MAR-2021,8039,INE700A01033,
JUBLPHARMA,EQ,685,685.75,634.1,669.25,661.95,679.7,328021,215581549.7,25-MAR-2021,17814,INE700A01033,
JUBLPHARMA,EQ,680,681.5,651.4,664.45,664.05,669.25,206351,136737832.15,26-MAR-2021,10567,INE700A01033,
JUBLPHARMA,EQ,681.55,717.7,668.9,705.75,713,664.45,185104,127755324.45,30-MAR-2021,9559,INE700A01033,
JUBLPHARMA,EQ,715,715,676.05,681.1,679,705.75,146004,100995652.85,31-MAR-2021,6330,INE700A01033,
JUBLPHARMA,EQ,701,722,681.8,712.7,718,681.1,127133,89427353.85,01-APR-2021,6844,INE700A01033,
JUBLPHARMA,EQ,712.9,719.7,699.95,712.7,708,712.7,104091,73594367.35,05-APR-2021,5459,INE700A01033,
JUBLPHARMA,EQ,712.55,712.55,685.6,695,700,712.7,180329,125906068.95,06-APR-2021,6438,INE700A01033,
JUBLPHARMA,EQ,695,702,688.25,691.1,691,695,105117,72857584.3,07-APR-2021,8484,INE700A01033,
JUBLPHARMA,EQ,693.5,710,691,704.3,703.1,691.1,179289,125979617.1,08-APR-2021,8861,INE700A01033,
JUBLPHARMA,EQ,704,741.95,704,735.95,738,704.3,286001,207778779.05,09-APR-2021,11242,INE700A01033,
JUBLPHARMA,EQ,751,793.05,706.7,734.7,735,735.95,671464,511005855.8,12-APR-2021,20935,INE700A01033,
JUBLPHARMA,EQ,741,766.95,725.1,740.45,736.05,734.7,131903,97620606.05,13-APR-2021,6067,INE700A01033,
JUBLPHARMA,EQ,760,760,716.35,727.45,725.35,740.45,171260,125171001,15-APR-2021,5782,INE700A01033,
JUBLPHARMA,EQ,735,736.9,720,723.25,722,727.45,111710,81179430.25,16-APR-2021,3909,INE700A01033,
JUBLPHARMA,EQ,730,799.8,722,770.45,769.05,723.25,2358938,1829517280.7,19-APR-2021,49385,INE700A01033,
JUBLPHARMA,EQ,795,817.95,777.1,801.9,804.9,770.45,1599236,1276936796.75,20-APR-2021,57223,INE700A01033,
JUBLPHARMA,EQ,813.9,834,809.95,817.65,816,801.9,1018809,838751638.1,22-APR-2021,37063,INE700A01033,
JUBLPHARMA,EQ,820.8,829,789.1,791.7,794.5,817.65,432768,347070431.65,23-APR-2021,13458,INE700A01033,
JUBLPHARMA,EQ,796,824.5,772.2,805.8,805,791.7,457519,362163730.4,26-APR-2021,16425,INE700A01033,
JUBLPHARMA,EQ,805,809.85,791,794.65,793,805.8,236090,188282961.15,27-APR-2021,9486,INE700A01033,
JUBLPHARMA,EQ,798.25,804.8,786,795.65,792.3,794.65,260904,207798903.85,28-APR-2021,8523,INE700A01033,
JUBLPHARMA,EQ,805,805,770,781.85,782,795.65,201230,158718273.4,29-APR-2021,7168,INE700A01033,
