SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
LICNETFSEN,EQ,280.25,280.25,280.25,280.25,280.25,258.95,19,5324.75,03-AUG-2016,1,INF767K01OT5,
LICNETFSEN,EQ,282.7,282.7,282.7,282.7,282.7,280.25,19,5371.3,08-AUG-2016,1,INF767K01OT5,
LICNETFSEN,EQ,285.6,286,269,285,285,282.7,801,225525,31-AUG-2016,10,INF767K01OT5,
LICNETFSEN,EQ,284,284,284,284,284,285,1,284,07-SEP-2016,1,INF767K01OT5,
LICNETFSEN,EQ,289,289,289,289,289,284,1,289,21-SEP-2016,1,INF767K01OT5,
LICNETFSEN,EQ,280,280,280,280,280,289,1,280,30-SEP-2016,1,INF767K01OT5,
LICNETFSEN,EQ,279,279,279,279,279,280,1,279,06-OCT-2016,1,INF767K01OT5,
LICNETFSEN,EQ,277.85,277.85,277.85,277.85,277.85,279,2,555.7,08-NOV-2016,1,INF767K01OT5,
LICNETFSEN,EQ,274.05,274.05,274.05,274.05,274.05,277.85,1,274.05,21-NOV-2016,1,INF767K01OT5,
LICNETFSEN,EQ,274.05,274.05,274.05,274.05,274.05,274.05,1,274.05,17-JAN-2017,1,INF767K01OT5,
LICNETFSEN,EQ,234.5,343.4,234.5,291.74,240.08,274.05,15,4089.9,09-FEB-2017,3,INF767K01OT5,
LICNETFSEN,EQ,343.4,344.44,332,344.44,344.44,291.74,44,15041.64,10-FEB-2017,13,INF767K01OT5,
LICNETFSEN,EQ,244.44,344.93,244.44,265,265,344.44,66,18834,14-FEB-2017,5,INF767K01OT5,
LICNETFSEN,EQ,341.2,341.2,341.2,341.2,341.2,265,1,341.2,15-FEB-2017,1,INF767K01OT5,
LICNETFSEN,EQ,285,344.3,285,322.32,344.3,341.2,134,39459,20-FEB-2017,7,INF767K01OT5,
LICNETFSEN,EQ,248,346.73,248,288,288,322.32,70,20453.83,21-FEB-2017,16,INF767K01OT5,
LICNETFSEN,EQ,287,349.7,260.6,301.21,273.65,288,208,59993.3,23-FEB-2017,11,INF767K01OT5,
LICNETFSEN,EQ,268.81,351.14,268.81,292.5,292.5,301.21,152,49917.95,27-FEB-2017,10,INF767K01OT5,
LICNETFSEN,EQ,285,285,285,285,285,292.5,19,5415,02-MAR-2017,2,INF767K01OT5,
LICNETFSEN,EQ,250.07,339.35,250,298,298,285,525,150988.96,03-MAR-2017,18,INF767K01OT5,
LICNETFSEN,EQ,272,334.94,272,285,285,298,223,67357.43,06-MAR-2017,20,INF767K01OT5,
LICNETFSEN,EQ,285,285,285,285,285,285,1,285,21-MAR-2017,1,INF767K01OT5,
LICNETFSEN,EQ,285,285,285,285,285,285,2,570,24-MAR-2017,1,INF767K01OT5,
LICNETFSEN,EQ,270.5,283.55,255,269.47,283.55,285,215,57912,27-MAR-2017,7,INF767K01OT5,
LICNETFSEN,EQ,283.05,298.94,283.05,298.94,298.94,269.47,67,19997.7,30-MAR-2017,5,INF767K01OT5,
LICNETFSEN,EQ,280,298,280,298,298,298.94,17,5003,31-MAR-2017,5,INF767K01OT5,
LICNETFSEN,EQ,300,335,261.49,300,300,298,190,55320.1,10-APR-2017,22,INF767K01OT5,
LICNETFSEN,EQ,300,300,300,300,300,300,1,300,11-APR-2017,1,INF767K01OT5,
LICNETFSEN,EQ,269.35,299.55,269.35,299.55,299.55,300,2400,693460,28-APR-2017,4,INF767K01OT5,
LICNETFSEN,EQ,295,295,295,295,295,299.55,9,2655,04-MAY-2017,1,INF767K01OT5,
LICNETFSEN,EQ,295,295,295,295,295,295,40,11800,16-MAY-2017,2,INF767K01OT5,
LICNETFSEN,EQ,295,295,295,295,295,295,5,1475,23-MAY-2017,1,INF767K01OT5,
LICNETFSEN,EQ,309,309,309,309,309,295,5,1545,01-JUN-2017,1,INF767K01OT5,
LICNETFSEN,EQ,300,300,275,275,275,309,51,15275,02-JUN-2017,3,INF767K01OT5,
LICNETFSEN,EQ,275.5,275.5,275,275.5,275.5,275,83,22856.5,07-JUN-2017,39,INF767K01OT5,
LICNETFSEN,EQ,310,310,280,280,280,275.5,14,4220,09-JUN-2017,5,INF767K01OT5,
LICNETFSEN,EQ,316.4,316.4,285.5,315.5,315.5,280,105,31384.7,03-JUL-2017,18,INF767K01OT5,
LICNETFSEN,EQ,315.5,315.5,280.5,280.5,280.5,315.5,2,596,04-JUL-2017,2,INF767K01OT5,
LICNETFSEN,EQ,292,292,292,292,292,280.5,1,292,06-JUL-2017,1,INF767K01OT5,
LICNETFSEN,EQ,317,317,261.5,310,310,292,23,6674,24-JUL-2017,5,INF767K01OT5,
LICNETFSEN,EQ,272.5,317,272.5,316.99,317,310,194,60970.88,27-JUL-2017,5,INF767K01OT5,
LICNETFSEN,EQ,396.5,396.5,284,347.67,350,316.99,252,83408.78,01-AUG-2017,17,INF767K01OT5,
LICNETFSEN,EQ,306,340,306,320,320,347.67,144,48083.67,02-AUG-2017,12,INF767K01OT5,
LICNETFSEN,EQ,340,340,306.5,306.5,306.5,320,15,4932.5,08-AUG-2017,3,INF767K01OT5,
