SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
MITTAL,EQ,104.6,105.95,104,104.4,104.45,103.95,19984,2086972.7,29-APR-2020,160,INE997Y01019,
MITTAL,EQ,105,105.5,104.6,104.9,105,104.4,33856,3556745.35,30-APR-2020,219,INE997Y01019,
MITTAL,EQ,108.85,108.85,105.25,106,106,104.9,16506,1745749.8,04-MAY-2020,132,INE997Y01019,
MITTAL,EQ,106.5,108,106.3,107.55,107.8,106,39472,4227143.8,05-MAY-2020,266,INE997Y01019,
MITTAL,EQ,108,109.3,107.75,109.2,109.3,107.55,53977,5874038.4,06-MAY-2020,372,INE997Y01019,
MITTAL,EQ,109.7,111.4,109.7,111.2,111,109.2,83558,9242026.2,07-MAY-2020,587,INE997Y01019,
MITTAL,EQ,112,114,111.45,113.8,114,111.2,82418,9277530.8,08-MAY-2020,614,INE997Y01019,
MITTAL,EQ,115,116.9,114.2,116.2,116.9,113.8,137317,15862859.65,11-MAY-2020,905,INE997Y01019,
MITTAL,EQ,117,118.5,116.5,118.35,118.5,116.2,155488,18299081.85,12-MAY-2020,1205,INE997Y01019,
MITTAL,EQ,119,120.15,118.7,120.05,120.15,118.35,168527,20169036.7,13-MAY-2020,2064,INE997Y01019,
MITTAL,EQ,121.25,121.5,120.2,121.4,121.4,120.05,164567,19893953.95,14-MAY-2020,2134,INE997Y01019,
MITTAL,EQ,122,123.1,121.6,122.85,123,121.4,191390,23474178.9,15-MAY-2020,1760,INE997Y01019,
MITTAL,EQ,124,128.75,122.9,125.3,124.2,122.85,180623,22402688.45,18-MAY-2020,1409,INE997Y01019,
MITTAL,EQ,125,125,123.75,124.2,124.2,125.3,146246,18178944.65,19-MAY-2020,1169,INE997Y01019,
MITTAL,EQ,124.75,125.55,124.65,125,125.5,124.2,154871,19394458.85,20-MAY-2020,1033,INE997Y01019,
MITTAL,EQ,126,126.6,125.75,126.4,126.6,125,114733,14474971.7,21-MAY-2020,880,INE997Y01019,
MITTAL,EQ,126.6,127.85,126.6,127.75,127.7,126.4,173334,22077393.3,22-MAY-2020,1282,INE997Y01019,
MITTAL,EQ,128,129.45,128,129,128.75,127.75,197322,25438569.6,26-MAY-2020,1318,INE997Y01019,
MITTAL,EQ,129.25,130.55,129.25,130.45,130.55,129,156938,20418791.8,27-MAY-2020,1160,INE997Y01019,
MITTAL,EQ,131.5,131.6,130.55,131.4,131.5,130.45,164036,21523021.35,28-MAY-2020,1106,INE997Y01019,
MITTAL,EQ,132,132.65,131.8,132.5,132.65,131.4,165694,21913730.35,29-MAY-2020,1007,INE997Y01019,
MITTAL,EQ,137.7,137.7,133,133.6,133.8,132.5,197537,26381371.7,01-JUN-2020,1185,INE997Y01019,
MITTAL,EQ,136,136,134.1,135.35,135.5,133.6,283817,38376456.15,02-JUN-2020,1531,INE997Y01019,
MITTAL,EQ,136.85,137.2,135.75,136.95,136.9,135.35,220271,30122249.75,03-JUN-2020,1435,INE997Y01019,
MITTAL,EQ,138,138.7,137.95,138.6,138.65,136.95,201522,27871687.65,04-JUN-2020,1089,INE997Y01019,
MITTAL,EQ,140.5,140.5,139.15,140.3,140.5,138.6,239647,33555309.9,05-JUN-2020,1338,INE997Y01019,
MITTAL,EQ,142.25,142.5,141,142.15,142.15,140.3,316719,44918100.5,08-JUN-2020,1776,INE997Y01019,
MITTAL,EQ,143.25,144.05,142.5,143.75,143.8,142.15,283928,40721650.3,09-JUN-2020,1586,INE997Y01019,
MITTAL,EQ,144.25,145.4,144.25,145.05,145.15,143.75,267466,38759263.35,10-JUN-2020,1727,INE997Y01019,
MITTAL,EQ,146.1,146.8,145.55,146.6,146.7,145.05,251771,36825605.9,11-JUN-2020,1525,INE997Y01019,
MITTAL,EQ,147.1,148.8,147,148.6,148.7,146.6,330461,48975326.25,12-JUN-2020,2035,INE997Y01019,
MITTAL,EQ,150,150.45,149.55,150.05,150.25,148.6,439948,66025902.95,15-JUN-2020,2500,INE997Y01019,
MITTAL,EQ,151.55,151.8,151.05,151.7,151.75,150.05,291629,44170423.8,16-JUN-2020,1781,INE997Y01019,
MITTAL,EQ,153.5,153.5,152.5,153.1,153.15,151.7,310147,47455349.2,17-JUN-2020,1909,INE997Y01019,
MITTAL,EQ,154,154.75,153.75,154.6,154.65,153.1,371642,57330503.1,18-JUN-2020,2023,INE997Y01019,
MITTAL,EQ,156.4,156.4,155.4,156.1,156.1,154.6,370629,57802962.95,19-JUN-2020,2337,INE997Y01019,
MITTAL,EQ,157.3,157.75,156.3,157.65,157.65,156.1,470809,74039502.7,22-JUN-2020,2800,INE997Y01019,
MITTAL,EQ,158.45,159.3,157.85,159.15,159.1,157.65,308374,49009317.4,23-JUN-2020,1803,INE997Y01019,
MITTAL,EQ,160.5,160.75,159.15,159.9,159.8,159.15,335471,53669113.75,24-JUN-2020,1820,INE997Y01019,
MITTAL,EQ,151.95,151.95,151.95,151.95,151.95,159.9,7196,1093432.2,25-JUN-2020,152,INE997Y01019,
MITTAL,EQ,144.4,144.4,144.4,144.4,144.4,151.95,1060,153064,26-JUN-2020,36,INE997Y01019,
MITTAL,EQ,137.2,137.2,137.2,137.2,137.2,144.4,1271,174381.2,29-JUN-2020,27,INE997Y01019,
MITTAL,EQ,130.35,130.35,130.35,130.35,130.35,137.2,706,92027.1,30-JUN-2020,17,INE997Y01019,
MITTAL,EQ,123.85,123.85,123.85,123.85,123.85,130.35,631,78149.35,01-JUL-2020,23,INE997Y01019,
MITTAL,EQ,117.7,117.7,117.7,117.7,117.7,123.85,107,12593.9,02-JUL-2020,15,INE997Y01019,
MITTAL,EQ,111.85,111.85,111.85,111.85,111.85,117.7,809,90486.65,03-JUL-2020,19,INE997Y01019,
MITTAL,EQ,106.3,106.3,106.3,106.3,106.3,111.85,1380,146694,06-JUL-2020,26,INE997Y01019,
MITTAL,EQ,101,101,101,101,101,106.3,1246,125846,07-JUL-2020,27,INE997Y01019,
MITTAL,EQ,95.95,95.95,95.95,95.95,95.95,101,866,83092.7,08-JUL-2020,25,INE997Y01019,
MITTAL,EQ,91.2,91.2,91.2,91.2,91.2,95.95,370,33744,09-JUL-2020,21,INE997Y01019,
MITTAL,EQ,86.65,86.65,86.65,86.65,86.65,91.2,847,73392.55,10-JUL-2020,25,INE997Y01019,
MITTAL,EQ,82.35,82.35,82.35,82.35,82.35,86.65,115,9470.25,13-JUL-2020,11,INE997Y01019,
MITTAL,EQ,78.25,78.25,78.25,78.25,78.25,82.35,104,8138,14-JUL-2020,7,INE997Y01019,
MITTAL,EQ,74.35,74.35,74.35,74.35,74.35,78.25,403,29963.05,15-JUL-2020,12,INE997Y01019,
MITTAL,EQ,70.65,70.65,70.65,70.65,70.65,74.35,673,47547.45,16-JUL-2020,11,INE997Y01019,
