SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
PATELENG,EQ,73.2,77,73.2,76.7,76.65,74.3,185034,14073686,01-JAN-2016,2072,INE244B01030,
PATELENG,EQ,75.85,78.65,75.3,76.55,76.5,76.7,229868,17733099.25,04-JAN-2016,2227,INE244B01030,
PATELENG,EQ,78.6,82.3,77.55,80.45,80.1,76.55,1099252,88115576.4,05-JAN-2016,9720,INE244B01030,
PATELENG,EQ,80.45,82.7,78.15,79,79.1,80.45,376795,30481164.55,06-JAN-2016,3149,INE244B01030,
PATELENG,EQ,77.5,77.5,73.1,73.55,73.25,79,215884,16151059.8,07-JAN-2016,2192,INE244B01030,
PATELENG,EQ,74,76.65,74,75.05,75.5,73.55,104039,7821309.85,08-JAN-2016,1350,INE244B01030,
PATELENG,EQ,74.05,74.85,72.8,74.25,74.1,75.05,72222,5344627.1,11-JAN-2016,973,INE244B01030,
PATELENG,EQ,74.1,75.9,73,73.2,73,74.25,107424,7983062.85,12-JAN-2016,1297,INE244B01030,
PATELENG,EQ,73.4,75.45,70,71.55,71.5,73.2,156441,11321088.45,13-JAN-2016,1971,INE244B01030,
PATELENG,EQ,70.3,70.35,67.5,68.85,68.75,71.55,95115,6569405.8,14-JAN-2016,1570,INE244B01030,
PATELENG,EQ,69.75,70.5,65.55,67.6,67.8,68.85,124236,8473469.15,15-JAN-2016,1794,INE244B01030,
PATELENG,EQ,67.05,67.6,61.1,62.15,63,67.6,106908,6800703.5,18-JAN-2016,1641,INE244B01030,
PATELENG,EQ,62.8,65.3,62.15,64.1,64.9,62.15,102390,6548716.4,19-JAN-2016,1197,INE244B01030,
PATELENG,EQ,64.05,64.05,59.35,61,61.1,64.1,66264,4067936.4,20-JAN-2016,945,INE244B01030,
PATELENG,EQ,62.3,63.65,59.15,60.4,60.5,61,73435,4492843.85,21-JAN-2016,1236,INE244B01030,
PATELENG,EQ,61.3,63.8,61.3,62.8,62.6,60.4,123273,7747842.15,22-JAN-2016,1707,INE244B01030,
PATELENG,EQ,63.75,64.5,62.75,63.3,63.55,62.8,44521,2834525.75,25-JAN-2016,808,INE244B01030,
PATELENG,EQ,63.85,64,62.5,63.15,62.8,63.3,40402,2557664.7,27-JAN-2016,561,INE244B01030,
PATELENG,EQ,63.15,64.5,62.25,63.35,64,63.15,51661,3272893.1,28-JAN-2016,1049,INE244B01030,
PATELENG,EQ,63.7,65.1,63.15,64.1,64.25,63.35,65552,4210908,29-JAN-2016,1025,INE244B01030,
PATELENG,EQ,64.15,65.3,64,64.25,64.35,64.1,31104,2008224.4,01-FEB-2016,607,INE244B01030,
PATELENG,EQ,64.05,65.45,62.5,63.15,63,64.25,49932,3198662.95,02-FEB-2016,800,INE244B01030,
PATELENG,EQ,60.7,62.45,60.1,60.9,60.85,63.15,54776,3358423.7,03-FEB-2016,903,INE244B01030,
PATELENG,EQ,61.15,61.9,58.65,59.3,58.65,60.9,52329,3164849.8,04-FEB-2016,822,INE244B01030,
PATELENG,EQ,59.7,60.4,59,59.95,60.4,59.3,39513,2364267.65,05-FEB-2016,659,INE244B01030,
PATELENG,EQ,59.55,61.75,59.05,59.85,59.4,59.95,54701,3317222.55,08-FEB-2016,968,INE244B01030,
PATELENG,EQ,59.05,60.8,59.05,59.55,60.4,59.85,39574,2370686,09-FEB-2016,719,INE244B01030,
PATELENG,EQ,60.15,60.7,57.05,57.6,57.3,59.55,52842,3085136.65,10-FEB-2016,917,INE244B01030,
PATELENG,EQ,57.3,58.9,50.4,51.95,52.5,57.6,73984,3984751.7,11-FEB-2016,1526,INE244B01030,
PATELENG,EQ,52.5,56,48.1,52.65,52,51.95,137733,7253731.1,12-FEB-2016,2378,INE244B01030,
PATELENG,EQ,54.8,57.6,54.8,55.2,55,52.65,131365,7373362.05,15-FEB-2016,2145,INE244B01030,
PATELENG,EQ,55.6,56.7,50.9,52.45,52.35,55.2,73823,4003578,16-FEB-2016,1307,INE244B01030,
PATELENG,EQ,52.55,53.9,51,52.85,53.1,52.45,53344,2799787.7,17-FEB-2016,732,INE244B01030,
PATELENG,EQ,52.5,54.95,52.25,52.75,53,52.85,51677,2770051,18-FEB-2016,866,INE244B01030,
PATELENG,EQ,52.1,53.8,50.5,50.9,51,52.75,106657,5480438.7,19-FEB-2016,1327,INE244B01030,
PATELENG,EQ,51.15,52.5,50.05,50.5,50.4,50.9,72210,3696299.75,22-FEB-2016,819,INE244B01030,
PATELENG,EQ,50.5,51.1,50,50.55,50.8,50.5,140624,7137152.6,23-FEB-2016,680,INE244B01030,
PATELENG,EQ,50,51.25,49.15,50.15,50.5,50.55,146746,7420071.75,24-FEB-2016,878,INE244B01030,
PATELENG,EQ,49.9,51.5,49.9,50.1,49.9,50.15,137410,6931761.45,25-FEB-2016,689,INE244B01030,
PATELENG,EQ,50.85,50.85,49.2,49.65,49.5,50.1,144226,7267267.95,26-FEB-2016,670,INE244B01030,
PATELENG,EQ,50,50.8,48.25,48.65,48.45,49.65,196173,9756010.4,29-FEB-2016,1871,INE244B01030,
PATELENG,EQ,49.15,54.15,48.5,51.85,51.5,48.65,229657,11856722.7,01-MAR-2016,3283,INE244B01030,
PATELENG,EQ,53,55.1,52.5,54.4,54.6,51.85,209673,11264399.05,02-MAR-2016,2563,INE244B01030,
