SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
PRIVISCL,EQ,549,560,540,547.6,550.05,551.9,6788,3733139.4,14-OCT-2020,359,INE959A01019,
PRIVISCL,EQ,547.6,547.6,530,535.15,538,547.6,10810,5800381.65,15-OCT-2020,375,INE959A01019,
PRIVISCL,EQ,545.1,545.1,526.2,530.3,531.4,535.15,4865,2594674.2,16-OCT-2020,379,INE959A01019,
PRIVISCL,EQ,537.8,540.15,528.6,539.65,539.95,530.3,7093,3808983.95,19-OCT-2020,239,INE959A01019,
PRIVISCL,EQ,529,552.95,529,545,543.25,539.65,9342,5104159.85,20-OCT-2020,851,INE959A01019,
PRIVISCL,EQ,545,566,540,544.25,540,545,12371,6826049.15,21-OCT-2020,1053,INE959A01019,
PRIVISCL,EQ,535.05,554,535,544.45,545,544.25,14775,8049508.05,22-OCT-2020,276,INE959A01019,
PRIVISCL,EQ,540.45,554.8,540,543.25,541.1,544.45,8778,4796364.2,23-OCT-2020,340,INE959A01019,
PRIVISCL,EQ,549.95,557,529.15,537.85,541,543.25,1838,988448.8,26-OCT-2020,300,INE959A01019,
PRIVISCL,EQ,532,539.45,531,535.55,534,537.85,3799,2035955.35,27-OCT-2020,250,INE959A01019,
PRIVISCL,EQ,543.8,543.85,523.25,528.75,528,535.55,43386,23222891.55,28-OCT-2020,613,INE959A01019,
PRIVISCL,EQ,522.95,530,516.75,520.55,521,528.75,12608,6602350.95,29-OCT-2020,609,INE959A01019,
PRIVISCL,EQ,528.6,535.55,510.1,523.95,524.5,520.55,6736,3514617.4,30-OCT-2020,582,INE959A01019,
PRIVISCL,EQ,529.7,548.7,518.05,521.7,520.8,523.95,18930,9967572.5,02-NOV-2020,1426,INE959A01019,
PRIVISCL,EQ,528,547,521.5,543.55,542,521.7,20865,11290889.9,03-NOV-2020,797,INE959A01019,
PRIVISCL,EQ,538.4,545,526.65,544.25,545,543.55,4265,2294655.3,04-NOV-2020,257,INE959A01019,
