SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
SBIETFPB,EQ,138,138,134.8,134.8,134.8,134.34,8586,1159143.74,22-OCT-2020,17,INF200KA1S22,
SBIETFPB,EQ,135.2,139.46,135.2,137.55,139,134.8,236,32108.66,23-OCT-2020,12,INF200KA1S22,
SBIETFPB,EQ,138,149,133.02,133.83,134.5,137.55,6148,842348.96,26-OCT-2020,103,INF200KA1S22,
SBIETFPB,EQ,134,136.85,132.52,136.85,136.85,133.83,998,134021.48,27-OCT-2020,37,INF200KA1S22,
SBIETFPB,EQ,138.99,138.99,133.61,133.61,133.61,136.85,1975,267103.07,28-OCT-2020,22,INF200KA1S22,
SBIETFPB,EQ,137.99,137.99,133.01,133.99,133.99,133.61,723,96759.63,29-OCT-2020,11,INF200KA1S22,
SBIETFPB,EQ,131.05,135.99,130.6,132.5,132.5,133.99,1015,135036.95,30-OCT-2020,29,INF200KA1S22,
SBIETFPB,EQ,136,139.97,134,136.88,136.03,132.5,684,93573.63,02-NOV-2020,17,INF200KA1S22,
SBIETFPB,EQ,136.9,142.99,136.9,142.2,141.65,136.88,324,45590.04,03-NOV-2020,29,INF200KA1S22,
SBIETFPB,EQ,143.99,143.99,138.15,141.23,140.47,142.2,6322,886414.92,04-NOV-2020,27,INF200KA1S22,
SBIETFPB,EQ,141.5,146.14,141.5,144.14,146.14,141.23,1192,171824.26,05-NOV-2020,34,INF200KA1S22,
SBIETFPB,EQ,144.14,148.4,144,148.09,148.4,144.14,577,84752.76,06-NOV-2020,34,INF200KA1S22,
SBIETFPB,EQ,153,154,150,153.99,154,148.09,6808,1047143.22,09-NOV-2020,32,INF200KA1S22,
SBIETFPB,EQ,156,161.99,155,161.99,161.99,153.99,996,158116.28,10-NOV-2020,43,INF200KA1S22,
SBIETFPB,EQ,161.9,163.99,157.06,159.96,161.35,161.99,1969,315455.96,11-NOV-2020,59,INF200KA1S22,
SBIETFPB,EQ,161.34,161.34,155.11,158,158,159.96,1038,164212.06,12-NOV-2020,45,INF200KA1S22,
