SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
STARCEMENT,BE,124,130.2,118.55,130.2,130.2,140.25,1192669,152270516.05,16-JUN-2017,694,INE460H01021,
STARCEMENT,BE,128.8,130,123.7,127.5,128,130.2,123460,15637076.55,19-JUN-2017,357,INE460H01021,
STARCEMENT,BE,128,129,122,123,123,127.5,41765,5204910.7,20-JUN-2017,144,INE460H01021,
STARCEMENT,BE,122,127,117.05,121.35,121.5,123,51339,6266762.55,21-JUN-2017,193,INE460H01021,
STARCEMENT,BE,122.7,126.4,119.1,119.95,120,121.35,195774,24007070.75,22-JUN-2017,208,INE460H01021,
STARCEMENT,BE,120,124.9,114.1,117.45,119.9,119.95,47980,5619811.65,23-JUN-2017,144,INE460H01021,
STARCEMENT,BE,120.7,120.7,111.6,111.7,111.95,117.45,39295,4403781.75,27-JUN-2017,170,INE460H01021,
STARCEMENT,BE,106.75,116.8,106.15,114.25,111.8,111.7,51350,5671239.35,28-JUN-2017,208,INE460H01021,
STARCEMENT,BE,115,119.95,110.25,119.75,119.95,114.25,94613,11268919.75,29-JUN-2017,304,INE460H01021,
STARCEMENT,BE,123.7,124,115.1,119.45,124,119.75,11927,1414882.8,30-JUN-2017,100,INE460H01021,
STARCEMENT,EQ,119,125.5,118,120.45,119.65,119.45,38549,4645074.45,03-JUL-2017,320,INE460H01021,
STARCEMENT,EQ,119.5,121.35,117,119.4,120.25,120.45,166542,19907894.95,04-JUL-2017,657,INE460H01021,
STARCEMENT,EQ,121.75,124.4,119,121.5,122.5,119.4,321381,38699651.4,05-JUL-2017,852,INE460H01021,
STARCEMENT,EQ,121.95,129.15,121,122.65,123,121.5,288149,36009277.15,06-JUL-2017,1404,INE460H01021,
STARCEMENT,EQ,121,125.95,120.65,125.35,125.55,122.65,92378,11523683.05,07-JUL-2017,545,INE460H01021,
STARCEMENT,EQ,128,128,123,127.15,128,125.35,80251,10204085.5,10-JUL-2017,166,INE460H01021
STARCEMENT,EQ,124.75,126,123.2,125,125,127.15,107656,13430099.1,11-JUL-2017,360,INE460H01021,
STARCEMENT,EQ,124.15,125,120.05,121,120.1,125,102386,12552101.55,12-JUL-2017,774,INE460H01021,
STARCEMENT,EQ,123.95,129.9,120.05,129.3,129,121,201068,25612953,13-JUL-2017,1168,INE460H01021,
STARCEMENT,EQ,128.35,128.35,122.9,127.8,128.3,129.3,51172,6454937.2,14-JUL-2017,517,INE460H01021,
STARCEMENT,EQ,128,128,124.2,126.25,126,127.8,43658,5518179,17-JUL-2017,540,INE460H01021,
STARCEMENT,EQ,125,129.8,124.15,125.4,126,126.25,64981,8249188.9,18-JUL-2017,517,INE460H01021,
STARCEMENT,EQ,125,127.9,124.4,127,127,125.4,80466,10189682.3,19-JUL-2017,811,INE460H01021,
STARCEMENT,EQ,126.65,128,125,127.15,127,127,192194,24221419.4,20-JUL-2017,623,INE460H01021,
STARCEMENT,EQ,129,132.8,125.3,126.95,127,127.15,79220,10174472.8,21-JUL-2017,721,INE460H01021,
STARCEMENT,EQ,126,127.95,126,126.75,127.5,126.95,87403,11103748.2,24-JUL-2017,483,INE460H01021,
