SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
TEXMOPIPES,EQ,13.7,16.4,13.45,16.4,16.4,13.7,949095,14890387.2,01-JAN-2016,1947,INE141K01013,
TEXMOPIPES,EQ,19.65,19.65,18.8,19.65,19.65,16.4,2731030,53440489.05,04-JAN-2016,2174,INE141K01013,
TEXMOPIPES,EQ,20.7,21.6,18.35,21.35,21.6,19.65,1482568,30071710.5,05-JAN-2016,4414,INE141K01013,
TEXMOPIPES,EQ,22,23.45,20.8,23.45,23.45,21.35,1582234,36519746.8,06-JAN-2016,2283,INE141K01013,
TEXMOPIPES,EQ,23.45,25.75,22.65,25.6,25.5,23.45,1397879,35341769.3,07-JAN-2016,3891,INE141K01013,
TEXMOPIPES,EQ,25.6,26.85,24.6,26.85,26.85,25.6,999664,25944447.6,08-JAN-2016,4115,INE141K01013,
TEXMOPIPES,EQ,27.5,28.15,26,28.15,28.15,26.85,511225,14199456.8,11-JAN-2016,1400,INE141K01013,
TEXMOPIPES,EQ,29.55,29.55,29.55,29.55,29.55,28.15,46314,1368578.7,12-JAN-2016,148,INE141K01013,
TEXMOPIPES,EQ,29.9,31,28.1,28.1,28.1,29.55,1133674,34036617.95,13-JAN-2016,3183,INE141K01013,
TEXMOPIPES,EQ,26.7,26.7,26.7,26.7,26.7,28.1,21013,561047.1,14-JAN-2016,71,INE141K01013,
TEXMOPIPES,EQ,25.4,26.5,25.4,25.4,25.4,26.7,322342,8241530.65,15-JAN-2016,542,INE141K01013,
TEXMOPIPES,EQ,24.15,24.15,24.15,24.15,24.15,25.4,13665,330009.75,18-JAN-2016,21,INE141K01013,
TEXMOPIPES,EQ,22.95,22.95,22.95,22.95,22.95,24.15,10644,244279.8,19-JAN-2016,43,INE141K01013,
TEXMOPIPES,EQ,21.85,23.5,21.85,23,22.9,22.95,672643,14875707.4,20-JAN-2016,1597,INE141K01013,
TEXMOPIPES,EQ,23.15,24.15,21.85,22.2,22.5,23,261290,6055830.1,21-JAN-2016,1088,INE141K01013,
TEXMOPIPES,EQ,22.7,23.3,22.5,23.3,23.3,22.2,82764,1921175.9,22-JAN-2016,1002,INE141K01013,
TEXMOPIPES,EQ,24.45,24.45,24.05,24.45,24.45,23.3,83649,2038989.5,25-JAN-2016,105,INE141K01013,
TEXMOPIPES,EQ,25.5,25.65,23.25,25.6,25.65,24.45,375380,9336006.7,27-JAN-2016,1250,INE141K01013,
TEXMOPIPES,EQ,26.35,26.35,25.2,25.8,25.6,25.6,153374,3983227.7,28-JAN-2016,668,INE141K01013,
TEXMOPIPES,EQ,25.8,26.55,24.55,25.6,25.5,25.8,147706,3758802.05,29-JAN-2016,736,INE141K01013,
TEXMOPIPES,EQ,25.7,26.2,24.75,25,24.8,25.6,66165,1686997.25,01-FEB-2016,483,INE141K01013,
TEXMOPIPES,EQ,24,25.45,23.75,23.75,23.75,25,78406,1881923,02-FEB-2016,322,INE141K01013,
TEXMOPIPES,EQ,22.6,22.6,22.6,22.6,22.6,23.75,15682,354413.2,03-FEB-2016,48,INE141K01013,
TEXMOPIPES,EQ,21.65,22.1,21.5,21.5,21.5,22.6,98475,2124434,04-FEB-2016,228,INE141K01013,
TEXMOPIPES,EQ,19.95,23.65,19.65,23.65,23.65,21.5,218523,4811464.4,05-FEB-2016,873,INE141K01013,
TEXMOPIPES,EQ,23.7,25.2,23.65,24.45,24.75,23.65,265651,6468118.45,08-FEB-2016,708,INE141K01013,
TEXMOPIPES,EQ,24.4,24.6,22.15,22.6,22.55,24.45,170707,3892467.2,09-FEB-2016,889,INE141K01013,
TEXMOPIPES,EQ,22.5,23.1,20.6,21.7,21.6,22.6,128314,2772943.3,10-FEB-2016,552,INE141K01013,
TEXMOPIPES,EQ,21.7,21.7,19.55,19.55,19.55,21.7,105726,2133772.3,11-FEB-2016,514,INE141K01013,
TEXMOPIPES,EQ,19.6,19.6,17.6,19,19,19.55,248674,4485015.9,12-FEB-2016,630,INE141K01013,
TEXMOPIPES,EQ,20.5,20.9,19.25,20.9,20.9,19,65820,1363301.8,15-FEB-2016,191,INE141K01013,
TEXMOPIPES,EQ,22.3,22.9,20.6,20.95,20.9,20.9,145054,3161529.15,16-FEB-2016,674,INE141K01013,
TEXMOPIPES,EQ,21,21.85,18.95,21.3,20.95,20.95,134362,2738624.85,17-FEB-2016,806,INE141K01013,
TEXMOPIPES,EQ,22,22.55,20,20.45,20.3,21.3,80634,1715080.45,18-FEB-2016,314,INE141K01013,
TEXMOPIPES,EQ,20.3,21.7,18.6,20.85,20.9,20.45,73649,1495699.75,19-FEB-2016,424,INE141K01013,
TEXMOPIPES,EQ,21.9,22.9,21.05,22.3,22.25,20.85,211395,4762230.3,22-FEB-2016,972,INE141K01013,
TEXMOPIPES,EQ,22.15,22.45,20.7,21.1,21,22.3,88256,1884974.5,23-FEB-2016,555,INE141K01013,
TEXMOPIPES,EQ,21,21.55,20.45,21,21.1,21.1,74579,1562684.8,24-FEB-2016,253,INE141K01013,
TEXMOPIPES,EQ,21.5,21.6,20.5,20.65,20.55,21,22737,473150.5,25-FEB-2016,147,INE141K01013,
TEXMOPIPES,EQ,20.45,21.7,20.3,20.4,20.5,20.65,30039,620563.1,26-FEB-2016,170,INE141K01013,
TEXMOPIPES,EQ,20.1,21.3,18.4,20.95,21,20.4,102049,2074901.65,29-FEB-2016,332,INE141K01013,
TEXMOPIPES,EQ,20.35,23,19.1,23,23,20.95,171268,3745180,01-MAR-2016,738,INE141K01013,
TEXMOPIPES,EQ,24.15,24.9,22.9,23.55,23.25,23,92074,2207526.6,02-MAR-2016,531,INE141K01013,
TEXMOPIPES,EQ,23.55,24.25,22.75,23.55,23.75,23.55,38860,926449.2,03-MAR-2016,233,INE141K01013,
TEXMOPIPES,EQ,23.45,25.5,23.15,24.65,25.2,23.55,94220,2330204.65,04-MAR-2016,481,INE141K01013,
TEXMOPIPES,EQ,24.9,26.05,24.2,24.5,24.3,24.65,88528,2234400.5,08-MAR-2016,350,INE141K01013,
TEXMOPIPES,EQ,24.8,24.8,23.35,24.35,24.05,24.5,38448,930668.85,09-MAR-2016,175,INE141K01013,
TEXMOPIPES,EQ,24.55,24.85,23.75,23.95,24.1,24.35,21348,518319.1,10-MAR-2016,114,INE141K01013,
TEXMOPIPES,EQ,23.55,24.95,23.55,23.85,23.75,23.95,31508,765647.75,11-MAR-2016,150,INE141K01013,
TEXMOPIPES,EQ,24.85,25,23.5,24.35,24.6,23.85,38365,930937.9,14-MAR-2016,183,INE141K01013,
TEXMOPIPES,EQ,23.8,24.5,23.75,24.15,24.25,24.35,34061,821983.3,15-MAR-2016,121,INE141K01013,
TEXMOPIPES,EQ,23.5,24.35,23.5,24.1,23.85,24.15,26182,627483.15,16-MAR-2016,128,INE141K01013,
TEXMOPIPES,EQ,24.5,24.5,23.75,23.8,23.75,24.1,33847,807723.1,17-MAR-2016,153,INE141K01013,
TEXMOPIPES,EQ,22.5,24.35,22.5,23.05,22.85,23.8,38327,892969.45,18-MAR-2016,171,INE141K01013,
TEXMOPIPES,EQ,22.55,22.95,20.4,21.95,21.8,23.05,104815,2305695.3,21-MAR-2016,459,INE141K01013,
TEXMOPIPES,EQ,21.8,22.65,19.6,20.75,20.65,21.95,186206,3826001.4,22-MAR-2016,755,INE141K01013,
TEXMOPIPES,EQ,20.55,24.45,20.5,23.85,23.85,20.75,202592,4706393.5,23-MAR-2016,1091,INE141K01013,
TEXMOPIPES,EQ,24,24.95,22.6,23.35,23.4,23.85,124176,2981301.45,28-MAR-2016,823,INE141K01013,
TEXMOPIPES,EQ,23.1,23.9,22.35,23.5,22.85,23.35,85854,1999092.2,29-MAR-2016,1162,INE141K01013,
TEXMOPIPES,EQ,23.85,24,22.5,22.8,22.95,23.5,56713,1325682.6,30-MAR-2016,282,INE141K01013,
TEXMOPIPES,EQ,22.75,23.6,22.6,22.8,22.8,22.8,43671,1001319.85,31-MAR-2016,154,INE141K01013,
TEXMOPIPES,EQ,22.75,23.45,22.25,22.55,22.55,22.8,67058,1510101.55,01-APR-2016,227,INE141K01013,
TEXMOPIPES,EQ,22.75,23.4,22.65,22.95,23.35,22.55,20127,462460.45,04-APR-2016,115,INE141K01013,
TEXMOPIPES,EQ,22.3,23.4,22.3,22.65,22.6,22.95,31657,716812.1,05-APR-2016,201,INE141K01013,
TEXMOPIPES,EQ,23.25,24.7,22.5,24.1,24.15,22.65,411602,9902269.65,06-APR-2016,1428,INE141K01013,
TEXMOPIPES,EQ,24.45,24.55,22.55,23,23,24.1,212376,4980025.15,07-APR-2016,741,INE141K01013,
TEXMOPIPES,EQ,22.95,24.1,22.85,23.65,23.45,23,116334,2731042.2,08-APR-2016,436,INE141K01013,
TEXMOPIPES,EQ,23.05,23.95,23.05,23.45,23.35,23.65,50323,1182168.85,11-APR-2016,309,INE141K01013,
TEXMOPIPES,EQ,23.4,24.1,23.25,23.45,23.75,23.45,62504,1484265.15,12-APR-2016,275,INE141K01013,
TEXMOPIPES,EQ,23.4,24.1,23.4,23.65,23.5,23.45,53366,1264563.2,13-APR-2016,199,INE141K01013,
TEXMOPIPES,EQ,22.75,23.95,22.75,23.05,23.05,23.65,39811,922433.85,18-APR-2016,183,INE141K01013,
TEXMOPIPES,EQ,23.15,23.25,22.2,23.05,23.15,23.05,41422,952854.15,20-APR-2016,204,INE141K01013,
TEXMOPIPES,EQ,23,23.7,22.6,22.75,22.7,23.05,58136,1340932.9,21-APR-2016,205,INE141K01013,
TEXMOPIPES,EQ,22.6,24.4,22.6,23.8,23.65,22.75,133052,3114496.85,22-APR-2016,393,INE141K01013,
TEXMOPIPES,EQ,24.45,24.45,23.05,23.25,23.35,23.8,74396,1735227.05,25-APR-2016,233,INE141K01013,
TEXMOPIPES,EQ,22.65,27.9,22.65,27.9,27.9,23.25,1036309,27922075.3,26-APR-2016,3383,INE141K01013,
TEXMOPIPES,EQ,29.95,33.45,29.05,33,32.65,27.9,3392841,109869630.4,27-APR-2016,10790,INE141K01013,
TEXMOPIPES,EQ,32.15,35.4,30.5,34.1,33.9,33,1972124,65919848.75,28-APR-2016,11592,INE141K01013,
TEXMOPIPES,EQ,33.4,36.2,33.1,35.2,34.65,34.1,863873,30386755.4,29-APR-2016,5071,INE141K01013,
TEXMOPIPES,EQ,35,35.2,33.6,34.1,33.7,35.2,264751,9079782.7,02-MAY-2016,1485,INE141K01013,
TEXMOPIPES,EQ,34.8,34.8,31.15,31.65,31.6,34.1,226851,7404124.35,03-MAY-2016,1416,INE141K01013,
TEXMOPIPES,EQ,31.5,33.6,30,32.1,32.5,31.65,352771,11358676.15,04-MAY-2016,2072,INE141K01013,
TEXMOPIPES,EQ,32.5,35.3,32,35.3,35.3,32.1,1314869,45897824.65,05-MAY-2016,3926,INE141K01013,
TEXMOPIPES,EQ,35.35,38.45,33.8,37.7,37.3,35.3,933292,34043620.55,06-MAY-2016,5014,INE141K01013,
TEXMOPIPES,EQ,37.6,39.75,37.5,38.35,37.9,37.7,567580,21959943.3,09-MAY-2016,2788,INE141K01013,
TEXMOPIPES,EQ,37.7,38.7,35.25,36.15,36.05,38.35,582041,21396058.85,10-MAY-2016,2336,INE141K01013,
TEXMOPIPES,EQ,35.8,37.4,34.55,36,36,36.15,313615,11350977,11-MAY-2016,1448,INE141K01013,
TEXMOPIPES,EQ,36,38.35,35.95,36.3,36.35,36,384985,14210803.55,12-MAY-2016,1910,INE141K01013,
TEXMOPIPES,EQ,36.5,36.65,35,35.65,36,36.3,164533,5899732.3,13-MAY-2016,905,INE141K01013,
TEXMOPIPES,EQ,37.5,37.5,35.55,36.75,37,35.65,188576,6866197.75,16-MAY-2016,736,INE141K01013,
TEXMOPIPES,EQ,36.8,38.75,36.8,37.3,36.9,36.75,308375,11694170.1,17-MAY-2016,1403,INE141K01013,
TEXMOPIPES,EQ,37.65,37.65,35.6,36.35,36.5,37.3,151002,5499967.15,18-MAY-2016,918,INE141K01013,
TEXMOPIPES,EQ,36.5,37.1,35.7,36.25,36.7,36.35,206502,7518416.45,19-MAY-2016,917,INE141K01013,
TEXMOPIPES,EQ,36.95,36.95,32.85,33.55,33.35,36.25,318694,10871859.15,20-MAY-2016,1808,INE141K01013,
TEXMOPIPES,EQ,34.7,34.7,31,31.3,31,33.55,170616,5495280.35,23-MAY-2016,1012,INE141K01013,
TEXMOPIPES,EQ,32.1,32.1,29.3,29.6,29.45,31.3,197673,5973760.35,24-MAY-2016,951,INE141K01013,
TEXMOPIPES,EQ,29.85,31.05,29.7,31.05,31.05,29.6,119223,3648612.45,25-MAY-2016,414,INE141K01013,
TEXMOPIPES,EQ,32.05,32.6,32.05,32.6,32.6,31.05,61760,2011838.85,26-MAY-2016,117,INE141K01013,
TEXMOPIPES,EQ,34.2,34.2,33,34.2,34.2,32.6,399787,13632931.8,27-MAY-2016,804,INE141K01013,
TEXMOPIPES,EQ,34.7,34.8,32.5,32.5,32.5,34.2,128722,4279889.9,30-MAY-2016,391,INE141K01013,
TEXMOPIPES,EQ,30.9,32,30.9,30.95,30.9,32.5,193317,6000727.75,31-MAY-2016,696,INE141K01013,
