SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
UJJIVANSFB,EQ,58.75,62.8,53.05,55.95,55.3,37,251414527,14435934776.9,12-DEC-2019,642222,INE551W01018,
UJJIVANSFB,EQ,55.4,55.4,51.1,52,52.55,55.95,40886357,2142050815.3,13-DEC-2019,132278,INE551W01018,
UJJIVANSFB,EQ,52,59.65,51.25,58.45,59.05,52,75723164,4246222746.65,16-DEC-2019,195397,INE551W01018,
UJJIVANSFB,EQ,60.35,61.1,57.5,58.65,58.9,58.45,59177594,3528718465,17-DEC-2019,150099,INE551W01018,
UJJIVANSFB,EQ,58.55,58.9,56.75,57.8,57.6,58.65,16440516,947515006.65,18-DEC-2019,78642,INE551W01018,
UJJIVANSFB,EQ,57.1,59.4,56.65,59.1,58.85,57.8,16846660,982613961.25,19-DEC-2019,76824,INE551W01018,
UJJIVANSFB,EQ,58.8,59.7,57.6,58.1,57.65,59.1,9016461,530697687.65,20-DEC-2019,39830,INE551W01018,
UJJIVANSFB,EQ,57.75,58.6,56.2,56.4,56.35,58.1,6044590,346931927.35,23-DEC-2019,39310,INE551W01018,
UJJIVANSFB,EQ,56.5,56.95,55.3,55.55,55.55,56.4,5209932,290640288.45,24-DEC-2019,29936,INE551W01018,
UJJIVANSFB,EQ,55.55,55.9,53.2,53.6,53.5,55.55,6485440,351253078.3,26-DEC-2019,31807,INE551W01018,
UJJIVANSFB,EQ,53.9,55.4,53.15,53.55,53.3,53.6,8207009,444198584.05,27-DEC-2019,33034,INE551W01018,
UJJIVANSFB,EQ,53.4,54.7,53.3,54.05,54.1,53.55,5161631,279123062.35,30-DEC-2019,22963,INE551W01018,
UJJIVANSFB,EQ,54,54.8,53.75,53.85,53.8,54.05,2608305,141216147.1,31-DEC-2019,14667,INE551W01018,
UJJIVANSFB,EQ,53.85,54.2,52.9,53.05,52.95,53.85,3369319,179795730.25,01-JAN-2020,13576,INE551W01018,
UJJIVANSFB,EQ,53.3,57.25,52.9,55.6,55.8,53.05,10788226,596509439.5,02-JAN-2020,36485,INE551W01018,
UJJIVANSFB,EQ,55.6,56.2,54.65,54.9,54.9,55.6,3802527,210181198.7,03-JAN-2020,13900,INE551W01018,
UJJIVANSFB,EQ,54.8,54.8,53,53.2,53.25,54.9,2878675,153642265.6,06-JAN-2020,14302,INE551W01018,
UJJIVANSFB,EQ,53.5,54.3,53.25,53.6,53.85,53.2,2223498,119369842.15,07-JAN-2020,9936,INE551W01018,
UJJIVANSFB,EQ,52.7,54.4,52.1,54.05,54,53.6,2992351,159705855.1,08-JAN-2020,14766,INE551W01018,
UJJIVANSFB,EQ,55,55,52.9,53.15,53.25,54.05,5424010,290667039,09-JAN-2020,38713,INE551W01018,
UJJIVANSFB,EQ,53.3,53.75,51.8,52.2,52.2,53.15,4962166,262686119.3,10-JAN-2020,21016,INE551W01018,
UJJIVANSFB,EQ,52.25,53,52.25,52.55,52.55,52.2,2490710,130904671.15,13-JAN-2020,15561,INE551W01018,
UJJIVANSFB,EQ,52.85,53.5,52.3,52.55,52.45,52.55,2848871,150108539.8,14-JAN-2020,15905,INE551W01018,
UJJIVANSFB,EQ,52.9,52.9,51.6,51.7,51.7,52.55,4121422,213891213.55,15-JAN-2020,22882,INE551W01018,
UJJIVANSFB,EQ,51.95,52.95,51.2,51.5,51.45,51.7,3698950,192596923.9,16-JAN-2020,14443,INE551W01018,
UJJIVANSFB,EQ,51.7,51.9,50.3,50.4,50.45,51.5,4884518,247116218.5,17-JAN-2020,60394,INE551W01018,
UJJIVANSFB,EQ,50.75,50.8,48.6,49.05,49,50.4,4565526,226298509.8,20-JAN-2020,23936,INE551W01018,
UJJIVANSFB,EQ,49.25,50.6,48.35,49.95,50.2,49.05,4427125,220161168.6,21-JAN-2020,23488,INE551W01018,
UJJIVANSFB,EQ,50.8,52.9,49.75,51.35,51.35,49.95,7374048,379240773.45,22-JAN-2020,34916,INE551W01018,
UJJIVANSFB,EQ,52,54.2,52,53.6,53.65,51.35,14228890,759648347.2,23-JAN-2020,42852,INE551W01018,
UJJIVANSFB,EQ,54,55.3,53.7,54.8,54.8,53.6,6737755,369100243.15,24-JAN-2020,31405,INE551W01018,
UJJIVANSFB,EQ,55,55.95,54,54.6,54.6,54.8,4975971,274076249.2,27-JAN-2020,23230,INE551W01018,
UJJIVANSFB,EQ,54.6,56.25,54.5,55.05,55.05,54.6,5831800,322052709.9,28-JAN-2020,24744,INE551W01018,
UJJIVANSFB,EQ,55.5,55.75,54.8,54.9,54.85,55.05,2661337,146998788.3,29-JAN-2020,14337,INE551W01018,
UJJIVANSFB,EQ,54.9,56,53.85,55.45,55.65,54.9,3154683,172776893,30-JAN-2020,15862,INE551W01018,
UJJIVANSFB,EQ,56.1,56.4,55.55,55.8,56.05,55.45,3129732,175064698.9,31-JAN-2020,17903,INE551W01018,
UJJIVANSFB,EQ,53.5,54.25,53,53.25,53.5,53.6,1987363,106174841.25,03-FEB-2020,12941,INE551W01018,
UJJIVANSFB,EQ,53.9,54.5,53.4,54.05,54,53.25,2223160,119435207.55,04-FEB-2020,11293,INE551W01018,
UJJIVANSFB,EQ,53.7,57.8,53.6,56.25,56.15,54.05,6277829,352114705.35,05-FEB-2020,28587,INE551W01018,
UJJIVANSFB,EQ,56.2,58.2,55.8,56.75,56.9,56.25,4033152,229473948.8,06-FEB-2020,19991,INE551W01018,
