SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
UTISENSETF,EQ,262.65,263.5,262.65,263.4,263.4,264.8,202,53152.6,01-JAN-2016,10,INF789FB1X58,
UTISENSETF,EQ,257.5,279.6,256.55,262.05,258,263.4,630,164068.05,04-JAN-2016,22,INF789FB1X58,
UTISENSETF,EQ,256.6,256.6,256.6,256.6,256.6,262.05,19,4875.4,05-JAN-2016,1,INF789FB1X58,
UTISENSETF,EQ,257.25,257.25,255.2,255.25,255.85,256.6,85,21720.65,06-JAN-2016,8,INF789FB1X58,
UTISENSETF,EQ,251.8,252.65,250.6,250.95,251,255.25,536,134657.25,07-JAN-2016,15,INF789FB1X58,
UTISENSETF,EQ,251.8,252.95,251.2,251.65,251.65,250.95,232,58500.35,08-JAN-2016,6,INF789FB1X58,
UTISENSETF,EQ,247.95,249.8,247.9,249.8,249.8,251.65,142,35276.6,11-JAN-2016,6,INF789FB1X58,
UTISENSETF,EQ,247.6,247.6,247.6,247.6,247.6,249.8,2,495.2,12-JAN-2016,1,INF789FB1X58,
UTISENSETF,EQ,250.2,250.2,246.05,246.12,246.1,247.6,106,26147.7,13-JAN-2016,10,INF789FB1X58,
UTISENSETF,EQ,249.5,249.5,249.5,249.5,249.5,246.12,20,4990,14-JAN-2016,1,INF789FB1X58,
UTISENSETF,EQ,246.4,246.65,246.05,246.47,246.65,249.5,35,8624.7,15-JAN-2016,4,INF789FB1X58,
UTISENSETF,EQ,244,245,244,245,245,246.47,274,67049,18-JAN-2016,9,INF789FB1X58,
UTISENSETF,EQ,246.15,246.15,246.05,246.07,246.05,245,68,16733.4,19-JAN-2016,3,INF789FB1X58,
UTISENSETF,EQ,242.6,244.55,241,243.47,244.55,246.07,2235,543216.75,20-JAN-2016,42,INF789FB1X58,
UTISENSETF,EQ,243.55,245.95,243.55,245.95,245.95,243.47,22,5406.1,22-JAN-2016,2,INF789FB1X58,
UTISENSETF,EQ,246.55,246.55,246.55,246.55,246.55,245.95,1,246.55,25-JAN-2016,1,INF789FB1X58,
UTISENSETF,EQ,247.8,247.8,247.8,247.8,247.8,246.55,20,4956,27-JAN-2016,1,INF789FB1X58,
UTISENSETF,EQ,249.75,249.75,249.75,249.75,249.75,247.8,1,249.75,29-JAN-2016,1,INF789FB1X58,
UTISENSETF,EQ,248.75,251.15,248.05,248.05,248.05,249.75,75,18692.4,01-FEB-2016,5,INF789FB1X58,
UTISENSETF,EQ,247.65,249.9,246,249.9,249.9,248.05,435,108023.4,02-FEB-2016,8,INF789FB1X58,
UTISENSETF,EQ,242.6,245.8,242.6,245.8,245.8,249.9,84,20604.6,03-FEB-2016,3,INF789FB1X58,
UTISENSETF,EQ,245,245,245,245,245,245.8,19,4655,04-FEB-2016,1,INF789FB1X58,
UTISENSETF,EQ,248,248,246.2,246.2,246.2,245,6,1480.8,08-FEB-2016,3,INF789FB1X58,
UTISENSETF,EQ,242.25,242.8,242.25,242.8,242.8,246.2,200,48527.55,09-FEB-2016,4,INF789FB1X58,
UTISENSETF,EQ,240.2,240.2,239.9,239.9,239.9,242.8,40,9602,10-FEB-2016,2,INF789FB1X58,
UTISENSETF,EQ,237,237,232,232,232,239.9,417,97507.8,11-FEB-2016,13,INF789FB1X58,
UTISENSETF,EQ,231.8,251.3,227.6,229.92,227.6,232,2144,508154.55,12-FEB-2016,27,INF789FB1X58,
UTISENSETF,EQ,233.75,236.9,233.75,236.9,236.9,229.92,6063,1420301.35,15-FEB-2016,14,INF789FB1X58,
UTISENSETF,EQ,237.55,237.55,237.55,237.55,237.55,236.9,1,237.55,16-FEB-2016,1,INF789FB1X58,
UTISENSETF,EQ,231.65,231.65,231.65,231.65,231.65,237.55,191,44245.15,17-FEB-2016,2,INF789FB1X58,
UTISENSETF,EQ,238.8,239.1,236.85,236.85,236.85,231.65,321,76070.1,19-FEB-2016,3,INF789FB1X58,
UTISENSETF,EQ,235.4,235.4,235.4,235.4,235.4,236.85,3,706.2,23-FEB-2016,1,INF789FB1X58,
UTISENSETF,EQ,232.51,235.1,232.51,233.5,233.5,235.4,118,27697.9,24-FEB-2016,5,INF789FB1X58,
UTISENSETF,EQ,230.81,233.04,230.81,233.04,233.04,233.5,2,463.85,25-FEB-2016,2,INF789FB1X58,
UTISENSETF,EQ,234.2,234.2,234.2,234.2,234.2,233.04,21,4918.2,26-FEB-2016,1,INF789FB1X58,
UTISENSETF,EQ,233.35,233.35,233.35,233.35,233.35,234.2,21,4900.35,29-FEB-2016,2,INF789FB1X58,
UTISENSETF,EQ,235.75,239.3,235.75,239.23,239.3,233.35,180,43009.5,01-MAR-2016,3,INF789FB1X58,
UTISENSETF,EQ,240.71,243.5,240.71,242.25,242.25,239.23,86,20860.75,02-MAR-2016,9,INF789FB1X58,
UTISENSETF,EQ,244.11,246.99,244.11,246.99,246.99,242.25,2,491.1,03-MAR-2016,2,INF789FB1X58,
UTISENSETF,EQ,246.01,248.39,246.01,246.5,246.5,246.99,21,5177.9,04-MAR-2016,3,INF789FB1X58,
UTISENSETF,EQ,247.4,247.4,247.4,247.4,247.4,246.5,20,4948,08-MAR-2016,1,INF789FB1X58,
UTISENSETF,EQ,245.2,248,245.2,248,248,247.4,11,2725.2,09-MAR-2016,2,INF789FB1X58,
UTISENSETF,EQ,246,248,246,248,248,248,21,5168,10-MAR-2016,10,INF789FB1X58,
UTISENSETF,EQ,248.4,248.55,248.4,248.55,248.55,248,70,17391,11-MAR-2016,2,INF789FB1X58,
UTISENSETF,EQ,251.2,251.2,248.85,249,249,248.55,39,9729.15,14-MAR-2016,3,INF789FB1X58,
UTISENSETF,EQ,247.1,247.1,246.65,246.65,246.65,249,108,26642.25,15-MAR-2016,2,INF789FB1X58,
UTISENSETF,EQ,246.5,248,246.05,248,248,246.65,80,19735.6,16-MAR-2016,4,INF789FB1X58,
UTISENSETF,EQ,250.7,250.7,250.7,250.7,250.7,248,20,5014,17-MAR-2016,1,INF789FB1X58,
UTISENSETF,EQ,248.75,249.5,248.75,249.5,249.5,250.7,18,4482,18-MAR-2016,2,INF789FB1X58,
UTISENSETF,EQ,254.7,254.7,251.5,254.7,254.7,249.5,49,12360,22-MAR-2016,4,INF789FB1X58,
UTISENSETF,EQ,253.7,253.7,253.7,253.7,253.7,254.7,50,12685,23-MAR-2016,1,INF789FB1X58,
UTISENSETF,EQ,251.2,253.25,250.9,250.9,250.9,253.7,53,13357.35,29-MAR-2016,3,INF789FB1X58,
UTISENSETF,EQ,251.65,252.2,251.45,252.2,252.2,250.9,82,20641.45,30-MAR-2016,3,INF789FB1X58,
UTISENSETF,EQ,257.4,257.45,253.55,253.85,253.85,252.2,43,10990.56,31-MAR-2016,6,INF789FB1X58,
UTISENSETF,EQ,255.05,255.05,255.05,255.05,255.05,253.85,2,510.1,04-APR-2016,1,INF789FB1X58,
UTISENSETF,EQ,254,254.85,252.8,252.8,252.8,255.05,594,150398.05,05-APR-2016,10,INF789FB1X58,
UTISENSETF,EQ,249.6,249.6,249.6,249.6,249.6,252.8,19,4742.4,06-APR-2016,1,INF789FB1X58,
UTISENSETF,EQ,251.3,251.3,248,248,248,249.6,25,6219.8,07-APR-2016,2,INF789FB1X58,
UTISENSETF,EQ,249,249,247.35,247.35,247.35,248,97,24075.45,08-APR-2016,2,INF789FB1X58,
UTISENSETF,EQ,248.8,251.4,248.8,251.4,251.4,247.35,50,12527.25,11-APR-2016,4,INF789FB1X58,
UTISENSETF,EQ,258.15,259.9,256.86,258.05,259.24,251.4,111,28799.55,13-APR-2016,5,INF789FB1X58,
UTISENSETF,EQ,260,260.9,258.5,260.9,260.9,258.05,64,16638.5,18-APR-2016,3,INF789FB1X58,
UTISENSETF,EQ,257.8,257.8,257.8,257.8,257.8,260.9,38,9796.4,20-APR-2016,1,INF789FB1X58,
UTISENSETF,EQ,262.2,262.55,261.9,262.55,262.55,257.8,99,25956.55,21-APR-2016,6,INF789FB1X58,
UTISENSETF,EQ,259.6,259.6,259.6,259.6,259.6,262.55,50,12980,22-APR-2016,1,INF789FB1X58,
UTISENSETF,EQ,259,259,259,259,259,259.6,3,777,25-APR-2016,1,INF789FB1X58,
UTISENSETF,EQ,256.35,262,256.35,261.97,261.85,259,7,1828.2,26-APR-2016,7,INF789FB1X58,
UTISENSETF,EQ,260.5,263.05,260.5,263.05,263.05,261.97,22,5736.1,27-APR-2016,3,INF789FB1X58,
UTISENSETF,EQ,263.1,263.1,263.1,263.1,263.1,263.05,1,263.1,28-APR-2016,1,INF789FB1X58,
UTISENSETF,EQ,256.9,256.9,254.55,254.55,254.55,263.1,94,23967.65,02-MAY-2016,3,INF789FB1X58,
UTISENSETF,EQ,258.3,258.4,252.15,252.59,252.15,254.55,713,183397.3,03-MAY-2016,17,INF789FB1X58,
UTISENSETF,EQ,252,252,251.85,251.85,251.85,252.59,90,22670.25,04-MAY-2016,2,INF789FB1X58,
UTISENSETF,EQ,254.45,255.5,253.3,253.49,253.3,251.85,186,47375.5,05-MAY-2016,9,INF789FB1X58,
UTISENSETF,EQ,252.35,252.35,252.35,252.35,252.35,253.49,50,12617.5,06-MAY-2016,1,INF789FB1X58,
UTISENSETF,EQ,257,257.95,257,257.75,257.75,252.35,92,23705,09-MAY-2016,6,INF789FB1X58,
UTISENSETF,EQ,257.9,260.1,257.9,260.1,260.1,257.75,17,4419.25,10-MAY-2016,3,INF789FB1X58,
UTISENSETF,EQ,258.85,258.95,258.85,258.95,258.95,260.1,53,13719.35,11-MAY-2016,3,INF789FB1X58,
UTISENSETF,EQ,260.5,260.5,260.5,260.5,260.5,258.95,10,2605,12-MAY-2016,2,INF789FB1X58,
UTISENSETF,EQ,258.3,258.3,257.3,257.3,257.3,260.5,24,6184.2,13-MAY-2016,2,INF789FB1X58,
UTISENSETF,EQ,254.6,256.35,254.6,256.35,256.35,257.3,50,12773.75,16-MAY-2016,2,INF789FB1X58,
UTISENSETF,EQ,258,258,258,258,258,256.35,19,4902,18-MAY-2016,1,INF789FB1X58,
UTISENSETF,EQ,257.6,257.9,257.6,257.9,257.9,258,200,51564.4,20-MAY-2016,4,INF789FB1X58,
UTISENSETF,EQ,254.5,254.5,254.5,254.5,254.5,257.9,3,763.5,23-MAY-2016,3,INF789FB1X58,
UTISENSETF,EQ,259.4,259.4,258.95,258.95,258.95,254.5,63,16315.2,25-MAY-2016,3,INF789FB1X58,
UTISENSETF,EQ,261.25,264,261.25,264,264,258.95,19,4988.5,26-MAY-2016,2,INF789FB1X58,
UTISENSETF,EQ,266.35,266.35,266.35,266.35,266.35,264,45,11985.75,27-MAY-2016,1,INF789FB1X58,
UTISENSETF,EQ,268.05,268.1,268.05,268.09,268.1,266.35,134,35923.7,30-MAY-2016,3,INF789FB1X58,
UTISENSETF,EQ,268.05,269.55,267.4,267.8,267.8,268.09,60,16096.5,31-MAY-2016,4,INF789FB1X58,
UTISENSETF,EQ,270.3,270.3,268.55,269.75,269.75,267.8,238,63998.1,01-JUN-2016,4,INF789FB1X58,
UTISENSETF,EQ,269.75,270.1,269.75,270.07,270.1,269.75,57,15382,02-JUN-2016,3,INF789FB1X58,
UTISENSETF,EQ,270.7,270.7,270.25,270.25,270.25,270.07,44,11896.45,03-JUN-2016,3,INF789FB1X58,
UTISENSETF,EQ,270.05,271.2,269,269,269,270.25,63,16996.7,06-JUN-2016,6,INF789FB1X58,
UTISENSETF,EQ,269.8,271.95,269.8,271.95,271.95,269,78,21125.9,07-JUN-2016,4,INF789FB1X58,
UTISENSETF,EQ,271.4,271.4,271.4,271.4,271.4,271.95,15,4071,08-JUN-2016,1,INF789FB1X58,
UTISENSETF,EQ,269.55,269.55,269.4,269.4,269.4,271.4,40,10778.25,09-JUN-2016,2,INF789FB1X58,
UTISENSETF,EQ,267.35,267.35,267.35,267.35,267.35,269.4,15,4010.25,10-JUN-2016,1,INF789FB1X58,
UTISENSETF,EQ,266.25,266.25,266.25,266.25,266.25,267.35,8,2130,13-JUN-2016,1,INF789FB1X58,
UTISENSETF,EQ,264.65,265,264.65,264.85,264.8,266.25,53,14034.15,14-JUN-2016,3,INF789FB1X58,
UTISENSETF,EQ,266.3,266.3,266.25,266.25,266.25,264.85,18,4793.25,15-JUN-2016,2,INF789FB1X58,
UTISENSETF,EQ,264.8,264.8,264.8,264.8,264.8,266.25,15,3972,16-JUN-2016,1,INF789FB1X58,
UTISENSETF,EQ,267.45,267.45,267.45,267.45,267.45,264.8,20,5349,17-JUN-2016,1,INF789FB1X58,
UTISENSETF,EQ,267.7,268.7,267.7,268.7,268.7,267.45,29,7773.3,20-JUN-2016,2,INF789FB1X58,
UTISENSETF,EQ,270.65,270.65,270.65,270.65,270.65,268.7,19,5142.35,21-JUN-2016,19,INF789FB1X58,
UTISENSETF,EQ,269.05,270.45,268.85,268.85,268.85,270.65,33,8891.05,22-JUN-2016,3,INF789FB1X58,
UTISENSETF,EQ,271,272.1,271,272.1,272.1,268.85,2002,544543.1,23-JUN-2016,3,INF789FB1X58,
UTISENSETF,EQ,263,266.55,262.45,266.55,266.55,272.1,69,18183.01,24-JUN-2016,9,INF789FB1X58,
UTISENSETF,EQ,266,266,265.15,265.15,265.15,266.55,39,10341.7,27-JUN-2016,2,INF789FB1X58,
UTISENSETF,EQ,266.5,267.2,266.5,267.2,267.2,265.15,29,7741.8,28-JUN-2016,2,INF789FB1X58,
UTISENSETF,EQ,268.8,268.8,268.8,268.8,268.8,267.2,10,2688,29-JUN-2016,1,INF789FB1X58,
UTISENSETF,EQ,272.2,273.55,271,273.55,273.55,268.8,420,114343.55,30-JUN-2016,12,INF789FB1X58,
UTISENSETF,EQ,266.35,267.9,264.25,266.15,266.15,273.55,580,154603.65,01-JUL-2016,16,INF789FB1X58,
UTISENSETF,EQ,266.1,266.5,266.1,266.5,266.5,266.15,20,5329.6,04-JUL-2016,2,INF789FB1X58,
UTISENSETF,EQ,267.4,267.4,265.65,265.65,265.65,266.5,170,45377.25,05-JUL-2016,8,INF789FB1X58,
UTISENSETF,EQ,267.3,267.4,266.95,267.1,267.1,265.65,204,54498.4,07-JUL-2016,7,INF789FB1X58,
UTISENSETF,EQ,275.6,275.6,272.9,274.8,274.8,267.1,258,70890.1,08-JUL-2016,11,INF789FB1X58,
UTISENSETF,EQ,278.75,280,278.75,280,280,274.8,453,126622.11,11-JUL-2016,19,INF789FB1X58,
UTISENSETF,EQ,280.5,281.25,280.4,281.25,281.25,280,191,53618.4,12-JUL-2016,10,INF789FB1X58,
UTISENSETF,EQ,282.7,282.7,281.75,281.75,281.75,281.25,27,7614.85,13-JUL-2016,2,INF789FB1X58,
UTISENSETF,EQ,283.05,283.05,283.05,283.05,283.05,281.75,5,1415.25,14-JUL-2016,1,INF789FB1X58,
UTISENSETF,EQ,285.5,288.45,280.7,280.97,280.7,283.05,2306,664141.25,15-JUL-2016,50,INF789FB1X58,
UTISENSETF,EQ,283.2,283.2,283.2,283.2,283.2,280.97,19,5380.8,18-JUL-2016,1,INF789FB1X58,
UTISENSETF,EQ,283,283,281.2,281.7,281.7,283.2,81,22780.5,19-JUL-2016,4,INF789FB1X58,
UTISENSETF,EQ,284,284,283.45,283.48,283.45,281.7,100,28356.05,20-JUL-2016,3,INF789FB1X58,
UTISENSETF,EQ,283.95,283.95,283.95,283.95,283.95,283.48,15,4259.25,21-JUL-2016,1,INF789FB1X58,
UTISENSETF,EQ,281.9,282.4,281.9,282.4,282.4,283.95,89,25103.1,22-JUL-2016,3,INF789FB1X58,
UTISENSETF,EQ,282.75,285.9,282.75,285.9,285.9,282.4,553,157860.95,25-JUL-2016,12,INF789FB1X58,
UTISENSETF,EQ,284,284,284,284,284,285.9,82,23288,26-JUL-2016,3,INF789FB1X58,
UTISENSETF,EQ,286,286.75,282.2,282.2,282.2,284,22,6220.5,27-JUL-2016,5,INF789FB1X58,
