SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
VISHWARAJ,BE,61.2,61.5,60.25,60.35,60.35,60,1086937,65612755.9,15-OCT-2019,1452,INE430N01014,
VISHWARAJ,BE,60.45,60.45,60.1,60.35,60.3,60.35,528132,31865472.6,16-OCT-2019,465,INE430N01014,
VISHWARAJ,BE,60.15,60.4,60.15,60.35,60.35,60.35,370298,22344855.8,17-OCT-2019,262,INE430N01014,
VISHWARAJ,BE,60.2,60.45,60.15,60.4,60.4,60.35,292874,17685506.35,18-OCT-2019,218,INE430N01014,
VISHWARAJ,BE,60.25,61,60.25,60.45,61,60.4,77364,4668102.2,22-OCT-2019,136,INE430N01014,
VISHWARAJ,BE,60.3,61,60.3,60.95,61,60.45,116537,7076887.8,23-OCT-2019,74,INE430N01014,
VISHWARAJ,BE,61,61.55,60.5,61.55,61.5,60.95,240102,14701395.7,24-OCT-2019,100,INE430N01014,
VISHWARAJ,BE,60.2,63,60.2,61.8,63,61.55,107974,6609022.2,25-OCT-2019,62,INE430N01014,
VISHWARAJ,BE,62.3,63,61,61.75,63,61.9,187706,11612703.6,29-OCT-2019,99,INE430N01014,
VISHWARAJ,BE,63,63,61,62.9,62.9,61.75,4183,259200.6,30-OCT-2019,69,INE430N01014,
VISHWARAJ,EQ,63,63.05,61.2,62.75,63.05,62.9,493213,30678441.95,31-OCT-2019,193,INE430N01014,
VISHWARAJ,EQ,63,64.95,61.35,63.95,64.95,62.75,42048,2667748.2,01-NOV-2019,226,INE430N01014,
VISHWARAJ,EQ,65,66.5,62,64.45,65,63.95,137409,8845494.25,04-NOV-2019,733,INE430N01014,
VISHWARAJ,EQ,65.95,73.4,63.3,69.85,72.5,64.45,32274,2197810.75,05-NOV-2019,483,INE430N01014,
VISHWARAJ,EQ,72.75,83.8,72.5,82.3,81.85,69.85,468993,38229626.85,06-NOV-2019,4146,INE430N01014,
VISHWARAJ,EQ,86.1,94.5,77,80.65,81,82.3,668547,59095675.35,07-NOV-2019,8430,INE430N01014,
VISHWARAJ,EQ,81,84,72,74.3,76.7,80.65,163549,12584631.95,08-NOV-2019,2490,INE430N01014,
