INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,AUBANK,27-May-2021,0,XX,0,0,0,1177.7,1138.35,0,0,0,0,26-FEB-2021,
FUTSTK,AUBANK,27-May-2021,0,XX,1160.5,1160.5,1160.5,1160.5,1158.75,1,5.8,500,500,01-MAR-2021,
FUTSTK,AUBANK,27-May-2021,0,XX,0,0,0,1160.5,1161.65,0,0,500,0,02-MAR-2021,
FUTSTK,AUBANK,27-May-2021,0,XX,1157.7,1191.7,1153.45,1191.7,1191.7,12,69.65,2000,1500,03-MAR-2021,
FUTSTK,AUBANK,27-May-2021,0,XX,1270,1293.5,1268,1275,1275,5,31.98,1000,-1000,04-MAR-2021,
FUTSTK,AUBANK,27-May-2021,0,XX,1280,1280,1280,1280,1280,1,6.4,500,-500,05-MAR-2021,
FUTSTK,AUBANK,27-May-2021,0,XX,1291.2,1291.2,1291.2,1291.2,1274.5,2,12.91,1500,1000,08-MAR-2021,
FUTSTK,AUBANK,27-May-2021,0,XX,1265.45,1265.45,1265.45,1265.45,1242.55,1,6.32,1500,0,09-MAR-2021,
FUTSTK,AUBANK,27-May-2021,0,XX,0,0,0,1265.45,1263.45,0,0,1500,0,10-MAR-2021,
FUTSTK,AUBANK,27-May-2021,0,XX,1255.7,1255.7,1255.7,1255.7,1265.35,1,6.27,2000,500,12-MAR-2021,
FUTSTK,AUBANK,27-May-2021,0,XX,0,0,0,1255.7,1197.45,0,0,2000,0,15-MAR-2021,
FUTSTK,AUBANK,27-May-2021,0,XX,1240.6,1240.6,1240.6,1240.6,1239.25,1,6.2,1500,-500,16-MAR-2021,
FUTSTK,AUBANK,27-May-2021,0,XX,1177.7,1178.3,1176.25,1176.25,1178.45,6,35.3,2500,1000,17-MAR-2021,
FUTSTK,AUBANK,27-May-2021,0,XX,1178.15,1178.15,1178.15,1178.15,1173.35,1,5.89,2000,-500,18-MAR-2021,
FUTSTK,AUBANK,27-May-2021,0,XX,0,0,0,1178.15,1206.5,0,0,2000,0,19-MAR-2021,
FUTSTK,AUBANK,27-May-2021,0,XX,0,0,0,1178.15,1231.25,0,0,2000,0,22-MAR-2021,
FUTSTK,AUBANK,27-May-2021,0,XX,0,0,0,1178.15,1253.55,0,0,2000,0,23-MAR-2021,
FUTSTK,AUBANK,27-May-2021,0,XX,1230,1230,1230,1230,1233.7,2,12.3,2000,0,24-MAR-2021,
FUTSTK,AUBANK,27-May-2021,0,XX,1187,1188,1145.75,1169.4,1169.4,67,391.64,23500,21500,25-MAR-2021,
FUTSTK,AUBANK,24-Jun-2021,0,XX,1205.5,1205.5,1205.5,1205.5,1189.45,1,6.02,500,500,26-MAR-2021,
FUTSTK,AUBANK,24-Jun-2021,0,XX,0,0,0,1205.50,1310.30,0,0,500,0,30-Mar-2021
FUTSTK,AUBANK,24-Jun-2021,0,XX,0,0,0,1205.5,1238.5,0,0,500,0,31-MAR-2021,
FUTSTK,AUBANK,24-Jun-2021,0,XX,1259.7,1259.7,1259.7,1259.7,1279.2,1,6.29,1000,500,01-APR-2021,
FUTSTK,AUBANK,24-Jun-2021,0,XX,0,0,0,1259.7,1238.7,0,0,1000,0,05-APR-2021,
FUTSTK,AUBANK,24-Jun-2021,0,XX,0,0,0,1259.7,1232.9,0,0,1000,0,06-APR-2021,
FUTSTK,AUBANK,24-Jun-2021,0,XX,0,0,0,1259.7,1243.05,0,0,1000,0,07-APR-2021,
FUTSTK,AUBANK,24-Jun-2021,0,XX,0,0,0,1259.7,1261.85,0,0,1000,0,08-APR-2021,
FUTSTK,AUBANK,24-Jun-2021,0,XX,1202,1202,1202,1202,1183.7,3,18.03,2500,1500,09-APR-2021,
FUTSTK,AUBANK,24-Jun-2021,0,XX,1068.6,1085,1068.55,1085,1085,4,21.53,3500,1000,12-APR-2021,
FUTSTK,AUBANK,24-Jun-2021,0,XX,1085,1085,1085,1085,1088.8,3,16.27,4000,500,13-APR-2021,
FUTSTK,AUBANK,24-Jun-2021,0,XX,1081.25,1081.25,1061.1,1061.1,1061.1,2,10.71,3500,-500,15-APR-2021,
FUTSTK,AUBANK,24-Jun-2021,0,XX,0,0,0,1061.1,1084.8,0,0,3500,0,16-APR-2021,
FUTSTK,AUBANK,24-Jun-2021,0,XX,1008.7,1018,996.05,1018,1018,11,55.11,6000,2500,19-APR-2021,
FUTSTK,AUBANK,24-Jun-2021,0,XX,1037.45,1041.8,1036.6,1036.6,1036.6,7,36.36,7000,1000,20-APR-2021,
FUTSTK,AUBANK,24-Jun-2021,0,XX,1036.6,1100,1036.6,1089,1101.7,9,47.77,7000,0,22-APR-2021,
FUTSTK,AUBANK,24-Jun-2021,0,XX,1100.45,1111,1074,1079,1082.65,13,71.04,10000,3000,23-APR-2021,
FUTSTK,AUBANK,24-Jun-2021,0,XX,1072.6,1082.65,1035,1035.5,1035.5,26,136.99,14500,4500,26-APR-2021,
FUTSTK,AUBANK,24-Jun-2021,0,XX,1046.8,1079.05,1046.8,1077.9,1077.9,28,149.3,14500,0,27-APR-2021,
FUTSTK,AUBANK,24-Jun-2021,0,XX,1070.2,1146.95,1069.35,1146.95,1155.65,26,145.6,15000,500,28-APR-2021,
FUTSTK,AUBANK,24-Jun-2021,0,XX,1163,1163,1115.65,1121,1121,209,1181.98,91500,76500,29-APR-2021,
FUTSTK,AUBANK,29-Jul-2021,0,XX,1025,1025,1011.5,1011.5,1013.65,11,56.19,3500,3500,30-APR-2021,
FUTSTK,AUBANK,29-Jul-2021,0,XX,935.35,945.05,923,935.85,935.85,26,121.54,11500,8000,03-MAY-2021,
FUTSTK,AUBANK,29-Jul-2021,0,XX,935.85,952,922.55,922.55,922.55,19,89.17,15500,4000,04-MAY-2021,
FUTSTK,AUBANK,29-Jul-2021,0,XX,919.9,950.5,919.9,950.45,950.45,9,42.2,14000,-1500,05-MAY-2021,
FUTSTK,AUBANK,29-Jul-2021,0,XX,945.5,963.8,945.5,963.8,965.3,6,28.71,15500,1500,06-MAY-2021,
FUTSTK,AUBANK,29-Jul-2021,0,XX,944.1,944.1,932,932,932,8,37.47,18500,3000,07-MAY-2021,
FUTSTK,AUBANK,29-Jul-2021,0,XX,947.35,949,940.95,946.4,946.4,8,37.84,17000,-1500,10-MAY-2021,
FUTSTK,AUBANK,29-Jul-2021,0,XX,945,973,945,973,973,6,28.84,19000,2000,11-MAY-2021,
FUTSTK,AUBANK,29-Jul-2021,0,XX,958.45,961.7,955,955,962.5,4,19.16,19500,500,12-MAY-2021,
FUTSTK,AUBANK,29-Jul-2021,0,XX,962.5,972,962.5,972,954.2,3,14.53,18500,-1000,14-MAY-2021,
FUTSTK,AUBANK,29-Jul-2021,0,XX,942.65,946.15,932,946.15,949.2,5,23.55,19500,1000,17-MAY-2021,
FUTSTK,AUBANK,29-Jul-2021,0,XX,966.3,990,965,987,987,24,117.32,20500,1000,18-MAY-2021,
FUTSTK,AUBANK,29-Jul-2021,0,XX,976.75,990,970.6,980.35,980.35,16,78.34,21000,500,19-MAY-2021,
FUTSTK,AUBANK,29-Jul-2021,0,XX,970.6,971.55,962.35,965.5,967.15,30,144.88,31500,10500,20-MAY-2021,
FUTSTK,AUBANK,29-Jul-2021,0,XX,967.15,988,967.15,988,987.5,24,117.77,36000,4500,21-MAY-2021,
FUTSTK,AUBANK,29-Jul-2021,0,XX,977.05,988.7,977,988.7,985.1,8,39.18,35000,-1000,24-MAY-2021,
FUTSTK,AUBANK,29-Jul-2021,0,XX,985.1,985.1,966,971.35,971.35,15,73.19,40500,5500,25-MAY-2021,
FUTSTK,AUBANK,29-Jul-2021,0,XX,966.5,971,960,968.25,968.25,22,106.36,48000,7500,26-MAY-2021,
FUTSTK,AUBANK,29-Jul-2021,0,XX,967.85,993.65,967.75,992.45,992.45,41,202.23,48500,500,27-MAY-2021,
FUTSTK,AUBANK,26-Aug-2021,0,XX,1012.9,1012.9,1012.9,1012.9,1004.75,1,5.06,500,500,28-MAY-2021,
FUTSTK,AUBANK,26-Aug-2021,0,XX,1002.05,1002.05,994,994,994,2,9.98,1500,1000,31-MAY-2021,
FUTSTK,AUBANK,26-Aug-2021,0,XX,995,995,995,995,997.95,2,9.95,2500,1000,01-JUN-2021,
FUTSTK,AUBANK,26-Aug-2021,0,XX,997.95,997.95,997.95,997.95,1018.65,1,4.98,2500,0,02-JUN-2021,
FUTSTK,AUBANK,26-Aug-2021,0,XX,1015,1017,1015,1017,1015.45,2,10.16,3500,1000,03-JUN-2021,
FUTSTK,AUBANK,26-Aug-2021,0,XX,1020,1025,1012.35,1012.35,1012.35,5,25.48,4500,1000,04-JUN-2021,
