INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,BAJFINANCE,28-Jan-2016,0,XX,6015,6123,6007.9,6108.95,6108.95,681,5171.13,185750,2375,01-JAN-2016,
FUTSTK,BAJFINANCE,28-Jan-2016,0,XX,6100.6,6100.6,6006,6078.05,6078.05,714,5408.08,182000,-3750,04-JAN-2016,
FUTSTK,BAJFINANCE,28-Jan-2016,0,XX,6085,6097,6010,6028.2,6028.2,574,4332.25,182500,500,05-JAN-2016,
FUTSTK,BAJFINANCE,28-Jan-2016,0,XX,5965.4,6201.95,5965.4,6143.05,6143.05,1031,7878.79,181500,-1000,06-JAN-2016,
FUTSTK,BAJFINANCE,28-Jan-2016,0,XX,6111,6207.95,6065.2,6112.85,6112.85,1065,8154.6,175625,-5875,07-JAN-2016,
FUTSTK,BAJFINANCE,28-Jan-2016,0,XX,6117.95,6393.3,6104.4,6345.95,6345.95,1428,11231.58,206750,31125,08-JAN-2016,
FUTSTK,BAJFINANCE,28-Jan-2016,0,XX,6300.05,6419.6,6265,6323.5,6323.5,849,6744.73,216750,10000,11-JAN-2016,
FUTSTK,BAJFINANCE,28-Jan-2016,0,XX,6327.6,6354.85,6175,6242.65,6242.65,790,6156.63,213750,-3000,12-JAN-2016,
FUTSTK,BAJFINANCE,28-Jan-2016,0,XX,6267.75,6317.95,6051,6106,6106,1141,8792.19,205875,-7875,13-JAN-2016,
FUTSTK,BAJFINANCE,28-Jan-2016,0,XX,6002,6142.4,6002,6103.05,6103.05,663,5051.61,207000,1125,14-JAN-2016,
FUTSTK,BAJFINANCE,28-Jan-2016,0,XX,6079.95,6170,5910,5999,5999,622,4675.11,204500,-2500,15-JAN-2016,
FUTSTK,BAJFINANCE,28-Jan-2016,0,XX,5997.05,5997.05,5490.65,5526.35,5526.35,1348,9670.47,210250,5750,18-JAN-2016,
FUTSTK,BAJFINANCE,28-Jan-2016,0,XX,5514.95,5721,5361,5658.65,5658.65,988,6888.22,207000,-3250,19-JAN-2016,
FUTSTK,BAJFINANCE,28-Jan-2016,0,XX,5564.4,5690,5464.8,5647.9,5647.9,621,4317.86,202125,-4875,20-JAN-2016,
FUTSTK,BAJFINANCE,28-Jan-2016,0,XX,5719.95,5835.35,5615,5739.75,5739.75,586,4181.63,201250,-875,21-JAN-2016,
FUTSTK,BAJFINANCE,28-Jan-2016,0,XX,5769.35,5857,5750.15,5829,5829,467,3395.97,194625,-6625,22-JAN-2016,
FUTSTK,BAJFINANCE,28-Jan-2016,0,XX,5870,5950,5836.05,5857.35,5857.35,836,6167.21,148875,-45750,25-JAN-2016,
FUTSTK,BAJFINANCE,28-Jan-2016,0,XX,5859.8,5982,5813.05,5930.15,5930.15,1118,8237.5,86750,-62125,27-JAN-2016,
FUTSTK,BAJFINANCE,28-Jan-2016,0,XX,5987.4,5989.95,5746.25,5776.7,5776.05,1262,9277.63,43125,-43625,28-JAN-2016,
FUTSTK,BAJFINANCE,25-Feb-2016,0,XX,5768,5950,5768,5937,5937,693,5075.77,187875,-10375,29-JAN-2016,
FUTSTK,BAJFINANCE,25-Feb-2016,0,XX,5974.5,6082,5895,6037.55,6037.55,436,3273.83,188375,500,01-FEB-2016,
FUTSTK,BAJFINANCE,25-Feb-2016,0,XX,5999.95,6076.9,5810,5835.6,5835.6,561,4164.72,190750,2375,02-FEB-2016,
FUTSTK,BAJFINANCE,25-Feb-2016,0,XX,5798.8,6519.7,5632.45,6409.95,6409.95,7050,54777.04,245500,54750,03-FEB-2016,
FUTSTK,BAJFINANCE,25-Feb-2016,0,XX,6410.95,6430,6225.05,6368.1,6368.1,2022,15993.67,194500,-51000,04-FEB-2016,
FUTSTK,BAJFINANCE,25-Feb-2016,0,XX,6424.95,6773,6400,6710.15,6710.15,1906,15841.62,196500,2000,05-FEB-2016,
FUTSTK,BAJFINANCE,25-Feb-2016,0,XX,6670.05,6844.25,6570.25,6637.75,6637.75,852,7184.99,185500,-11000,08-FEB-2016,
FUTSTK,BAJFINANCE,25-Feb-2016,0,XX,6491.35,6668,6406,6598.85,6598.85,859,7007.54,177000,-8500,09-FEB-2016,
FUTSTK,BAJFINANCE,25-Feb-2016,0,XX,6607.95,6710,6417,6511.9,6511.9,1048,8577.01,172875,-4125,10-FEB-2016,
FUTSTK,BAJFINANCE,25-Feb-2016,0,XX,6520.05,6528.45,6091,6203.15,6203.15,1336,10536.81,171500,-1375,11-FEB-2016,
FUTSTK,BAJFINANCE,25-Feb-2016,0,XX,6288.95,6470,5971.5,6022.85,6022.85,1513,11637.22,180625,9125,12-FEB-2016,
FUTSTK,BAJFINANCE,25-Feb-2016,0,XX,6181.35,6326.8,6118.55,6235.55,6235.55,937,7313.25,189125,8500,15-FEB-2016,
FUTSTK,BAJFINANCE,25-Feb-2016,0,XX,6232.05,6267.85,5990,6022.4,6022.4,914,6914.99,177375,-11750,16-FEB-2016,
FUTSTK,BAJFINANCE,25-Feb-2016,0,XX,6006.05,6178.65,5850,6124.65,6124.65,1053,7906.93,181750,4375,17-FEB-2016,
FUTSTK,BAJFINANCE,25-Feb-2016,0,XX,6204.95,6240,6120,6180.65,6180.65,568,4386.55,176250,-5500,18-FEB-2016,
FUTSTK,BAJFINANCE,25-Feb-2016,0,XX,6199.95,6222.6,6045,6072.35,6072.35,557,4256.14,174250,-2000,19-FEB-2016,
FUTSTK,BAJFINANCE,25-Feb-2016,0,XX,6056.95,6090,5871.35,6023.9,6023.9,928,6956.82,165750,-8500,22-FEB-2016,
FUTSTK,BAJFINANCE,25-Feb-2016,0,XX,5980.2,6060,5863,5907.8,5907.8,980,7302.76,141000,-24750,23-FEB-2016,
FUTSTK,BAJFINANCE,25-Feb-2016,0,XX,5880,5900,5807,5815.75,5815.75,742,5426.1,104875,-36125,24-FEB-2016,
FUTSTK,BAJFINANCE,25-Feb-2016,0,XX,5825,5825,5615,5748.2,5752.9,1376,9791.23,65750,-39125,25-FEB-2016,
