INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,979,979,976,976.5,976.5,8,46.96,4200,4200,01-JAN-2016,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,0,0,0,976.5,950.95,0,0,4200,0,04-JAN-2016,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,0,0,0,976.5,951.8,0,0,4200,0,05-JAN-2016,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,0,0,0,976.5,960.45,0,0,4200,0,06-JAN-2016,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,0,0,0,976.5,941.5,0,0,4200,0,07-JAN-2016,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,0,0,0,976.5,963.25,0,0,4200,0,08-JAN-2016,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,0,0,0,976.5,952.2,0,0,4200,0,11-JAN-2016,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,939.5,939.5,939.35,939.35,928.2,2,11.27,5400,1200,12-JAN-2016,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,931.75,950,931.75,942,951.6,46,261.25,28200,22800,13-JAN-2016,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,929.35,929.35,929.35,929.35,931.8,1,5.57,28200,0,14-JAN-2016,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,0,0,0,929.35,936.2,0,0,28200,0,15-JAN-2016,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,920,923,910.9,904.2,904.2,10,54.65,30600,2400,18-JAN-2016,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,902.25,902.25,902.25,902.25,902.25,3,16.24,31800,1200,19-JAN-2016,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,877.35,884,874,874,886.7,9,47.39,32400,600,20-JAN-2016,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,888.9,888.9,888.9,888.9,886.35,1,5.33,32400,0,21-JAN-2016,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,910,910,910,910,911.15,1,5.46,32400,0,22-JAN-2016,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,0,0,0,910,920,0,0,32400,0,25-JAN-2016,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,904.75,920,904.75,920,920.75,9,49.46,30000,-2400,27-JAN-2016,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,910,920.5,907,911,911,13,71.08,34800,4800,28-JAN-2016,
FUTSTK,INDUSINDBK,28-Apr-2016,0,XX,921,924,921,924,947.05,3,16.59,1800,1800,29-JAN-2016,
FUTSTK,INDUSINDBK,28-Apr-2016,0,XX,930,930,925,925,925,4,22.29,4200,2400,01-FEB-2016,
FUTSTK,INDUSINDBK,28-Apr-2016,0,XX,0,0,0,925,925.4,0,0,4200,0,02-FEB-2016,
FUTSTK,INDUSINDBK,28-Apr-2016,0,XX,0,0,0,925,922.65,2,10.91,5400,1200,03-FEB-2016,
FUTSTK,INDUSINDBK,28-Apr-2016,0,XX,0,0,0,925,930.2,0,0,5400,0,04-FEB-2016,
FUTSTK,INDUSINDBK,28-Apr-2016,0,XX,0,0,0,925,928.65,1,5.56,4800,-600,05-FEB-2016,
FUTSTK,INDUSINDBK,28-Apr-2016,0,XX,0,0,0,925,898.65,0,0,4800,0,08-FEB-2016,
FUTSTK,INDUSINDBK,28-Apr-2016,0,XX,0,0,0,925,883.5,0,0,4800,0,09-FEB-2016,
FUTSTK,INDUSINDBK,28-Apr-2016,0,XX,851,851,851,851,851,1,5.1,5400,600,10-FEB-2016,
FUTSTK,INDUSINDBK,28-Apr-2016,0,XX,0,0,0,851,825,0,0,5400,0,11-FEB-2016,
