INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,LALPATHLAB,25-Mar-2021,0,XX,0,0,0,2324.8,2430.6,0,0,0,0,01-JAN-2021,
FUTSTK,LALPATHLAB,25-Mar-2021,0,XX,0,0,0,2324.8,2421.9,0,0,0,0,04-JAN-2021,
FUTSTK,LALPATHLAB,25-Mar-2021,0,XX,0,0,0,2324.8,2408.1,0,0,0,0,05-JAN-2021,
FUTSTK,LALPATHLAB,25-Mar-2021,0,XX,0,0,0,2324.8,2373.4,0,0,0,0,06-JAN-2021,
FUTSTK,LALPATHLAB,25-Mar-2021,0,XX,0,0,0,2324.8,2416.95,0,0,0,0,07-JAN-2021,
FUTSTK,LALPATHLAB,25-Mar-2021,0,XX,0,0,0,2324.8,2428.25,0,0,0,0,08-JAN-2021,
FUTSTK,LALPATHLAB,25-Mar-2021,0,XX,2407.6,2407.6,2407.6,2407.6,2395.95,1,6.01,250,250,11-JAN-2021,
FUTSTK,LALPATHLAB,25-Mar-2021,0,XX,2414,2414,2414,2414,2409.95,1,6.03,250,0,12-JAN-2021,
FUTSTK,LALPATHLAB,25-Mar-2021,0,XX,0,0,0,2414,2416.2,0,0,250,0,13-JAN-2021,
FUTSTK,LALPATHLAB,25-Mar-2021,0,XX,0,0,0,2414,2351.05,0,0,250,0,14-JAN-2021,
FUTSTK,LALPATHLAB,25-Mar-2021,0,XX,0,0,0,2414,2313.8,0,0,250,0,15-JAN-2021,
FUTSTK,LALPATHLAB,25-Mar-2021,0,XX,0,0,0,2414,2252.1,0,0,250,0,18-JAN-2021,
FUTSTK,LALPATHLAB,25-Mar-2021,0,XX,0,0,0,2414,2288.3,0,0,250,0,19-JAN-2021,
FUTSTK,LALPATHLAB,25-Mar-2021,0,XX,2323.8,2323.8,2323.8,2323.8,2323.8,1,5.8,500,250,20-JAN-2021,
FUTSTK,LALPATHLAB,25-Mar-2021,0,XX,0,0,0,2323.8,2313.75,0,0,500,0,21-JAN-2021,
FUTSTK,LALPATHLAB,25-Mar-2021,0,XX,0,0,0,2323.8,2315.3,0,0,500,0,22-JAN-2021,
FUTSTK,LALPATHLAB,25-Mar-2021,0,XX,0,0,0,2323.8,2298.6,0,0,500,0,25-JAN-2021,
FUTSTK,LALPATHLAB,25-Mar-2021,0,XX,2343.45,2343.45,2343.45,2343.45,2366.2,1,5.85,500,0,27-JAN-2021,
