INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,NAM-INDIA,29-Apr-2021,0,XX,338.25,338.25,327.55,329.45,329.45,7,37.17,8000,8000,26-FEB-2021,
FUTSTK,NAM-INDIA,29-Apr-2021,0,XX,328.7,351.05,328.7,348.05,348.05,3,16.39,9600,1600,01-MAR-2021,
FUTSTK,NAM-INDIA,29-Apr-2021,0,XX,353.8,353.8,348.05,348.05,347.75,3,16.86,11200,1600,02-MAR-2021,
FUTSTK,NAM-INDIA,29-Apr-2021,0,XX,372.1,377.85,366,366,366,24,142.7,16000,4800,03-MAR-2021,
FUTSTK,NAM-INDIA,29-Apr-2021,0,XX,366.95,370.6,364.4,367.05,363.35,11,64.79,17600,1600,04-MAR-2021,
FUTSTK,NAM-INDIA,29-Apr-2021,0,XX,363.35,364.5,349.85,349.85,354.85,9,51.78,20800,3200,05-MAR-2021,
FUTSTK,NAM-INDIA,29-Apr-2021,0,XX,361.85,362.1,352.95,356,356,7,39.95,25600,4800,08-MAR-2021,
FUTSTK,NAM-INDIA,29-Apr-2021,0,XX,358.6,358.6,357.2,357.2,351.75,2,11.45,27200,1600,09-MAR-2021,
FUTSTK,NAM-INDIA,29-Apr-2021,0,XX,354.55,357.85,351,357.1,357.1,18,101.77,36800,9600,10-MAR-2021,
FUTSTK,NAM-INDIA,29-Apr-2021,0,XX,357.1,358.7,345,347.4,347.4,22,123.84,51200,14400,12-MAR-2021,
FUTSTK,NAM-INDIA,29-Apr-2021,0,XX,345,345,335.45,343.15,343.15,12,65.47,59200,8000,15-MAR-2021,
FUTSTK,NAM-INDIA,29-Apr-2021,0,XX,339.55,340.2,335.5,338.1,338.1,10,54.2,70400,11200,16-MAR-2021,
FUTSTK,NAM-INDIA,29-Apr-2021,0,XX,340.75,341.75,334.1,336.65,336.65,16,86.6,65600,-4800,17-MAR-2021,
FUTSTK,NAM-INDIA,29-Apr-2021,0,XX,340.55,340.55,322.8,326.3,326.3,65,344.82,100800,35200,18-MAR-2021,
FUTSTK,NAM-INDIA,29-Apr-2021,0,XX,323.5,332,317.7,330.15,330.15,159,833.77,166400,65600,19-MAR-2021,
FUTSTK,NAM-INDIA,29-Apr-2021,0,XX,331.1,338.25,329.9,337.1,337.1,296,1589.98,355200,188800,22-MAR-2021,
FUTSTK,NAM-INDIA,29-Apr-2021,0,XX,341.5,342.9,337.5,341.15,341.15,257,1397.97,451200,96000,23-MAR-2021,
FUTSTK,NAM-INDIA,29-Apr-2021,0,XX,338.05,338.85,333.2,334.3,334.3,396,2126.2,670400,219200,24-MAR-2021,
FUTSTK,NAM-INDIA,29-Apr-2021,0,XX,334.55,334.55,321,327.65,327.65,435,2273.2,728000,57600,25-MAR-2021,
FUTSTK,NAM-INDIA,27-May-2021,0,XX,333.6,333.6,332.25,332.25,332.7,4,21.3,17600,1600,26-MAR-2021,
FUTSTK,NAM-INDIA,27-May-2021,0,XX,337.50,337.65,337.50,337.50,338.20,3,16.20,22400,4800,30-Mar-2021
FUTSTK,NAM-INDIA,27-May-2021,0,XX,336.9,337.55,336.9,343,343,4,21.76,25600,3200,31-MAR-2021,
FUTSTK,NAM-INDIA,27-May-2021,0,XX,342.65,348.8,339.4,348.05,348.05,17,94.13,35200,9600,01-APR-2021,
FUTSTK,NAM-INDIA,27-May-2021,0,XX,348.05,348.05,334.7,337.15,337.15,8,43.57,33600,-1600,05-APR-2021,
FUTSTK,NAM-INDIA,27-May-2021,0,XX,337.15,337.15,337.15,337.15,338.85,3,16.2,33600,0,06-APR-2021,
FUTSTK,NAM-INDIA,27-May-2021,0,XX,341.6,345,341.6,345,342.2,2,10.98,33600,0,07-APR-2021,
FUTSTK,NAM-INDIA,27-May-2021,0,XX,345.8,363.9,345.8,362,362,28,159.44,36800,3200,08-APR-2021,
FUTSTK,NAM-INDIA,27-May-2021,0,XX,358.85,360.4,352.25,353.8,353.8,33,188.63,48000,11200,09-APR-2021,
