INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,PEL,25-May-2017,0,XX,1929.05,1945.1,1925.2,1925.2,1925.2,11,63.83,2400,2400,31-MAR-2017,
FUTSTK,PEL,25-May-2017,0,XX,1938.3,1938.3,1938.3,1938.3,1954.25,2,11.62,2400,0,03-APR-2017,
FUTSTK,PEL,25-May-2017,0,XX,1965.5,1985,1965.05,1968.45,1968.45,18,106.65,4800,2400,05-APR-2017,
FUTSTK,PEL,25-May-2017,0,XX,1959.7,1960.05,1940.05,1953.05,1953.05,24,140.25,8700,3900,06-APR-2017,
FUTSTK,PEL,25-May-2017,0,XX,1946.7,1946.7,1938,1938,1938,2,11.65,8400,-300,07-APR-2017,
FUTSTK,PEL,25-May-2017,0,XX,1975,1975,1975,1975,1978.4,1,5.92,8700,300,10-APR-2017,
FUTSTK,PEL,25-May-2017,0,XX,2004.35,2066.45,2004.35,2055.25,2055.25,20,122.54,8100,-600,11-APR-2017,
FUTSTK,PEL,25-May-2017,0,XX,2073,2073,2010,2057,2087.45,7,42.86,7200,-900,12-APR-2017,
FUTSTK,PEL,25-May-2017,0,XX,2140,2275,2140,2255.45,2255.45,14,92.32,8100,900,13-APR-2017,
FUTSTK,PEL,25-May-2017,0,XX,2307,2324.6,2224,2292.25,2292.25,25,171.61,9300,1200,17-APR-2017,
FUTSTK,PEL,25-May-2017,0,XX,2300,2300,2250,2250,2250,18,122.66,13200,3900,18-APR-2017,
FUTSTK,PEL,25-May-2017,0,XX,2220,2288.85,2217,2283.95,2283.95,13,87.83,14700,1500,19-APR-2017,
FUTSTK,PEL,25-May-2017,0,XX,2285,2299.95,2254.15,2294.05,2294.05,41,279.58,14100,-600,20-APR-2017,
FUTSTK,PEL,25-May-2017,0,XX,2302.9,2390,2275,2376.45,2376.45,123,869.75,24600,10500,21-APR-2017,
FUTSTK,PEL,25-May-2017,0,XX,2390,2489.85,2375.6,2474.55,2474.55,326,2383.38,81900,57300,24-APR-2017,
FUTSTK,PEL,25-May-2017,0,XX,2480.05,2552,2480,2536.2,2536.2,646,4896.22,166500,84600,25-APR-2017,
FUTSTK,PEL,25-May-2017,0,XX,2530,2536,2425.55,2468.1,2468.1,786,5852.68,219300,52800,26-APR-2017,
FUTSTK,PEL,25-May-2017,0,XX,2468.75,2506.3,2446.15,2490.9,2490.9,747,5557.6,303900,84600,27-APR-2017,
FUTSTK,PEL,29-Jun-2017,0,XX,0,0,0,2475,2524.2,0,0,3600,0,28-APR-2017,
FUTSTK,PEL,29-Jun-2017,0,XX,2538.25,2590,2538.25,2559.95,2559.95,5,38.39,3300,-300,02-MAY-2017,
FUTSTK,PEL,29-Jun-2017,0,XX,0,0,0,2559.95,2608.4,0,0,3300,0,03-MAY-2017,
FUTSTK,PEL,29-Jun-2017,0,XX,2590,2592,2590,2592,2589.3,2,15.54,3300,0,04-MAY-2017,
FUTSTK,PEL,29-Jun-2017,0,XX,2524.5,2524.5,2524.5,2524.5,2528.75,1,7.57,3600,300,05-MAY-2017,
FUTSTK,PEL,29-Jun-2017,0,XX,2530.4,2530.4,2530.4,2530.4,2522.9,2,15.18,4200,600,08-MAY-2017,
FUTSTK,PEL,29-Jun-2017,0,XX,0,0,0,2530.4,2513.85,0,0,4200,0,09-MAY-2017,
FUTSTK,PEL,29-Jun-2017,0,XX,2585,2600,2569.25,2569.25,2569.25,4,31.01,4200,0,10-MAY-2017,
FUTSTK,PEL,29-Jun-2017,0,XX,2578.95,2578.95,2578.95,2578.95,2566.65,1,7.73,4500,300,11-MAY-2017,
FUTSTK,PEL,29-Jun-2017,0,XX,2554.45,2647.4,2520,2617.8,2617.8,14,108.45,5100,600,12-MAY-2017,
FUTSTK,PEL,29-Jun-2017,0,XX,2690,2964.9,2690,2900.8,2900.8,84,720.29,14400,9300,15-MAY-2017,
FUTSTK,PEL,29-Jun-2017,0,XX,2919.55,2919.55,2810,2825.05,2825.05,43,367.21,17700,3300,16-MAY-2017,
FUTSTK,PEL,29-Jun-2017,0,XX,2856.95,2888.35,2799.55,2857.15,2857.15,43,368.76,21900,4200,17-MAY-2017,
FUTSTK,PEL,29-Jun-2017,0,XX,2836,2890,2808.15,2812.55,2812.55,90,765.29,32700,10800,18-MAY-2017,
