INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,RAMCOCEM,27-Jul-2017,0,XX,0,0,0,706.85,704.15,0,0,0,0,26-MAY-2017,
FUTSTK,RAMCOCEM,27-Jul-2017,0,XX,0,0,0,706.85,688.65,0,0,0,0,29-MAY-2017,
FUTSTK,RAMCOCEM,27-Jul-2017,0,XX,0,0,0,706.85,698.15,0,0,0,0,30-MAY-2017,
FUTSTK,RAMCOCEM,27-Jul-2017,0,XX,718.5,725.6,718.5,725.6,725.6,2,11.55,0,0,31-MAY-2017,
FUTSTK,RAMCOCEM,27-Jul-2017,0,XX,730.1,730.1,730.1,730.1,729.7,1,5.84,800,800,01-JUN-2017,
FUTSTK,RAMCOCEM,27-Jul-2017,0,XX,730.1,730.1,730.1,730.1,726.95,1,5.84,0,-800,02-JUN-2017,
FUTSTK,RAMCOCEM,27-Jul-2017,0,XX,0,0,0,730.1,720.35,0,0,0,0,05-JUN-2017,
FUTSTK,RAMCOCEM,27-Jul-2017,0,XX,0,0,0,730.1,703.85,0,0,0,0,06-JUN-2017,
FUTSTK,RAMCOCEM,27-Jul-2017,0,XX,0,0,0,730.1,686.6,0,0,0,0,07-JUN-2017,
FUTSTK,RAMCOCEM,27-Jul-2017,0,XX,0,0,0,730.1,715.75,0,0,0,0,08-JUN-2017,
FUTSTK,RAMCOCEM,27-Jul-2017,0,XX,0,0,0,730.1,719.25,0,0,0,0,09-JUN-2017,
FUTSTK,RAMCOCEM,27-Jul-2017,0,XX,0,0,0,730.1,708.55,0,0,0,0,12-JUN-2017,
FUTSTK,RAMCOCEM,27-Jul-2017,0,XX,0,0,0,730.1,699.7,0,0,0,0,13-JUN-2017,
FUTSTK,RAMCOCEM,27-Jul-2017,0,XX,0,0,0,730.1,704.55,0,0,0,0,14-JUN-2017,
