INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,SRF,31-Mar-2016,0,XX,0,0,0,1288.35,1286.5,0,0,0,0,01-JAN-2016,
FUTSTK,SRF,31-Mar-2016,0,XX,0,0,0,1288.35,1269.45,0,0,0,0,04-JAN-2016,
FUTSTK,SRF,31-Mar-2016,0,XX,0,0,0,1288.35,1304.85,0,0,0,0,05-JAN-2016,
FUTSTK,SRF,31-Mar-2016,0,XX,0,0,0,1288.35,1371.4,0,0,0,0,06-JAN-2016,
FUTSTK,SRF,31-Mar-2016,0,XX,0,0,0,1288.35,1327.9,0,0,0,0,07-JAN-2016,
FUTSTK,SRF,31-Mar-2016,0,XX,0,0,0,1288.35,1340.2,0,0,0,0,08-JAN-2016,
FUTSTK,SRF,31-Mar-2016,0,XX,0,0,0,1288.35,1316.85,0,0,0,0,11-JAN-2016,
FUTSTK,SRF,31-Mar-2016,0,XX,0,0,0,1288.35,1323.85,0,0,0,0,12-JAN-2016,
FUTSTK,SRF,31-Mar-2016,0,XX,0,0,0,1288.35,1282.1,0,0,0,0,13-JAN-2016,
FUTSTK,SRF,31-Mar-2016,0,XX,0,0,0,1288.35,1254.9,0,0,0,0,14-JAN-2016,
FUTSTK,SRF,31-Mar-2016,0,XX,0,0,0,1288.35,1232.45,0,0,0,0,15-JAN-2016,
FUTSTK,SRF,31-Mar-2016,0,XX,0,0,0,1288.35,1159.7,0,0,0,0,18-JAN-2016,
FUTSTK,SRF,31-Mar-2016,0,XX,0,0,0,1288.35,1151.95,0,0,0,0,19-JAN-2016,
FUTSTK,SRF,31-Mar-2016,0,XX,0,0,0,1288.35,1121.15,0,0,0,0,20-JAN-2016,
FUTSTK,SRF,31-Mar-2016,0,XX,0,0,0,1288.35,1131.6,0,0,0,0,21-JAN-2016,
FUTSTK,SRF,31-Mar-2016,0,XX,0,0,0,1288.35,1151.75,0,0,0,0,22-JAN-2016,
FUTSTK,SRF,31-Mar-2016,0,XX,0,0,0,1288.35,1144,0,0,0,0,25-JAN-2016,
FUTSTK,SRF,31-Mar-2016,0,XX,0,0,0,1288.35,1126.4,0,0,0,0,27-JAN-2016,
FUTSTK,SRF,31-Mar-2016,0,XX,1111,1111,1111,1111,1151.85,1,4.44,400,400,28-JAN-2016,
FUTSTK,SRF,28-Apr-2016,0,XX,0,0,0,1158.8,1189.45,0,0,0,0,29-JAN-2016,
FUTSTK,SRF,28-Apr-2016,0,XX,0,0,0,1158.8,1186.4,0,0,0,0,01-FEB-2016,
FUTSTK,SRF,28-Apr-2016,0,XX,0,0,0,1158.8,1171.75,0,0,0,0,02-FEB-2016,
FUTSTK,SRF,28-Apr-2016,0,XX,0,0,0,1158.8,1121.25,0,0,0,0,03-FEB-2016,
FUTSTK,SRF,28-Apr-2016,0,XX,0,0,0,1158.8,1111,0,0,0,0,04-FEB-2016,
FUTSTK,SRF,28-Apr-2016,0,XX,0,0,0,1158.8,1159.95,0,0,0,0,05-FEB-2016,
FUTSTK,SRF,28-Apr-2016,0,XX,0,0,0,1158.8,1156.05,0,0,0,0,08-FEB-2016,
FUTSTK,SRF,28-Apr-2016,0,XX,0,0,0,1158.8,1179.2,0,0,0,0,09-FEB-2016,
FUTSTK,SRF,28-Apr-2016,0,XX,0,0,0,1158.8,1177.8,0,0,0,0,10-FEB-2016,
FUTSTK,SRF,28-Apr-2016,0,XX,0,0,0,1158.8,1143.5,0,0,0,0,11-FEB-2016,
FUTSTK,SRF,28-Apr-2016,0,XX,0,0,0,1158.8,1112.75,0,0,0,0,12-FEB-2016,
FUTSTK,SRF,28-Apr-2016,0,XX,0,0,0,1158.8,1162.15,0,0,0,0,15-FEB-2016,
FUTSTK,SRF,28-Apr-2016,0,XX,0,0,0,1158.8,1102.2,0,0,0,0,16-FEB-2016,
FUTSTK,SRF,28-Apr-2016,0,XX,0,0,0,1158.8,1117,0,0,0,0,17-FEB-2016,
FUTSTK,SRF,28-Apr-2016,0,XX,0,0,0,1158.8,1110.2,0,0,0,0,18-FEB-2016,
FUTSTK,SRF,28-Apr-2016,0,XX,0,0,0,1158.8,1125,0,0,0,0,19-FEB-2016,
FUTSTK,SRF,28-Apr-2016,0,XX,0,0,0,1158.8,1108.05,0,0,0,0,22-FEB-2016,
FUTSTK,SRF,28-Apr-2016,0,XX,0,0,0,1158.8,1094.7,0,0,0,0,23-FEB-2016,
FUTSTK,SRF,28-Apr-2016,0,XX,1062,1062,1062,1062,1066.1,1,4.24,400,400,24-FEB-2016,
FUTSTK,SRF,28-Apr-2016,0,XX,1055,1055,1048.05,1048.05,1048.05,2,8.41,800,400,25-FEB-2016,
FUTSTK,SRF,26-May-2016,0,XX,0,0,0,1057.85,1072.5,0,0,0,0,26-FEB-2016,
FUTSTK,SRF,26-May-2016,0,XX,0,0,0,1057.85,1077.75,0,0,0,0,29-FEB-2016,
FUTSTK,SRF,26-May-2016,0,XX,0,0,0,1057.85,1122.9,0,0,0,0,01-MAR-2016,
FUTSTK,SRF,26-May-2016,0,XX,0,0,0,1057.85,1126.5,0,0,0,0,02-MAR-2016,
FUTSTK,SRF,26-May-2016,0,XX,0,0,0,1057.85,1169.85,0,0,0,0,03-MAR-2016,
FUTSTK,SRF,26-May-2016,0,XX,0,0,0,1057.85,1230.1,0,0,0,0,04-MAR-2016,
FUTSTK,SRF,26-May-2016,0,XX,0,0,0,1057.85,1203.7,0,0,0,0,08-MAR-2016,
FUTSTK,SRF,26-May-2016,0,XX,0,0,0,1057.85,1217.4,0,0,0,0,09-MAR-2016,
FUTSTK,SRF,26-May-2016,0,XX,0,0,0,1057.85,1201.85,0,0,0,0,10-MAR-2016,
FUTSTK,SRF,26-May-2016,0,XX,0,0,0,1057.85,1199.6,0,0,0,0,11-MAR-2016,
