INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,TATACOMM,28-Jan-2016,0,XX,435.5,440,434.55,436.85,436.85,988,4754.09,4009500,46200,01-JAN-2016,
FUTSTK,TATACOMM,28-Jan-2016,0,XX,435.35,451,426.3,431.25,431.25,2157,10385.1,4277900,268400,04-JAN-2016,
FUTSTK,TATACOMM,28-Jan-2016,0,XX,432.05,444,429.8,440.8,440.8,1109,5327.59,4485800,207900,05-JAN-2016,
FUTSTK,TATACOMM,28-Jan-2016,0,XX,445.7,463.9,442,443.35,443.35,3171,15847.98,4904900,419100,06-JAN-2016,
FUTSTK,TATACOMM,28-Jan-2016,0,XX,425.05,438.9,424,428.45,428.45,1653,7817.64,4966500,61600,07-JAN-2016,
FUTSTK,TATACOMM,28-Jan-2016,0,XX,427.95,443.2,424.6,438.3,438.3,1122,5379.76,4841100,-125400,08-JAN-2016,
FUTSTK,TATACOMM,28-Jan-2016,0,XX,433.15,442.8,430.9,434.8,434.8,974,4676.77,4896100,55000,11-JAN-2016,
FUTSTK,TATACOMM,28-Jan-2016,0,XX,436.5,438.8,424.5,433.35,433.35,816,3874.37,4802600,-93500,12-JAN-2016,
FUTSTK,TATACOMM,28-Jan-2016,0,XX,434.7,440.3,409,435.95,435.95,1876,8838.19,4744300,-58300,13-JAN-2016,
FUTSTK,TATACOMM,28-Jan-2016,0,XX,429.05,438.4,422.15,433.15,433.15,635,3019.71,4737700,-6600,14-JAN-2016,
FUTSTK,TATACOMM,28-Jan-2016,0,XX,436.4,437,412.5,415.45,415.45,706,3307.91,4838900,101200,15-JAN-2016,
FUTSTK,TATACOMM,28-Jan-2016,0,XX,413.3,415,396.5,400.95,400.95,1007,4483.21,4831200,-7700,18-JAN-2016,
FUTSTK,TATACOMM,28-Jan-2016,0,XX,404.3,409,399.85,407.05,407.05,642,2865.28,4936800,105600,19-JAN-2016,
FUTSTK,TATACOMM,28-Jan-2016,0,XX,397,400.75,379,391.8,391.8,1067,4568.28,4849900,-86900,20-JAN-2016,
FUTSTK,TATACOMM,28-Jan-2016,0,XX,396.95,403.95,392.1,397.1,397.1,1071,4685.9,4687100,-162800,21-JAN-2016,
FUTSTK,TATACOMM,28-Jan-2016,0,XX,402.65,407.25,399.1,402.9,402.9,1330,5916.6,4140400,-546700,22-JAN-2016,
FUTSTK,TATACOMM,28-Jan-2016,0,XX,403.2,407.5,399.3,404.1,404.1,1368,6055.85,3481500,-658900,25-JAN-2016,
FUTSTK,TATACOMM,28-Jan-2016,0,XX,403,406,397,398.6,398.6,2557,11285.64,2244000,-1237500,27-JAN-2016,
FUTSTK,TATACOMM,28-Jan-2016,0,XX,398.4,412.8,385.8,404.75,401,4906,21378.65,1662100,-581900,28-JAN-2016,
FUTSTK,TATACOMM,25-Feb-2016,0,XX,387,404.5,385.5,401.8,401.8,1288,5617.94,5066600,170500,29-JAN-2016,
FUTSTK,TATACOMM,25-Feb-2016,0,XX,402.05,417,399.5,411.8,411.8,1080,4891.51,5111700,45100,01-FEB-2016,
